Player,Bias,DOM+,Draft Capital,FUM,Y/RR,aDOT,YAC/R,CC%,REC%,Breakout Age,SpeedxBMI,Base_SHAP_Sum,Interaction_SHAP_Sum,Model_Output_raw_TE,Train_Target_raw,Error_Target
Ben Koyack,-92.4263,4.1805,-51.5124,-0.7572,-0.1766,-7.1228,-0.0802,-1.5763,1.8169,-1.1348,-18.4322,-56.3629,-18.4322,-167.2214,-207.0000,39.7786
Isaiah Likely,-92.4263,13.0221,-12.6459,-0.6324,30.5819,-1.9281,10.4192,-1.3151,-6.0278,9.8348,-4.2007,41.3087,-4.2007,-55.3184,-35.0000,-20.3184
Dallas Goedert,-92.4263,5.6054,48.3830,-0.0386,2.0156,-4.5119,-0.6175,1.9225,4.7677,-0.6389,-6.8319,56.8873,-6.8319,-42.3710,-17.0000,-25.3710
Tyler Higbee,-92.4263,-20.9975,-12.8767,0.2903,22.6955,-2.8771,9.0609,-0.7581,-9.1819,-0.6753,-4.8431,-15.3199,-4.8431,-112.5893,-59.0000,-53.5893
Cade Stover,-92.4263,5.2611,-2.5780,-0.2788,30.2045,-4.3964,10.5189,0.2305,-7.9905,-0.4985,3.7666,30.4728,3.7666,-58.1871,-70.0000,11.8129
Albert Okwuegbunam,-92.4263,4.4634,-11.2271,1.0060,-27.7043,-4.0285,-1.8520,0.1930,8.7233,-0.9157,-2.0277,-31.3419,-2.0277,-125.7960,-50.0000,-75.7960
Zach Davidson,-92.4263,5.4059,-16.4112,0.3256,10.7502,-4.6825,3.6383,-0.2848,5.4833,-0.7777,-1.6426,3.4471,-1.6426,-90.6220,-73.0000,-17.6220
Jesse James,-92.4263,0.9051,-24.8410,0.5815,-28.8719,-9.6228,-6.3794,-1.4837,7.9543,-0.5931,-0.9523,-62.3510,-0.9523,-155.7298,-188.0000,32.2702
Cole Turner,-92.4263,13.2507,-14.3062,0.4101,2.6702,-1.2381,-12.2145,-0.3868,-0.1745,2.4634,12.5180,-9.5257,12.5180,-89.4341,-143.0000,53.5659
Malcolm Johnson,-92.4263,-20.8289,-51.8079,-0.7401,-1.8388,-8.9513,-1.0823,-2.5155,1.0974,-0.9979,-1.6889,-87.6653,-1.6889,-181.7805,-191.0000,9.2195
Ja'Tavion Sanders,-92.4263,7.2654,-8.0481,0.3041,29.2680,-4.5440,-3.6706,2.2851,-5.6553,9.4931,3.0721,26.6977,3.0721,-62.6566,-32.0000,-30.6566
Blake Bell,-92.4263,0.6636,-9.6824,0.8807,-27.3965,5.3710,2.2317,-1.0010,10.6474,7.1145,0.3847,-11.1710,0.3847,-103.2126,-174.0000,70.7874
Jackson Hawes,-92.4263,-9.4280,-18.0671,0.4091,-30.8553,8.8573,10.4075,0.7431,-12.7348,-0.6204,-5.2593,-51.2886,-5.2593,-148.9744,-200.0000,51.0256
Terrance Ferguson,-92.4263,-14.4980,37.6159,-0.3661,20.9967,-1.1474,5.9660,1.2734,-3.1025,-0.3522,7.6844,46.3858,7.6844,-38.3560,-23.0000,-15.3560
Brock Bowers,-92.4263,10.9501,40.0095,-0.2912,28.0877,-0.7721,4.9366,1.0914,-7.6040,6.6745,-5.7217,83.0825,-5.7217,-15.0655,-1.0000,-14.0655
James Mitchell,-92.4263,-14.9565,-18.9616,0.4061,-3.2927,0.2772,10.0445,-2.1945,-8.8137,-0.9091,-6.8551,-38.4003,-6.8551,-137.6818,-87.0000,-50.6818
Michael Mayer,-92.4263,-9.2839,55.8304,0.0542,-23.4465,-4.6613,-0.8458,1.2862,-9.2858,-0.2997,2.5436,9.3478,2.5436,-80.5348,-21.0000,-59.5348
Zack Kuntz,-92.4263,19.0629,-34.6337,0.4666,25.8880,4.6803,-10.7924,0.5442,4.2172,-1.5899,0.9216,7.8432,0.9216,-83.6613,-141.0000,57.3387
Tommy Sweeney,-92.4263,5.0486,-38.9035,-0.7457,-21.9304,6.2068,13.8333,4.2356,3.5858,-1.1007,1.3590,-29.7702,1.3590,-120.8375,-137.0000,16.1625
Colby Parkinson,-92.4263,5.4057,-9.8632,0.7228,-16.6957,4.1565,3.0168,-1.8506,7.5949,-0.5569,11.4722,-8.0697,11.4722,-89.0240,-92.0000,2.9760
Jelani Woods,-92.4263,-4.4867,15.6565,0.0720,21.2601,2.0657,-1.2050,0.2610,3.0122,-0.7254,4.1660,35.9104,4.1660,-52.3500,-55.0000,2.6500
Dalton Kincaid,-92.4263,10.1628,50.7899,0.0382,28.8077,-3.0868,-1.5007,2.9714,-4.1629,-0.2085,2.4612,83.8111,2.4612,-6.1540,-18.0000,11.8460
George Kittle,-92.4263,15.5083,-15.4774,-0.4581,31.3803,-4.1052,10.4289,4.5188,1.6099,-0.5494,4.3920,42.8561,4.3920,-45.1784,-14.0000,-31.1784
Maxx Williams,-92.4263,13.5929,33.5149,0.2345,18.8911,1.7375,5.4725,1.8056,4.0456,7.0171,-9.2155,86.3117,-9.2155,-15.3301,-10.0000,-5.3301
Mason Schreck,-92.4263,14.0276,-50.8242,-0.5574,27.1075,-7.8870,-8.8480,-2.0397,3.6506,-1.9522,-0.6032,-27.3228,-0.6032,-120.3524,-165.0000,44.6476
Mitchell Evans,-92.4263,-17.3345,-13.9401,-0.0398,7.6463,-7.1914,-0.6496,-1.3901,4.8891,-1.1216,-10.7949,-29.1317,-10.7949,-132.3532,-95.0000,-37.3532
