position,seed,n_subsets,max_base_feats,n_iter_per_model,subset_idx,model,cvR2_mean,TEST_R2,TEST_MAE,TEST_RMSE,n_features,bases,interactions,max_pred
TE,56,40,15,15,29,GB,0.510745826763954,0.6477980047812362,31.816172196524825,38.76307256076639,10,DOM+|Draft Capital|FUM|Y/RR|aDOT|YAC/R|CC%|REC%|Breakout Age,SpeedxBMI,-6.154030294371174
TE,56,40,15,15,17,GB,0.530350962222943,0.619872721204199,34.67829589323194,40.270480034916176,11,DOM+|Draft Capital|Y/REC|Y/RR|MTF|aDOT|YAC/R|CC%|Drop%|Breakout Age,SpeedxBMI,-2.688437758527792
TE,56,40,15,15,27,GB,0.538891970386765,0.6090322596180745,33.90699607662906,40.84065986002635,13,DOM+|Draft Capital|FUM|REC%|MTF|Y/REC|CC%|Y/RR|Drop%|Breakout Age|YAC/R|aDOT,SpeedxBMI,-7.09558267244392
TE,56,40,15,15,16,GB,0.5505574658714143,0.6086994973687346,34.73788994919984,40.858036407911875,11,DOM+|Draft Capital|Y/REC|REC%|Breakout Age|FUM|Y/RR|MTF|YAC/R|CC%,SpeedxBMI,-6.909149852213299
TE,56,40,15,15,15,GB,0.5404220237862282,0.602787899640197,34.86843477523873,41.16551217649113,13,DOM+|Draft Capital|Y/RR|YAC/R|Breakout Age|CC%|REC%|Y/REC|Drop%|FUM|MTF|aDOT,SpeedxBMI,-5.391291206874741
TE,56,40,15,15,14,GB,0.5353355644938463,0.6027751665039811,33.25807747001603,41.16617197748011,12,DOM+|Draft Capital|MTF|Breakout Age|CC%|YAC/R|Drop%|Y/RR|FUM|aDOT|REC%,SpeedxBMI,-1.5583577487972367
TE,56,40,15,15,3,GB,0.558116529230819,0.6017566842011481,31.810377126684152,41.21891311214609,8,DOM+|Draft Capital|Y/RR|aDOT|Y/REC|CC%|MTF,SpeedxBMI,-5.8997426203704135
TE,56,40,15,15,25,GB,0.5209283767109902,0.5985238981783023,34.52832689241795,41.385874604023044,10,DOM+|Draft Capital|REC%|Y/RR|Y/REC|Drop%|CC%|FUM|YAC/R,SpeedxBMI,-7.072205885731592
TE,56,40,15,15,24,GB,0.5595278326677771,0.5979780656878841,33.288675645674594,41.4139984226773,11,DOM+|Draft Capital|MTF|Drop%|aDOT|Breakout Age|REC%|CC%|Y/RR|Y/REC,SpeedxBMI,-8.319764420942393
TE,56,40,15,15,31,GB,0.3612028154031528,0.5975526015935287,34.07264907647966,41.43590706545411,7,DOM+|Draft Capital|Y/REC|MTF|YAC/R|CC%,SpeedxBMI,-18.43616179875952
TE,56,40,15,15,34,GB,0.3794275168835084,0.5929894050602531,32.71361278003987,41.67015783780659,11,DOM+|Draft Capital|YAC/R|CC%|aDOT|REC%|Y/REC|Drop%|MTF|Breakout Age,SpeedxBMI,0.14576544899975888
TE,56,40,15,15,7,GB,0.5750053655156232,0.5881946941034563,34.36638876714953,41.91488290100569,10,DOM+|Draft Capital|Y/REC|FUM|aDOT|Y/RR|MTF|REC%|Drop%,SpeedxBMI,-6.298047459882176
TE,56,40,15,15,33,GB,0.5214017940962518,0.5857319582386931,33.12772577479066,42.040028707877774,6,DOM+|Draft Capital|CC%|MTF|Y/RR,SpeedxBMI,1.4939900838190299
TE,56,40,15,15,38,GB,0.5294705087332613,0.5856342778445098,34.610578777026845,42.04498473166287,7,DOM+|Draft Capital|CC%|Drop%|aDOT|Y/RR,SpeedxBMI,-7.891090855001281
TE,56,40,15,15,10,GB,0.48179756589446926,0.5812377210113434,34.900483045526485,42.267451746935244,9,DOM+|Draft Capital|FUM|Breakout Age|aDOT|Y/RR|MTF|YAC/R,SpeedxBMI,-3.981572697459553
