Player,Bias,DOM+,Draft Capital,REC%,CC%,Y/REC,YAC/R,Drop%,aDOT,Breakout Age,FUM,MTF,Y/RR,SpeedxBMI,Base_SHAP_Sum,Interaction_SHAP_Sum,Model_Output_raw_WR,Train_Target_raw,Error_Target
Keith Mumphery,-210.3725,-113.2153,-51.4153,-4.5288,1.6724,-3.3311,5.4579,1.5238,-1.5367,2.7978,2.2666,0.9372,0.5990,-0.4701,-158.7725,-0.4701,-369.6150,-433.0000,63.3850
N'Keal Harry,-210.3725,8.3771,132.7326,-4.5444,1.3653,-0.6498,5.0343,1.0767,4.2099,18.7637,-4.7783,-3.3511,9.3083,-5.6193,167.5443,-5.6193,-48.4475,-49.0000,0.5525
Calvin Ridley,-210.3725,17.3674,133.4259,-0.5071,-12.1915,-3.6769,3.0747,5.3324,2.9150,0.8646,1.9029,0.0055,4.9532,7.6812,153.4661,7.6812,-49.2251,-22.0000,-27.2251
Josh Malone,-210.3725,18.9977,-21.3515,-2.5243,1.2252,8.8865,4.0375,0.4250,0.5323,3.6382,2.1136,1.5940,-0.4571,7.8343,17.1171,7.8343,-185.4211,-132.0000,-53.4211
Tylan Wallace,-210.3725,23.7643,-19.9447,-6.8122,1.6287,-1.7313,-5.2186,3.7387,1.0274,6.5014,-4.0015,3.3879,24.1177,5.0253,26.4578,5.0253,-178.8893,-125.0000,-53.8893
Ladd McConkey,-210.3725,-11.3464,101.6786,6.1802,2.6746,-4.4664,6.9395,7.8124,-0.8299,1.4220,-4.3504,3.3850,-8.4111,7.7082,100.6881,7.7082,-101.9764,-64.0000,-37.9764
Tahj Washington,-210.3725,-2.4951,-139.0187,19.2792,-18.7199,1.4895,5.9812,-11.7583,3.2724,10.3693,0.6554,-4.0978,19.3574,15.5457,-115.6854,15.5457,-310.5121,-327.0000,16.4879
Tee Higgins,-210.3725,15.6109,100.9160,-3.0707,1.3998,10.5999,4.5541,6.5789,0.6773,5.2414,1.7962,3.8960,23.0473,-0.0663,171.2471,-0.0663,-39.1917,-39.0000,-0.1917
Jacob Cowing,-210.3725,24.7436,-24.7957,-2.9779,6.9456,-3.9317,3.5481,-6.7475,-4.7128,36.6579,1.8654,2.0762,-2.2335,8.2184,30.4377,8.2184,-171.7165,-203.0000,31.2835
Quentin Johnston,-210.3725,22.4916,133.3726,-1.1001,5.1245,2.1744,6.7300,4.7531,2.2532,14.1044,-4.0313,4.2647,14.7686,3.5455,204.9057,3.5455,-1.9214,-43.0000,41.0786
Carlos Henderson,-210.3725,9.6174,55.3113,-6.5216,1.5437,8.2750,10.9615,-5.4470,0.2490,-19.6574,1.8569,-6.8499,25.0167,-2.0445,74.3556,-2.0445,-138.0613,-184.0000,45.9387
Noah Brown,-210.3725,-21.3549,-164.3937,-1.3891,1.6826,-2.3208,-45.6494,2.3146,-1.9138,-1.3323,2.7159,0.8568,-67.3950,-2.3294,-298.1791,-2.3294,-510.8809,-478.0000,-32.8809
Zay Flowers,-210.3725,17.3775,133.0671,-3.6056,-2.0393,-3.3771,4.5100,5.7477,1.8392,2.5409,-3.3142,3.1940,-5.6689,-0.2545,150.2713,-0.2545,-60.3557,-58.0000,-2.3557
Rondale Moore,-210.3725,8.7014,97.0224,7.6615,6.6818,-2.5857,4.8758,1.0509,4.6841,36.2061,-2.5358,-4.7557,2.2585,-0.7461,159.2653,-0.7461,-51.8531,-56.0000,4.1469
