Player,Bias,DOM+,Draft Capital,Breakout Age,Y/RR,CC%,FUM,YAC/R,Drop%,REC%,aDOT,MTF,SpeedxBMI,Base_SHAP_Sum,Interaction_SHAP_Sum,Model_Output_raw_WR,Train_Target_raw,Error_Target
DeAndre Smelter,-213.0755,17.0763,-13.9146,-22.8869,29.7080,-0.4291,0.2897,2.0685,1.3619,-2.6193,-1.3716,-2.6039,-4.3276,6.6790,-4.3276,-210.7240,-194.0000,-16.7240
Malachi Dupre,-213.0755,13.6957,-139.3928,30.2527,3.6673,-1.7542,0.6007,-7.1092,7.0892,-3.9070,-0.7781,-2.8316,14.9720,-100.4673,14.9720,-298.5709,-254.0000,-44.5709
Pharoh Cooper,-213.0755,17.2042,-16.6739,11.7282,18.4548,-1.1374,0.2471,10.6762,2.0373,-3.5813,-1.9599,5.1217,-25.6812,42.1170,-25.6812,-196.6396,-236.0000,39.3604
Hunter Renfrow,-213.0755,-24.3620,-52.3023,-1.2729,-51.3965,-23.4935,0.2897,-3.7729,-8.0047,29.6218,-10.6554,-0.3828,3.4341,-145.7315,3.4341,-355.3727,-402.0000,46.6273
Dominic Lovett,-213.0755,-15.0443,-129.3673,8.2973,3.8413,2.1610,-0.2556,2.5589,-11.9815,0.0431,-3.0521,7.7175,7.3627,-135.0817,7.3627,-340.7945,-286.0000,-54.7945
Josh Malone,-213.0755,15.6512,-17.9666,4.1690,-3.9023,-1.8184,0.2897,1.5110,0.0247,-2.9457,4.5956,-1.7557,8.9568,-2.1475,8.9568,-206.2662,-132.0000,-74.2662
Dontayvion Wicks,-213.0755,13.5477,-38.2980,9.1918,-5.5434,6.6078,0.4607,-7.6973,4.3441,-3.7435,9.9255,0.6337,-28.0824,-10.5709,-28.0824,-251.7287,-186.0000,-65.7287
DaeSean Hamilton,-213.0755,14.9004,-18.0762,13.6586,-4.9142,0.1573,0.2897,1.9393,2.2895,-2.4937,-1.1181,6.4076,-5.7473,13.0402,-5.7473,-205.7825,-172.0000,-33.7825
Wan'Dale Robinson,-213.0755,11.0496,99.3887,3.8516,28.3180,1.5329,0.2897,2.3191,1.0209,13.9540,-1.0273,-3.0916,1.0680,157.6056,1.0680,-54.4021,-80.0000,25.5979
A.J. Brown,-213.0755,15.1153,103.1198,4.8065,9.0503,1.6936,-0.2982,9.1885,2.4171,13.9471,-0.8649,-5.3563,-3.4930,152.8188,-3.4930,-63.7499,-10.0000,-53.7499
Kayshon Boutte,-213.0755,-16.1911,-101.8321,53.3094,7.8543,1.0629,-1.8087,8.6846,5.5445,-2.0372,-1.5511,6.7638,0.2789,-40.2007,0.2789,-252.9974,-140.0000,-112.9974
Simi Fehoko,-213.0755,14.2499,-36.2672,-23.5801,21.6612,-1.0757,1.0924,2.3191,-4.3662,-3.6671,-2.1885,-1.3532,4.3575,-33.1754,4.3575,-241.8935,-180.0000,-61.8935
Justin Watson,-213.0755,35.5649,-44.2292,0.8787,-4.8310,-0.2240,0.2897,-0.9853,-1.4212,-4.3944,-1.6501,-1.4988,-6.3829,-22.5007,-6.3829,-241.9590,-127.0000,-114.9590
Darius Slayton,-213.0755,16.3759,-49.7567,3.4505,-66.1195,2.8581,1.0498,9.4717,10.3195,-5.9819,9.0850,-0.1958,9.8893,-69.4434,9.8893,-272.6295,-215.0000,-57.6295
Zay Jones,-213.0755,14.3824,102.5622,0.8448,15.0434,-1.4069,0.2897,0.1227,-13.3781,4.9019,-2.4426,-3.5088,20.5147,117.4107,20.5147,-75.1502,-105.0000,29.8498
