position,seed,n_subsets,max_base_feats,n_iter_per_model,subset_idx,model,cvR2_mean,TEST_R2,TEST_MAE,TEST_RMSE,n_features,bases,interactions,max_pred
WR,34,20,15,15,8,GB,0.6801859916453918,0.7853784075590831,53.68051040221413,73.48178484848493,13,DOM+|Draft Capital|REC%|CC%|Y/REC|YAC/R|Drop%|aDOT|Breakout Age|FUM|MTF|Y/RR,SpeedxBMI,-1.9214308281343015
WR,34,20,15,15,7,GB,0.6795671430211588,0.7817956068511716,53.97451001328972,74.09258298053504,13,DOM+|Draft Capital|CC%|MTF|YAC/R|Y/RR|aDOT|Breakout Age|Drop%|REC%|FUM|Y/REC,SpeedxBMI,-7.2068186202073
WR,34,20,15,15,17,GB,0.6849455548053002,0.7743785321425207,55.35556163081015,75.34131574370299,11,DOM+|Draft Capital|REC%|Y/RR|Drop%|CC%|Breakout Age|FUM|aDOT|Y/REC,SpeedxBMI,-8.001975222318201
WR,34,20,15,15,11,GB,0.6866001100802267,0.7712450033356194,57.159492653526506,75.86269812564399,12,DOM+|Draft Capital|aDOT|Drop%|Y/REC|YAC/R|MTF|Breakout Age|REC%|CC%|FUM,SpeedxBMI,-0.8614316920585479
WR,34,20,15,15,6,GB,0.6710766783947872,0.7704186197678335,56.95265583981372,75.9996026113158,10,DOM+|Draft Capital|YAC/R|Breakout Age|CC%|FUM|REC%|Y/RR|aDOT,SpeedxBMI,-1.0699636846178986
WR,34,20,15,15,13,GB,0.6280650365497596,0.7405915592620607,62.30081393328386,80.78580218709222,9,DOM+|Draft Capital|Y/REC|aDOT|REC%|MTF|YAC/R|Y/RR,SpeedxBMI,14.115648208063803
WR,34,20,15,15,19,GB,0.6135853931116816,0.7317275824287259,60.106946003184916,82.15443281410421,6,DOM+|Draft Capital|Y/RR|FUM|MTF,SpeedxBMI,6.0830618930079146
WR,34,20,15,15,14,GB,0.6444515766389242,0.724170228463349,62.25577923864394,83.30355971985303,11,DOM+|Draft Capital|Y/REC|REC%|Y/RR|FUM|CC%|aDOT|YAC/R|Drop%,SpeedxBMI,-4.53892458971345
WR,34,20,15,15,12,GB,0.6567910788340091,0.7210011631066069,63.44666916231253,83.78073895438996,7,DOM+|Draft Capital|aDOT|CC%|Breakout Age|FUM,SpeedxBMI,-4.185837775093956
WR,34,20,15,15,16,GB,0.6500296467776622,0.7163606273206891,63.98067118407954,84.47462028128076,6,DOM+|Draft Capital|CC%|Breakout Age|aDOT,SpeedxBMI,13.398443184813585
WR,34,20,15,15,3,GB,0.601474820447267,0.695840022216672,67.16776003276611,87.47702889817279,4,DOM+|Draft Capital|REC%,SpeedxBMI,-8.674495912336244
WR,34,20,15,15,15,GB,0.6133954990948102,0.6906294104118498,67.99512824269978,88.22313832053848,7,DOM+|Draft Capital|aDOT|YAC/R|REC%|FUM,SpeedxBMI,-11.751870057272978
WR,34,20,15,15,4,GB,0.598112577296449,0.6832187838056634,67.09805235650123,89.27352863722864,4,DOM+|Draft Capital|YAC/R,SpeedxBMI,3.2736572069544696
WR,34,20,15,15,18,GB,0.6447805467793125,0.6782974019003466,67.43710817979914,89.96431433893095,9,DOM+|Draft Capital|FUM|Y/REC|CC%|aDOT|MTF|Drop%,SpeedxBMI,-4.332737609021793
WR,34,20,15,15,10,GB,0.5886033368192917,0.6686914491117169,64.77725109061141,91.29758981309632,4,DOM+|Draft Capital|MTF,SpeedxBMI,10.309639159936436
