Player,Bias,DOM+,Draft Capital,Y/REC,YAC/R,Drop%,CC%,REC%,FUM,Y/RR,Breakout Age,aDOT,MTF,SpeedxBMI,Base_SHAP_Sum,Interaction_SHAP_Sum,Model_Output_raw_WR,Train_Target_raw,Error_Target
Isaiah Coulter,-207.4151,19.8411,-49.0046,-1.7496,0.9018,2.8144,-3.4442,-4.1957,1.3629,10.8568,13.1627,-0.2995,1.7471,13.8113,-8.0068,13.8113,-201.6107,-299.0000,97.3893
Keon Coleman,-207.4151,12.6892,113.8823,-1.8594,3.1299,-9.1453,-1.9372,-7.8141,-3.8722,-51.4094,9.2869,-0.9309,1.0175,11.3269,63.0373,11.3269,-133.0509,-102.0000,-31.0509
Dez Fitzpatrick,-207.4151,9.8418,-7.1653,3.9139,1.1423,-2.8838,1.4880,-13.7678,1.6883,-0.0226,16.6843,0.0823,2.1379,9.6147,13.1393,9.6147,-184.6610,-220.0000,35.3390
Darius Slayton,-207.4151,24.2910,-59.9760,6.5681,2.0205,32.0316,2.1468,-13.1626,1.7321,-60.5028,6.2002,2.6375,0.6205,11.8801,-55.3931,11.8801,-250.9282,-215.0000,-35.9282
JJ Arcega-Whiteside,-207.4151,23.9781,103.3787,-1.9457,1.7331,3.0497,-3.9194,-4.4593,1.9091,2.4575,10.1247,-1.2349,1.7663,-6.5715,136.8379,-6.5715,-77.1485,-208.0000,130.8515
Adonai Mitchell,-207.4151,10.6922,110.4304,0.6344,-15.3255,-11.8976,2.1998,-5.2209,2.0899,-55.8873,-10.3001,-3.5950,-0.3550,3.6530,23.4653,3.6530,-180.2968,-103.0000,-77.2968
Xavier Worthy,-207.4151,9.2147,119.8482,-2.3084,5.2282,0.1413,0.4706,-23.4530,-5.0860,1.4164,46.9449,-1.7157,2.6574,4.8198,153.3586,4.8198,-49.2368,-27.0000,-22.2368
Malcolm Mitchell,-207.4151,34.7712,-22.8134,-3.3651,-2.3678,-0.6145,-3.7196,-19.9134,-2.0987,16.1579,-77.1138,-3.2440,3.2961,-6.6789,-81.0251,-6.6789,-295.1192,-139.0000,-156.1192
K.J. Osborn,-207.4151,-18.9969,-71.3433,-1.4264,-0.1346,-1.2554,4.0290,-16.6248,1.7024,-43.9182,0.0106,-2.6385,1.4764,-40.1483,-149.1197,-40.1483,-396.6831,-317.0000,-79.6831
Jameson Williams,-207.4151,9.1505,126.0576,4.2320,4.1059,5.4095,2.1154,5.0654,-5.0130,10.6455,3.9566,-4.1318,3.4884,7.5398,165.0820,7.5398,-34.7933,-15.0000,-19.7933
James Proche,-207.4151,17.4269,-120.6930,0.2366,0.6563,2.5102,-2.2766,-3.5423,1.3629,6.2091,7.4593,-0.9289,1.8420,-6.8060,-89.7375,-6.8060,-303.9586,-364.0000,60.0414
Marcell Ateman,-207.4151,-7.9804,-164.4970,9.6449,1.2989,1.1175,-0.4786,3.8930,-3.2453,22.8100,-79.2897,-2.4510,0.9597,-1.3374,-218.2180,-1.3374,-426.9707,-453.0000,26.0293
Rome Odunze,-207.4151,9.1481,127.9896,3.1303,0.8686,-14.6723,-5.0886,-5.3165,-3.5777,10.9953,11.8930,-2.9128,0.1363,5.2776,132.5933,5.2776,-69.5443,-18.0000,-51.5443
Tyreek Hill,-207.4151,-138.7025,-73.0091,-5.5868,4.1986,-6.0859,-2.1421,26.8790,-0.4220,-15.0666,3.3568,1.7047,-0.2458,-8.6851,-205.1217,-8.6851,-421.2218,-168.0000,-253.2218
Isaiah Hodgins,-207.4151,14.6951,-97.3502,-0.7598,-10.9060,-7.2610,-0.8609,3.7671,0.0572,19.2694,8.4567,-2.2211,-0.4029,20.2008,-73.5164,20.2008,-260.7307,-279.0000,18.2693
J'Mon Moore,-207.4151,18.5849,-9.1086,4.1315,1.8432,1.0411,1.2294,-11.9444,-2.4345,16.5461,12.7161,-0.7279,2.8708,-4.5632,34.7477,-4.5632,-177.2306,-197.0000,19.7694
Kenny Golladay,-207.4151,13.8392,51.1817,-1.8589,-3.0748,-14.1605,-2.2921,-10.1295,-3.2087,16.4458,-33.2498,-5.8366,0.5265,-5.6556,8.1823,-5.6556,-204.8884,-136.0000,-68.8884
Isaac TeSlaa,-207.4151,-43.2024,38.1051,15.2032,-0.9038,-15.4499,-5.1516,11.5646,0.5693,-25.8356,4.3630,-4.9773,-2.2209,4.8465,-27.9363,4.8465,-230.5048,-150.0000,-80.5048
Arian Smith,-207.4151,-58.7173,-22.2537,10.7882,4.8771,32.0879,-10.7628,5.2012,-2.8729,-11.2400,6.3393,1.5694,2.9057,7.6436,-42.0779,7.6436,-241.8495,-322.0000,80.1505
Trevor Davis,-207.4151,-114.9667,-67.2942,-5.6713,0.4294,1.1492,-3.6848,-5.9494,0.2819,8.6132,9.1893,-0.2328,1.5804,21.2667,-176.5558,21.2667,-362.7041,-383.0000,20.2959
Troy Franklin,-207.4151,16.9825,-18.0973,2.2278,1.6774,4.5020,3.1798,8.0072,1.0748,14.5579,10.9088,0.5678,3.4347,7.9613,49.0234,7.9613,-150.4304,-106.0000,-44.4304
Kaden Prather,-207.4151,-31.6239,-161.4338,-5.9773,0.2386,-11.1049,2.7336,-3.1258,1.4468,-38.7326,0.1469,-1.0489,-0.2171,16.8923,-248.6984,16.8923,-439.2212,-526.0000,86.7788
Phillip Dorsett,-207.4151,9.7114,128.4488,-4.2513,13.2730,-12.0513,-2.3764,-1.9954,2.2348,3.4741,9.6046,11.9607,-0.1001,6.3113,157.9329,6.3113,-43.1710,-72.0000,28.8290
Jamari Thrash,-207.4151,17.1452,-40.4323,1.4930,4.0506,4.0629,6.4352,-4.4486,1.0719,24.3751,-17.4284,-2.3989,2.7326,17.3985,-3.3417,17.3985,-193.3583,-281.0000,87.6417
DeVante Parker,-207.4151,9.1928,128.1080,4.1796,4.4973,-1.8772,-2.9296,-2.7278,2.2428,6.9960,4.3468,-2.9343,2.8006,5.9324,151.8950,5.9324,-49.5875,-36.0000,-13.5875
Terry Godwin,-207.4151,12.3311,-142.6797,-2.0730,2.6703,3.6114,-3.8793,-3.4515,1.3911,15.9979,-6.6219,-1.1731,1.5120,19.6898,-122.3647,19.6898,-310.0898,-425.0000,114.9102
Konata Mumpfield,-207.4151,12.4950,-155.1877,-2.4751,-3.0433,2.3044,0.3130,-4.4530,1.0613,-71.1121,45.9442,-0.2871,0.8976,-10.3095,-173.5428,-10.3095,-391.2673,-401.0000,9.7327
Riley Ridley,-207.4151,0.5738,-11.2044,3.1753,-20.7868,1.1834,-7.2565,21.6338,1.5734,-22.8757,-67.8132,-3.8010,0.3521,-8.2281,-105.2458,-8.2281,-320.8891,-461.0000,140.1109
Dezmon Patmon,-207.4151,-94.7935,-122.2914,-4.5989,-0.7692,-0.1314,34.0796,15.7746,-0.3607,5.1935,3.5316,0.5399,0.3051,-2.9844,-163.5208,-2.9844,-373.9203,-392.0000,18.0797
Devin Lucien,-207.4151,4.2469,-173.7213,3.3568,1.2167,1.7439,-3.7112,5.4865,-2.5030,18.8503,-81.1514,-2.9597,1.3235,-14.2822,-227.8220,-14.2822,-449.5193,-385.0000,-64.5193
Tony Lippett,-207.4151,15.0637,-44.3072,1.8062,-1.9389,-10.7272,-3.5075,-16.5323,0.1298,27.8149,-55.8425,-4.0803,0.0090,13.3750,-92.1123,13.3750,-286.1523,-280.0000,-6.1523
Calvin Austin III,-207.4151,19.5893,-8.9298,1.0603,1.6237,3.0618,6.7220,-0.5923,1.0719,13.3091,1.6824,-1.1439,3.0968,-3.6396,40.5513,-3.6396,-170.5034,-288.0000,117.4966
Amari Cooper,-207.4151,20.9696,128.8140,-3.3986,1.5540,2.4029,-4.5595,10.1838,2.1076,9.2281,49.8828,-0.4272,-14.2403,12.0444,202.5172,12.0444,7.1465,-5.0000,12.1465
Kolby Listenbee,-207.4151,-91.9346,-104.5716,6.3508,-22.6795,-1.6068,-3.3666,-5.6286,-0.2830,8.2325,4.5610,12.7018,-0.9808,27.0879,-199.2054,27.0879,-379.5326,-481.0000,101.4674
Hakeem Butler,-207.4151,18.6347,-7.4552,-1.6802,2.3104,32.3997,0.7827,2.1481,0.1043,21.9165,2.0568,0.1577,2.0093,-4.7474,73.3848,-4.7474,-138.7777,-115.0000,-23.7777
Erik Ezukanma,-207.4151,17.8661,-7.6599,1.6733,1.9584,2.8695,1.6706,-0.2875,1.3780,1.3812,10.9325,0.5242,2.0721,7.0517,34.3785,7.0517,-165.9850,-219.0000,53.0150
Johnny Wilson,-207.4151,-16.1024,-111.9026,4.5696,1.8452,1.9063,-0.9953,1.2370,1.4350,29.1999,-3.1713,-1.0871,1.4023,-11.1916,-91.6634,-11.1916,-310.2700,-176.0000,-134.2700
Derius Davis,-207.4151,-111.7533,-25.5596,-2.2601,5.3487,0.3330,-6.6100,-1.9078,0.1797,-4.2699,6.4647,2.8116,2.8643,14.0765,-134.3587,14.0765,-327.6972,-329.0000,1.3028
Malachi Corley,-207.4151,-39.6601,53.8871,-2.1829,3.0943,5.3084,-11.4092,8.1839,-2.9679,6.8089,2.9259,0.3813,3.5494,-9.5231,27.9191,-9.5231,-189.0191,-147.0000,-42.0191
Noah Brown,-207.4151,-15.3934,-176.8162,1.2208,-26.0831,-1.6365,-1.8970,-6.7743,1.6103,-71.2692,12.7284,1.6604,0.8712,-15.3678,-281.7786,-15.3678,-504.5615,-478.0000,-26.5615
Sammie Coates,-207.4151,15.9595,58.8536,-3.3245,1.8246,-1.0050,-2.8566,-6.1565,1.2236,15.6214,4.7991,11.1561,1.8597,0.3507,97.9550,0.3507,-109.1095,-113.0000,3.8905
CeeDee Lamb,-207.4151,8.9523,128.4394,1.2934,10.3537,-1.2809,-0.8359,9.3709,-5.7084,8.0416,8.3402,-3.1780,-12.4799,4.3775,151.3084,4.3775,-51.7292,-6.0000,-45.7292
Donovan Peoples-Jones,-207.4151,22.6121,-120.0729,0.3607,1.0224,0.1965,-0.4773,-8.4823,1.6711,-14.7712,24.7251,-1.9929,1.4967,6.2406,-93.7120,6.2406,-294.8865,-237.0000,-57.8865
Chimere Dike,-207.4151,34.0143,-14.1290,-0.1973,1.1853,2.3371,-2.9528,0.1391,1.7835,3.4588,22.8300,-1.5865,-0.8578,7.3674,46.0247,7.3674,-154.0230,-161.0000,6.9770
Braxton Berrios,-207.4151,10.8752,-135.0800,4.9864,-3.9101,2.8647,-7.1716,-10.6413,1.2718,-78.4197,-30.9675,2.5870,0.6348,-18.5868,-242.9703,-18.5868,-468.9722,-527.0000,58.0278
Justin Hardy,-207.4151,20.3657,-7.7351,0.2337,-0.1222,-11.9872,-1.5756,6.9447,-2.7088,1.7649,14.3611,0.6556,0.6880,5.5203,20.8848,5.5203,-181.0100,-335.0000,153.9900
Anthony Gould,-207.4151,-88.1324,-62.3618,9.4881,-0.6023,-2.2635,3.8319,-7.8928,0.5081,9.9039,5.9073,-3.5376,-5.1485,17.0848,-140.2996,17.0848,-330.6299,-409.0000,78.3701
Daniel Braverman,-207.4151,18.4521,-165.3294,1.9394,2.4141,1.9904,-4.2269,10.0441,-3.5897,16.1140,-9.3557,2.0686,-18.6655,-13.0664,-148.1445,-13.0664,-368.6261,-315.0000,-53.6261
Taywan Taylor,-207.4151,12.2640,59.2072,-1.1392,1.6271,-0.7589,-2.7571,5.0621,-2.8443,11.7043,6.3716,-4.1265,2.9028,-33.1709,87.5131,-33.1709,-153.0729,-126.0000,-27.0729
Mike Thomas,-207.4151,-87.2948,-113.8105,-8.9702,0.6087,3.0050,-3.0500,-8.3579,-0.4194,0.9491,69.2789,-1.5944,1.6128,-41.1859,-148.0427,-41.1859,-396.6438,-334.0000,-62.6438
George Pickens,-207.4151,10.1324,88.3345,-1.7295,-13.7747,-7.4534,3.4566,-4.9295,1.8775,2.9604,14.9322,-1.9963,-0.9839,4.7117,90.8263,4.7117,-111.8771,-30.0000,-81.8771
Michael Pittman Jr.,-207.4151,9.6794,121.4057,1.8501,-6.1066,-15.4763,4.0906,12.0697,-4.2244,0.9011,-39.6479,4.5799,1.5584,-4.8071,90.6797,-4.8071,-121.5423,-62.0000,-59.5423
Keke Coutee,-207.4151,19.1472,-17.8521,2.3040,2.6946,4.3646,-11.3981,10.6973,1.0578,10.6888,7.5151,0.8389,0.8185,9.5845,30.8766,9.5845,-166.9539,-151.0000,-15.9539
Jack Bech,-207.4151,5.6213,109.5505,0.0718,-0.8474,-13.2760,2.0688,8.3512,2.2488,4.8511,-28.1128,-6.2962,-0.7671,-22.8607,83.4640,-22.8607,-146.8116,-183.0000,36.1884
Quintez Cephus,-207.4151,30.9783,-50.3381,2.4741,-0.0945,4.5059,-4.6828,-3.1562,0.7871,17.1520,15.5024,-1.7157,1.2840,-1.2644,12.6965,-1.2644,-195.9831,-326.0000,130.0169
Justin Shorter,-207.4151,-88.3479,-70.7869,1.9638,-11.0153,7.5948,-1.7372,-5.5278,-0.2756,11.3651,5.3521,0.9352,0.3729,-48.9591,-150.1068,-48.9591,-406.4809,-243.0000,-163.4809
KJ Hamler,-207.4151,8.1752,93.4522,6.4576,2.3091,30.9905,1.1200,-17.9950,1.6488,4.4314,8.5695,0.0480,-0.5289,6.2307,138.6784,6.2307,-62.5060,-112.0000,49.4940
JuJu Smith-Schuster,-207.4151,13.0079,101.6334,-0.1020,1.1755,4.1329,-3.4044,5.9307,1.5000,6.6201,10.2456,1.0273,1.6879,-22.2590,143.4549,-22.2590,-86.2193,-35.0000,-51.2193
Miles Boykin,-207.4151,51.7316,40.8216,-5.5906,-15.3631,15.5753,-3.7655,-10.9896,-0.3709,-21.8239,8.5407,-2.2027,-6.4711,6.1435,50.0918,6.1435,-151.1799,-199.0000,47.8201
Rashard Higgins,-207.4151,17.3791,-54.7588,3.5440,1.5262,3.7654,-2.7457,9.1638,0.7571,15.7255,13.7943,0.7760,1.8595,-9.7277,10.7864,-9.7277,-206.3563,-128.0000,-78.3563
Ja'Marr Chase,-207.4151,10.3584,129.3383,4.2345,1.7777,3.4736,-3.8070,8.2524,-6.2708,12.1137,12.3950,-1.2555,-11.7955,4.7634,158.8148,4.7634,-43.8368,-2.0000,-41.8368
Stefon Diggs,-207.4151,18.5242,-51.7629,-0.4338,4.0162,2.5677,-4.0873,-4.9174,1.0776,4.7185,8.1702,0.6467,2.9196,13.6523,-18.5607,13.6523,-212.3235,-120.0000,-92.3235
Joe Reed,-207.4151,23.7782,-52.5020,-2.6569,1.3778,-17.0681,4.7643,20.8995,-3.4460,-43.0234,19.6773,0.0370,1.9267,1.3104,-46.2356,1.3104,-252.3402,-295.0000,42.6598
Velus Jones Jr.,-207.4151,2.2558,54.6850,-0.7874,3.6636,0.2741,-1.8811,11.8324,1.4534,7.7940,6.0064,2.4118,2.8949,-3.9449,90.6029,-3.9449,-120.7570,-298.0000,177.2430
Jalen Camp,-207.4151,20.0800,-148.3319,-0.0382,-3.6611,-1.6863,1.5983,-32.3573,1.6993,-77.1401,-87.1832,-1.1385,0.0058,0.3417,-328.1532,0.3417,-535.2266,-432.0000,-103.2266
Kayshon Boutte,-207.4151,7.8874,-102.4418,-8.7749,2.1559,3.7617,1.6251,6.2474,1.4141,2.1854,75.5794,-1.1058,2.1008,1.1127,-9.3653,1.1127,-215.6679,-140.0000,-75.6679
Antoine Green,-207.4151,-44.1206,-143.8397,12.2935,2.0812,3.0099,0.5998,-4.2967,0.6796,-29.4018,1.9304,5.7611,0.2812,13.9278,-195.0221,13.9278,-388.5095,-332.0000,-56.5095
