Player,Bias,DOM+,Draft Capital,Drop%,aDOT,REC%,MTF,YAC/R,FUM,Y/RR,Breakout Age,SpeedxBMI,Base_SHAP_Sum,Interaction_SHAP_Sum,Model_Output_raw_WR,Train_Target_raw,Error_Target
Keith Mumphery,-210.4659,-116.3187,-52.7542,3.3884,-4.0916,-4.3743,1.6475,6.2999,2.0518,0.1805,3.3796,1.8988,-160.5911,1.8988,-369.1582,-433.0000,63.8418
N'Keal Harry,-210.4659,3.8572,134.5867,3.4568,2.4876,-4.1371,-7.2345,5.3754,-2.7752,10.7616,17.7572,-2.9220,164.1357,-2.9220,-49.2523,-49.0000,-0.2523
Calvin Ridley,-210.4659,16.8763,134.2708,5.0702,1.8174,-0.9715,-0.8430,4.5502,1.7458,8.3305,0.6151,8.6843,171.4618,8.6843,-30.3198,-22.0000,-8.3198
Josh Malone,-210.4659,18.9157,-21.9817,1.5162,3.9387,-2.4988,1.2869,3.9209,1.7056,-0.2800,4.1158,11.6745,10.6393,11.6745,-188.1521,-132.0000,-56.1521
Tylan Wallace,-210.4659,24.6331,-21.2988,3.7462,4.1305,-4.9078,3.7880,-6.4629,-2.4546,24.2755,6.8136,3.7364,32.2628,3.7364,-174.4666,-125.0000,-49.4666
Ladd McConkey,-210.4659,-8.7989,102.8720,7.8970,-1.5351,6.3635,3.0946,7.5313,-4.6229,-9.5950,2.5306,8.4921,105.7371,8.4921,-96.2368,-64.0000,-32.2368
Tahj Washington,-210.4659,-5.1888,-142.6033,-12.0660,1.8357,15.5213,-11.3924,10.3320,2.1756,18.1165,10.5933,12.1197,-112.6761,12.1197,-311.0225,-327.0000,15.9775
Tee Higgins,-210.4659,18.3473,100.8036,5.1494,2.5062,-3.2788,3.5671,3.6951,1.5061,23.9114,5.2566,-0.6758,161.4640,-0.6758,-49.6777,-39.0000,-10.6777
Jacob Cowing,-210.4659,24.4134,-24.5455,-10.6313,-5.1374,-3.2789,2.3981,3.5257,1.7641,-1.6376,38.2808,9.6089,25.1514,9.6089,-175.7055,-203.0000,27.2945
Quentin Johnston,-210.4659,20.8463,133.8354,4.8177,5.3021,4.2197,3.8335,10.9506,-3.8806,14.9166,13.4686,1.9944,208.3099,1.9944,-0.1616,-43.0000,42.8384
Carlos Henderson,-210.4659,10.4465,55.4778,-7.0582,0.3473,-6.0898,-8.3774,15.2161,1.9000,27.0110,-22.0990,-1.4306,66.7743,-1.4306,-145.1221,-184.0000,38.8779
Noah Brown,-210.4659,-20.5768,-165.0420,-0.6341,-2.5141,-1.3157,1.4895,-52.1572,2.5025,-71.3059,-0.4214,-6.9876,-309.9752,-6.9876,-527.4287,-478.0000,-49.4287
Zay Flowers,-210.4659,20.7350,133.7061,6.0280,1.8904,-2.2377,3.4437,5.4723,-3.5175,-7.2729,2.9166,0.8872,161.1640,0.8872,-48.4149,-58.0000,9.5851
Rondale Moore,-210.4659,5.4322,98.6649,1.5071,5.4524,7.3258,-6.2328,6.7592,-2.6595,6.8090,36.4257,-1.7254,159.4840,-1.7254,-52.7073,-56.0000,3.2927
Justin Shorter,-210.4659,-96.1526,-52.7273,29.5719,-1.6500,-2.4309,8.4240,-33.4742,2.5013,2.7711,5.1982,-22.6606,-137.9685,-22.6606,-371.0949,-243.0000,-128.0949
Darius Slayton,-210.4659,22.4474,-47.7870,5.8481,4.9906,-6.0319,1.7615,11.8373,2.5606,-37.5110,4.2453,6.7428,-37.6391,6.7428,-241.3621,-215.0000,-26.3621
Jamari Thrash,-210.4659,24.2185,-43.5542,5.0567,-1.5394,-3.3650,3.9603,6.8018,1.1863,17.9609,-16.3724,10.7281,-5.6465,10.7281,-205.3843,-281.0000,75.6157
Jalen Camp,-210.4659,13.9191,-132.7007,2.5727,-6.0976,-14.6686,7.7991,-16.0802,2.5013,-80.4822,-79.0515,-3.2816,-302.2886,-3.2816,-516.0363,-432.0000,-84.0363
Jordan Payton,-210.4659,13.1419,-45.8078,-10.5638,-3.4294,-1.4371,-7.1023,5.9073,2.1766,-5.4573,1.0115,2.9462,-51.5604,2.9462,-259.0801,-259.0000,-0.0801
Velus Jones Jr.,-210.4659,-4.8057,50.3245,-3.7726,5.9033,12.3484,1.9522,11.4453,2.0248,10.1732,3.4889,-1.9744,89.0823,-1.9744,-123.3579,-298.0000,174.6421
Joe Reed,-210.4659,17.4365,-59.7294,-7.9449,10.4632,8.9204,2.3380,7.1917,-4.5400,-66.2316,1.1001,2.0511,-90.9960,2.0511,-299.4108,-295.0000,-4.4108
Dax Milne,-210.4659,50.2876,-147.8098,3.1385,-4.7242,-4.9271,0.9308,4.6063,2.3194,1.8681,3.4468,-2.9618,-90.8636,-2.9618,-304.2914,-314.0000,9.7086
Tory Horton,-210.4659,23.5659,-46.8942,2.0263,-4.9396,-1.0773,-3.7360,4.7461,-2.3716,17.5560,4.7680,8.5764,-6.3564,8.5764,-208.2459,-195.0000,-13.2459
Tyler Scott,-210.4659,50.5397,-30.9321,-5.1216,18.6544,29.0952,20.8967,-46.5333,2.7429,-59.5929,5.6028,5.7322,-14.6482,5.7322,-219.3820,-226.0000,6.6180
Dyami Brown,-210.4659,18.2643,52.1538,4.8744,4.9801,-3.1640,0.2998,3.4972,1.6210,10.0021,5.1611,11.9081,97.6898,11.9081,-100.8679,-92.0000,-8.8679
Elic Ayomanor,-210.4659,10.3722,-22.2892,4.6598,-1.7124,-6.3980,0.8527,-9.4148,1.2710,-8.6247,5.5993,2.9973,-25.6841,2.9973,-233.1528,-163.0000,-70.1528
Elijah Moore,-210.4659,15.5030,101.3834,-1.1398,2.7641,4.3071,1.8651,4.2289,0.9848,17.7621,3.6329,-1.3202,151.2916,-1.3202,-60.4944,-46.0000,-14.4944
Javon Wims,-210.4659,21.0694,-174.1546,-11.6463,-3.7248,-6.7199,2.9935,-30.6409,2.3876,9.5435,-74.0769,-0.2650,-264.9694,-0.2650,-475.7002,-484.0000,8.2998
Jalen Brooks,-210.4659,-101.6216,-170.4985,3.2079,-3.0214,8.6216,0.8795,7.7941,-5.1566,-62.8979,1.4211,-3.9052,-321.2718,-3.9052,-535.6427,-548.0000,12.3573
Charone Peake,-210.4659,-111.9753,-146.8883,6.8450,-4.9710,-13.5853,2.6136,5.9285,2.5025,-3.7006,1.9009,-2.3440,-261.3300,-2.3440,-474.1400,-508.0000,33.8600
Kayshon Boutte,-210.4659,-1.9750,-91.4056,8.7106,-4.6842,-0.9878,3.8573,9.6692,2.3802,2.5111,63.0173,0.6320,-8.9069,0.6320,-218.7408,-140.0000,-78.7408
Rashad Greene,-210.4659,21.6727,-46.9842,1.9922,-2.9868,-2.8837,0.8982,3.6991,2.0518,2.4248,18.9308,7.9305,-1.1851,7.9305,-203.7206,-271.0000,67.2794
D'Wayne Eskridge,-210.4659,17.6929,103.9453,2.7571,-1.9843,7.9806,5.5487,13.4273,-3.9462,16.7685,1.8715,-18.8900,164.0614,-18.8900,-65.2945,-110.0000,44.7055
Mike Williams,-210.4659,18.5343,-21.0466,3.7210,-1.8303,-2.0344,1.6965,5.7219,1.5907,-0.1803,1.4269,-1.4225,7.5997,-1.4225,-204.2887,-32.0000,-172.2887
Mike Williams,-210.4659,14.3338,137.4537,3.7759,-1.8303,-1.9805,1.0382,5.3676,1.5907,-2.9637,0.2165,-0.2831,157.0019,-0.2831,-53.7471,-32.0000,-21.7471
Demarcus Ayers,-210.4659,15.7089,-151.4849,3.7802,-2.3479,-2.0843,1.6712,5.7030,2.3876,2.1871,-3.0196,-23.2155,-127.4987,-23.2155,-361.1801,-448.0000,86.8199
Calvin Austin III,-210.4659,21.0376,-19.8666,6.4022,-2.4539,2.9950,3.9703,5.5495,1.3713,17.5438,4.6051,-1.4281,41.1543,-1.4281,-170.7398,-288.0000,117.2602
Justin Jefferson,-210.4659,17.8569,132.6413,4.7118,-2.8436,4.1425,2.4971,3.2445,2.0756,-0.8187,2.3581,3.5795,165.8655,3.5795,-41.0210,-4.0000,-37.0210
Casey Washington,-210.4659,-8.5273,-116.1100,-9.8607,6.8464,-4.4812,7.2475,-2.4504,2.2915,-72.9169,4.2122,-1.8504,-193.7489,-1.8504,-406.0652,-493.0000,86.9348
James Proche,-210.4659,21.3818,-98.0842,2.2587,-2.2932,-2.2207,1.5040,5.9139,2.0518,1.6685,6.9118,-18.0228,-60.9076,-18.0228,-289.3963,-364.0000,74.6037
Quez Watkins,-210.4659,13.2836,-96.1783,3.6199,-3.8735,-3.7263,4.0981,10.5027,-3.7977,18.5842,8.1768,10.1836,-49.3105,10.1836,-249.5927,-173.0000,-76.5927
Ronnie Bell,-210.4659,-52.8305,-126.8118,3.9690,-3.5929,2.2056,1.0527,11.1408,2.9656,6.3443,31.1457,1.5555,-124.4115,1.5555,-333.3219,-202.0000,-131.3219
Jalen Royals,-210.4659,18.4835,-21.8640,1.8358,-3.8325,3.7463,-4.7916,6.4081,1.7513,9.2352,3.9404,1.3453,14.9125,1.3453,-194.2081,-152.0000,-42.2081
Vince Mayle,-210.4659,-16.0390,-25.9484,4.2696,4.6741,-5.3689,-14.3506,11.4813,-4.1519,16.3343,-12.8592,-3.2850,-41.9587,-3.2850,-255.7095,-418.0000,162.2905
Jehu Chesson,-210.4659,24.3254,-21.8323,5.9941,-2.4496,-3.9534,3.4324,5.8918,2.0739,-3.8547,-17.9946,12.9854,-8.3670,12.9854,-205.8475,-287.0000,81.1525
DaeSean Hamilton,-210.4659,13.5289,-22.7078,2.5713,1.9675,-1.8502,3.9336,7.4210,2.3616,-7.1155,6.4304,-0.0494,6.5408,-0.0494,-203.9745,-172.0000,-31.9745
Jahan Dotson,-210.4659,11.0768,133.7385,-11.0550,-3.8764,-3.6689,-0.5134,3.6842,0.7854,3.7795,2.5763,8.0434,136.5270,8.0434,-65.8955,-41.0000,-24.8955
Curtis Samuel,-210.4659,15.7145,98.8746,-1.9222,1.7433,9.4114,-1.3691,4.3028,1.7458,10.2701,3.2795,2.1674,142.0507,2.1674,-66.2477,-53.0000,-13.2477
Xavier Legette,-210.4659,13.0984,138.2327,-9.7135,-2.0521,3.6701,-0.5476,5.6519,0.9749,18.0773,1.9519,-19.2738,169.3440,-19.2738,-60.3957,-88.0000,27.6043
Chase Claypool,-210.4659,53.5360,108.2732,-0.8759,-5.9164,-5.2685,8.9825,7.3710,2.6181,-10.9900,3.2484,-18.2930,160.9784,-18.2930,-67.7805,-91.0000,23.2195
Tank Dell,-210.4659,48.4459,53.1629,1.5713,-4.5705,-5.2463,0.1054,3.9692,2.1686,-3.2488,4.6936,-2.3142,101.0513,-2.3142,-111.7288,-124.0000,12.2712
Seth Williams,-210.4659,22.8819,-90.9572,-13.8764,-1.7567,-7.6058,4.0048,-1.4957,-3.5565,1.5653,90.9073,6.2808,0.1110,6.2808,-204.0740,-206.0000,1.9260
John Ross,-210.4659,19.9916,137.0904,-6.4706,-3.5131,-3.2995,-5.4443,-5.3091,-3.3224,18.3724,1.4068,8.8248,149.5022,8.8248,-52.1388,-111.0000,58.8612
Dez Fitzpatrick,-210.4659,-1.1027,-23.9463,-4.4135,-1.7831,-10.2193,1.7487,5.1669,1.9171,-9.9241,6.3885,3.5939,-36.1678,3.5939,-243.0396,-220.0000,-23.0396
Jalen Reagor,-210.4659,15.1406,133.9614,1.0796,-1.8467,-8.3112,1.1511,-4.4103,1.2710,-14.9139,20.0649,-21.0908,143.1865,-21.0908,-88.3703,-83.0000,-5.3703
Bryan Edwards,-210.4659,6.4070,47.9017,-10.6277,1.9454,-1.6115,2.0527,6.3027,1.9026,-3.4591,7.1594,-2.5018,57.9732,-2.5018,-154.9947,-86.0000,-68.9947
Jaelen Strong,-210.4659,20.3083,51.6900,4.1638,-1.8467,-2.3922,0.4278,0.7740,1.6210,13.0384,5.2969,0.4440,93.0813,0.4440,-116.9406,-78.0000,-38.9406
Javon Baker,-210.4659,22.0917,-18.7961,3.8423,3.9554,-6.1727,1.2336,9.0973,2.0149,26.1825,3.4050,2.7238,46.8539,2.7238,-160.8882,-211.0000,50.1118
Devaughn Vele,-210.4659,-13.8387,-164.8194,-5.2997,-8.2292,-13.1874,-2.1643,-58.5069,2.9619,-32.5574,-54.8299,8.9021,-350.4710,8.9021,-552.0349,-572.0000,19.9651
Corey Davis,-210.4659,20.3836,132.1926,3.7141,-4.4037,-2.8150,3.0854,11.0495,1.8900,22.3116,18.2192,3.2800,205.6273,3.2800,-1.5585,-47.0000,45.4415
Kaelin Clay,-210.4659,-9.4904,-128.5150,4.2354,13.1053,-12.1099,6.7036,9.6310,-4.7249,-77.3488,-66.5274,-11.1608,-265.0411,-11.1608,-486.6678,-560.0000,73.3322
Evan Spencer,-210.4659,-55.6790,-98.2249,1.5002,-4.7242,-5.1965,0.8080,4.7719,1.9836,0.4950,5.5579,-3.2039,-148.7080,-3.2039,-362.3778,-571.0000,208.6222
JJ Arcega-Whiteside,-210.4659,15.5414,100.6126,2.0414,-2.4629,-2.8027,0.1988,3.5667,1.5907,-3.1063,4.3680,-2.2196,119.5477,-2.2196,-93.1379,-208.0000,114.8621
Anthony Schwartz,-210.4659,12.9116,52.6369,5.0142,7.8671,-4.1135,5.9616,11.1844,-5.9087,-2.4049,4.0721,9.4376,87.2208,9.4376,-113.8074,-98.0000,-15.8074
Puka Nacua,-210.4659,-96.6184,-50.1078,2.4526,17.2111,25.4961,16.4445,14.8148,-5.0512,8.2175,2.3970,8.1055,-64.7438,8.1055,-267.1041,-122.0000,-145.1041
Racey McMath,-210.4659,-30.9649,-116.5840,-7.5272,-0.5236,-10.9909,3.6429,-50.9898,2.0985,-79.1352,7.0830,2.2283,-283.8912,2.2283,-492.1290,-356.0000,-136.1290
Luke McCaffrey,-210.4659,21.4560,50.5084,-10.5451,1.2739,-8.7709,0.0642,5.2946,2.3616,-9.7598,3.7046,8.7796,55.5875,8.7796,-146.0988,-187.0000,40.9012
