Player,Bias,DOM+,Draft Capital,aDOT,YAC/R,FUM,Breakout Age,REC%,Y/REC,SpeedxBMI,Base_SHAP_Sum,Interaction_SHAP_Sum,Model_Output_raw_WR,Train_Target_raw,Error_Target
DeAndre Smelter,-213.0755,20.7829,-12.9797,6.6489,7.5098,0.1068,-50.2549,-41.8998,10.2305,-21.9078,-59.8555,-21.9078,-294.8388,-194.0000,-100.8388
Malachi Dupre,-213.0755,29.0970,-158.2744,1.1248,-23.0506,-0.3292,30.4366,-9.5836,0.8882,13.7165,-129.6912,13.7165,-329.0502,-254.0000,-75.0502
Pharoh Cooper,-213.0755,31.0868,-15.4706,-16.2930,12.2040,0.1068,10.9216,-18.1236,5.4629,-25.5379,9.8949,-25.5379,-228.7185,-236.0000,7.2815
Hunter Renfrow,-213.0755,-61.3823,-37.7190,-13.7658,-11.2639,0.8744,-0.2441,19.5885,-6.5005,9.2612,-110.4127,9.2612,-314.2269,-402.0000,87.7731
Dominic Lovett,-213.0755,-27.4035,-135.1417,-2.2421,18.2047,-0.8837,7.9298,14.5699,-7.5250,13.9769,-132.4916,13.9769,-331.5902,-286.0000,-45.5902
Josh Malone,-213.0755,22.2418,-11.9377,-1.8780,2.3481,-0.1991,6.3419,0.7991,18.3400,9.9578,36.0561,9.9578,-167.0616,-132.0000,-35.0616
Dontayvion Wicks,-213.0755,4.7283,-37.5168,7.4454,-29.0311,4.3791,3.2993,-20.6081,-0.6723,-42.7425,-67.9762,-42.7425,-323.7941,-186.0000,-137.7941
DaeSean Hamilton,-213.0755,12.3990,-11.8062,-6.5588,6.2725,-0.1991,17.1481,-3.5625,2.0331,-0.2307,15.7261,-0.2307,-197.5801,-172.0000,-25.5801
Wan'Dale Robinson,-213.0755,19.0629,99.3758,-2.3720,1.5301,0.5686,-4.7113,15.9671,1.4349,-3.0901,130.8561,-3.0901,-85.3096,-80.0000,-5.3096
A.J. Brown,-213.0755,8.5489,104.8958,-3.0018,15.3133,0.1068,2.1555,16.0667,-2.1891,-32.9321,141.8961,-32.9321,-104.1116,-10.0000,-94.1116
Kayshon Boutte,-213.0755,-28.1075,-94.8915,-3.3045,21.0156,-1.9665,73.1801,11.5082,3.5461,7.5978,-19.0200,7.5978,-224.4977,-140.0000,-84.4977
Simi Fehoko,-213.0755,25.7728,-35.3885,-1.6573,1.4766,0.1068,-24.1746,1.3680,2.0842,11.9124,-30.4120,11.9124,-231.5753,-180.0000,-51.5753
Justin Watson,-213.0755,37.0353,-40.2903,-4.3765,-0.2443,-0.1991,2.2588,-6.6906,-3.5424,-2.5102,-16.0491,-2.5102,-231.6347,-127.0000,-104.6347
Darius Slayton,-213.0755,14.5237,-37.5048,12.4351,19.4427,-0.1991,7.4634,-25.5231,23.2384,8.0454,13.8763,8.0454,-191.1537,-215.0000,23.8463
Zay Jones,-213.0755,28.5234,98.4970,-0.7041,-12.6720,0.5686,1.0798,15.5488,-5.2365,6.6296,125.6050,6.6296,-80.8409,-105.0000,24.1591
Anthony Miller,-213.0755,-186.2883,104.6325,-3.2488,1.7502,0.1068,0.4172,-3.9317,-1.2954,-17.2724,-87.8575,-17.2724,-318.2053,-164.0000,-154.2053
Mike Williams,-213.0755,24.6358,-12.1080,-3.1579,0.8457,0.1068,5.7926,-0.7507,-1.3472,-17.1643,14.0171,-17.1643,-216.2226,-32.0000,-184.2226
Miles Boykin,-213.0755,32.8252,57.9170,1.6014,-15.7978,0.4747,3.1429,-31.6403,-13.6758,3.9928,34.8473,3.9928,-174.2354,-199.0000,24.7646
Nico Collins,-213.0755,8.8711,52.9714,0.8196,7.1073,-0.1991,17.9447,-23.6231,20.5927,7.5977,84.4846,7.5977,-120.9932,-85.0000,-35.9932
Samori Toure,-213.0755,21.4774,-167.4186,1.7529,11.5119,-0.8171,-95.8058,-6.6108,14.9992,-3.8180,-220.9109,-3.8180,-437.8044,-420.0000,-17.8044
Elic Ayomanor,-213.0755,27.1300,-9.0662,1.7630,-22.0912,-0.1991,5.0634,-6.1143,3.1171,5.7524,-0.3973,5.7524,-207.7204,-163.0000,-44.7204
Tre Harris,-213.0755,22.6518,99.9185,-8.9056,9.8566,4.9189,0.4399,11.9929,3.6393,-1.6316,144.5123,-1.6316,-70.1948,-61.0000,-9.1948
Ty Montgomery,-213.0755,22.0276,59.9426,-23.4336,8.7626,-1.4235,2.3518,-14.0998,-7.0610,-25.3042,47.0667,-25.3042,-191.3130,-190.0000,-1.3130
Chris Moore,-213.0755,-63.3756,-12.7689,12.3420,22.8593,0.1068,6.4370,-25.0908,23.8242,11.8486,-35.6660,11.8486,-236.8929,-362.0000,125.1071
Isaiah Ford,-213.0755,29.3968,-147.8085,1.6678,-37.1837,-0.3292,44.0877,-9.7061,3.0810,12.2537,-116.7942,12.2537,-317.6160,-251.0000,-66.6160
Jaylin Lane,-213.0755,-20.7360,-14.9392,0.0108,17.5889,0.5686,2.2436,11.2262,-1.3644,-2.9086,-5.4015,-2.9086,-221.3856,-212.0000,-9.3856
Noah Brown,-213.0755,-33.9116,-160.9783,-1.8101,-28.7192,0.8744,0.2940,-0.9211,1.5112,-11.7692,-223.6607,-11.7692,-448.5053,-478.0000,29.4947
Marvin Harrison Jr.,-213.0755,31.2246,132.0742,0.9192,4.1099,-0.1991,2.1939,-5.2620,1.2726,-1.6289,166.3333,-1.6289,-48.3711,-1.0000,-47.3711
Jaelon Darden,-213.0755,19.4778,-10.3474,0.6972,12.8659,0.1068,5.0879,5.3202,1.6068,11.6512,34.8152,11.6512,-166.6091,-235.0000,68.3909
Jalen Hurd,-213.0755,-36.5687,52.9062,-6.3930,-4.8209,0.6504,24.2619,-4.1663,-9.8276,10.4577,16.0420,10.4577,-186.5757,-234.0000,47.4243
Montrell Washington,-213.0755,-13.2658,-46.0953,-3.4530,0.0880,-2.2724,44.8442,-6.2318,-2.9173,-1.8463,-29.3034,-1.8463,-244.2251,-543.0000,298.7749
Devin Funchess,-213.0755,24.7506,103.1618,-15.2104,-20.9803,0.8744,7.8515,-18.8960,-4.5012,-14.4955,77.0504,-14.4955,-150.5205,-146.0000,-4.5205
Devin Smith,-213.0755,20.3679,94.6041,6.6501,10.5081,-0.1991,15.3066,5.0224,17.6072,9.4263,169.8673,9.4263,-33.7820,-77.0000,43.2180
Chase Claypool,-213.0755,42.9753,101.7170,-7.3569,9.9255,0.1068,0.5859,-2.6301,4.5609,-17.0616,149.8844,-17.0616,-80.2525,-91.0000,10.7475
Jehu Chesson,-213.0755,24.6251,-11.9377,-0.9960,3.1916,-0.1991,-20.5488,-1.2378,1.7515,9.5268,-5.3512,9.5268,-208.8999,-287.0000,78.1001
Breshad Perriman,-213.0755,25.9092,133.2931,12.4351,-11.5432,0.1068,4.2269,-24.0041,18.1162,12.5208,158.5400,12.5208,-42.0147,-45.0000,2.9853
Tyler Lockett,-213.0755,38.4367,57.1493,-3.6804,-21.9690,0.0983,1.2049,10.3340,-5.0115,9.9428,76.5623,9.9428,-126.5705,-154.0000,27.4295
Demarcus Ayers,-213.0755,10.2283,-154.8676,-3.1579,6.0591,0.1068,1.6575,-0.6880,-0.8457,-25.9005,-141.5075,-25.9005,-380.4834,-448.0000,67.5166
Jordan Whittington,-213.0755,-112.5441,-109.7827,-0.8386,18.5045,-1.5174,1.1344,9.7225,-35.5300,6.3883,-230.8514,6.3883,-437.5386,-468.0000,30.4614
James Washington,-213.0755,-39.0431,89.7606,6.5138,-21.4410,-1.9665,46.8279,-18.8731,-2.3673,-32.3787,59.4113,-32.3787,-186.0430,-123.0000,-63.0430
Keke Coutee,-213.0755,22.0036,-13.2202,-0.9073,13.3754,-0.1991,5.0879,16.2256,1.6068,9.9860,43.9727,9.9860,-159.1167,-151.0000,-8.1167
Anthony Schwartz,-213.0755,11.0273,55.7439,-2.3161,15.8321,-0.8837,2.8453,-2.1234,-10.0255,11.1521,70.0999,11.1521,-131.8236,-98.0000,-33.8236
Jamari Thrash,-213.0755,23.9781,-35.8603,0.2587,10.9907,-0.1991,-22.3604,-2.8862,1.7515,9.5268,-24.3270,9.5268,-227.8757,-281.0000,53.1243
Dede Westbrook,-213.0755,14.9123,-21.6288,-9.2101,15.1508,-0.8171,-73.7776,17.6148,13.7016,9.4963,-44.0541,9.4963,-247.6331,-233.0000,-14.6331
Kaelin Clay,-213.0755,-42.8153,-125.2313,-15.0754,1.5812,-1.9189,-63.8520,-17.1018,-10.6659,-17.8039,-275.0794,-17.8039,-505.9587,-560.0000,54.0413
Andy Isabella,-213.0755,51.3212,101.3195,43.8172,-17.5430,0.5686,1.5085,-42.2612,-13.3406,-2.7264,125.3902,-2.7264,-90.4117,-99.0000,8.5883
Tyrie Cleveland,-213.0755,-28.9082,-146.1980,18.2974,6.5074,-0.1991,1.0378,-6.0386,1.4764,-3.4690,-154.0249,-3.4690,-370.5692,-316.0000,-54.5692
Charone Peake,-213.0755,-112.7167,-149.3405,-8.6924,6.2803,0.0983,0.5461,-4.6823,-6.4370,-4.5394,-274.9442,-4.5394,-492.5591,-508.0000,15.4409
Chris Godwin,-213.0755,27.1956,57.5063,-1.5138,-21.7971,0.1068,12.4958,-2.8057,0.8964,12.5236,72.0843,12.5236,-128.4676,-51.0000,-77.4676
Devin Duvernay,-213.0755,19.9406,71.5590,-0.6405,7.4754,0.7805,-42.6341,18.4930,-4.4378,-20.6765,70.5361,-20.6765,-163.2158,-116.0000,-47.2158
Auden Tate,-213.0755,30.4757,-169.3987,1.7349,-24.1351,0.7805,2.4124,-7.4476,-6.0820,-25.0630,-171.6599,-25.0630,-409.7985,-462.0000,52.2015
Matthew Golden,-213.0755,-38.4686,131.6599,-6.0058,-5.9172,-0.1991,0.3278,4.9627,0.9777,7.1369,87.3374,7.1369,-118.6012,-55.0000,-63.6012
Kaden Prather,-213.0755,-51.5812,-154.2801,0.0739,-30.4761,0.5686,0.0762,-2.7007,-7.9153,12.2710,-246.2347,12.2710,-447.0392,-526.0000,78.9608
Jordan Addison,-213.0755,14.7243,127.2123,-3.2671,9.3900,-0.3292,27.2464,13.8604,1.6781,13.2027,190.5152,13.2027,-9.3576,-34.0000,24.6424
Parker Washington,-213.0755,9.1102,-110.5337,-2.5205,-5.1023,-1.2927,54.1772,13.3737,-5.3324,-22.8590,-48.1205,-22.8590,-284.0550,-148.0000,-136.0550
Jayden Reed,-213.0755,28.5844,83.9686,-10.2554,-12.3484,-1.9750,44.2831,-17.1376,-4.0396,5.4004,111.0801,5.4004,-96.5951,-66.0000,-30.5951
Rondale Moore,-213.0755,16.3302,86.6764,52.9589,8.1473,-2.9570,55.3881,15.0036,-8.4167,-2.3640,223.1308,-2.3640,7.6912,-56.0000,63.6912
Drake London,-213.0755,24.9734,131.4752,-2.3295,-2.4981,0.8744,6.4872,17.9698,-5.7446,9.6725,171.2078,9.6725,-32.1951,-8.0000,-24.1951
Javon Baker,-213.0755,22.2547,-9.9859,16.0776,12.8678,0.1068,6.9111,-2.6135,18.9048,11.3152,64.5234,11.3152,-137.2370,-211.0000,73.7630
Dylan Cantrell,-213.0755,-54.7981,-111.5548,-6.0026,-21.2935,0.8744,1.0056,-3.3861,-5.6683,-17.7443,-200.8234,-17.7443,-431.6431,-500.0000,68.3569
Christian Watson,-213.0755,-4.3191,97.6005,-3.1449,1.9453,-0.1991,1.0196,-5.7015,-3.5424,6.6553,83.6584,6.6553,-122.7618,-54.0000,-68.7618
Elijah Higgins,-213.0755,-44.8001,-111.3231,-0.8209,0.0633,-1.4235,3.8483,10.7224,-5.2780,-19.4822,-149.0116,-19.4822,-381.5693,-292.0000,-89.5693
Rashod Bateman,-213.0755,25.2073,127.3036,-1.3914,2.3462,-0.3292,23.0909,-3.0593,1.7084,9.1376,174.8765,9.1376,-29.0613,-20.0000,-9.0613
John Hightower,-213.0755,-15.6461,-48.4858,17.4759,9.5148,-0.8171,-82.1842,-6.2982,2.4351,6.5196,-124.0056,6.5196,-330.5615,-291.0000,-39.5615
Cedric Tillman,-213.0755,24.5195,57.2061,-1.9030,-11.9080,-0.1991,0.7461,4.5383,0.2907,-5.3834,73.2906,-5.3834,-145.1684,-153.0000,7.8316
Rashee Rice,-213.0755,9.2338,100.6782,-21.5596,6.6667,-0.7685,0.9921,-19.8294,-13.0980,8.3600,62.3153,8.3600,-142.4000,-70.0000,-72.4000
Arian Smith,-213.0755,-47.7626,-17.1000,-1.8248,23.5929,-0.8171,2.8072,10.0790,2.0647,13.3417,-28.9607,13.3417,-228.6944,-322.0000,93.3056
