position,seed,n_subsets,max_base_feats,n_iter_per_model,subset_idx,model,cvR2_mean,TEST_R2,TEST_MAE,TEST_RMSE,n_features,bases,interactions,max_pred
WR,56,40,15,15,23,GB,0.6650784006058408,0.7517655142030572,56.111685895773995,74.51749625144821,9,DOM+|Draft Capital|aDOT|YAC/R|FUM|Breakout Age|REC%|Y/REC,SpeedxBMI,7.6912215014141045
WR,56,40,15,15,27,GB,0.6934534731496579,0.7512630931029759,53.57295684303417,74.59286901333478,13,DOM+|Draft Capital|FUM|REC%|MTF|Y/REC|CC%|Y/RR|Drop%|Breakout Age|YAC/R|aDOT,SpeedxBMI,-3.130625947012686
WR,56,40,15,15,9,GB,0.6997219978612463,0.7507522414811384,54.32651560829807,74.66942850614957,12,DOM+|Draft Capital|Breakout Age|Y/RR|CC%|FUM|YAC/R|Drop%|REC%|aDOT|MTF,SpeedxBMI,-0.06162069941194267
WR,56,40,15,15,15,GB,0.6945185242729731,0.7503360324393805,53.81312716848159,74.7317462743652,13,DOM+|Draft Capital|Y/RR|YAC/R|Breakout Age|CC%|REC%|Y/REC|Drop%|FUM|MTF|aDOT,SpeedxBMI,-3.130625947012681
WR,56,40,15,15,36,GB,0.6959241801582843,0.7498453910654792,54.123905466017746,74.8051419076927,13,DOM+|Draft Capital|FUM|Breakout Age|Drop%|Y/REC|YAC/R|aDOT|MTF|Y/RR|CC%|REC%,SpeedxBMI,-3.1306259470126996
WR,56,40,15,15,39,GB,0.7024480917832977,0.7482311091370144,54.5994107704212,75.04611767986,10,DOM+|Draft Capital|Breakout Age|Drop%|CC%|YAC/R|REC%|aDOT|Y/RR,SpeedxBMI,-5.809122848631704
WR,56,40,15,15,14,GB,0.6997120446531305,0.7476582729901872,54.7232500522356,75.13144336050117,12,DOM+|Draft Capital|MTF|Breakout Age|CC%|YAC/R|Drop%|Y/RR|FUM|aDOT|REC%,SpeedxBMI,-0.06162069941187985
WR,56,40,15,15,18,GB,0.7019716043560574,0.7424702409910431,54.93453429723279,75.89984822066846,10,DOM+|Draft Capital|Y/RR|YAC/R|FUM|CC%|Drop%|Breakout Age|REC%,SpeedxBMI,-2.627642732605578
WR,56,40,15,15,16,GB,0.688295358772427,0.7339345020668857,59.152075571483614,77.14743251521966,11,DOM+|Draft Capital|Y/REC|REC%|Breakout Age|FUM|Y/RR|MTF|YAC/R|CC%,SpeedxBMI,-2.1991788252909106
WR,56,40,15,15,20,GB,0.6754096956193644,0.7227670610013142,58.87743830236861,78.74982751218072,7,DOM+|Draft Capital|YAC/R|MTF|Drop%|Breakout Age,SpeedxBMI,-31.14293676367244
WR,56,40,15,15,17,GB,0.6988358778088678,0.7172673823018756,56.506462240551635,79.52710143287247,11,DOM+|Draft Capital|Y/REC|Y/RR|MTF|aDOT|YAC/R|CC%|Drop%|Breakout Age,SpeedxBMI,-14.579307820321896
WR,56,40,15,15,34,GB,0.6926586331298589,0.7147203207727921,62.04627023767588,79.8845173239861,11,DOM+|Draft Capital|YAC/R|CC%|aDOT|REC%|Y/REC|Drop%|MTF|Breakout Age,SpeedxBMI,-7.587296935338625
WR,56,40,15,15,11,GB,0.6776790002814127,0.7114486394678299,62.83719902144574,80.34128244953321,8,DOM+|Draft Capital|aDOT|Breakout Age|REC%|Drop%|CC%,SpeedxBMI,-11.755240250483768
WR,56,40,15,15,24,GB,0.6897883620818951,0.7087981138854142,59.708529354800426,80.70943154620143,11,DOM+|Draft Capital|MTF|Drop%|aDOT|Breakout Age|REC%|CC%|Y/RR|Y/REC,SpeedxBMI,-2.671222438230548
WR,56,40,15,15,5,GB,0.6720709498138479,0.7077615973217808,64.32994397117919,80.85294427059289,9,DOM+|Draft Capital|MTF|aDOT|Breakout Age|CC%|REC%|Y/REC,SpeedxBMI,14.945100088331447
