player,team,year,conference,receiving_yards,receiving_tds,rushing_yards,rushing_tds,passing_yards,passing_tds,DOM,DOM+,RDOM,RDOM+,PDOM,PDOM+,elusive_rating
A.J. Bennett,Eastern Michigan,2003,MAC,0.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0,6.79,4.75,
A.J. Suggs*,Georgia Tech,2003,ACC,0.0,0.0,0.0,0.0,180.0,2.0,0.0,0.0,0.0,0.0,11.76,11.17,
Aaron Alexander*,Michigan State,2003,BIG TEN,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.31,0.31,
Aaron Karas,Baylor,2003,BIG 12,0.0,0.0,0.0,0.0,1481.0,10.0,0.0,0.0,0.0,0.0,81.45,77.38,
Aaron Leak,Troy,2003,INDEPENDENT,0.0,0.0,0.0,0.0,1427.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,
Aaron Polanco*,Navy,2003,INDEPENDENT,0.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Aaron Rodgers*,California,2003,PAC 12,0.0,0.0,0.0,0.0,2903.0,19.0,0.0,0.0,0.0,0.0,73.11,69.45,
Adam Barmann*,Kansas,2003,BIG 12,0.0,0.0,0.0,0.0,564.0,4.0,0.0,0.0,0.0,0.0,16.48,15.66,
Adam Fitch,Air Force,2003,MWC,0.0,0.0,0.0,0.0,112.0,1.0,0.0,0.0,0.0,0.0,10.7,8.13,
Adam Hall,San Diego State,2003,MWC,0.0,0.0,0.0,0.0,1320.0,5.0,0.0,0.0,0.0,0.0,50.3,38.23,
Adam Porter,Ohio,2003,MAC,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7,
Adam Rothenfluh*,Oregon State,2003,PAC 12,0.0,0.0,0.0,0.0,175.0,1.0,0.0,0.0,0.0,0.0,4.05,3.85,
Adam Smith,Duke,2003,ACC,0.0,0.0,0.0,0.0,488.0,2.0,0.0,0.0,0.0,0.0,24.4,23.18,
Adimchinobe Echemandu*,California,2003,PAC 12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Agim Shabaj*,Michigan State,2003,BIG TEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
