player,team,year,conference,receiving_yards,receiving_tds,rushing_yards,rushing_tds,passing_yards,passing_tds,DOM,DOM+,RDOM,RDOM+,PDOM,PDOM+,elusive_rating
A'Marion Peterson*,USC,2023,PAC 12,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.4,0.38,0.0,0.0,
A.J. Henning*,Northwestern,2023,BIG TEN,418.0,4.0,110.0,1.0,0.0,0.0,17.96,17.96,7.72,7.72,0.0,0.0,
A.J. Toney,Middle Tennessee State,2023,CUSA,7.0,0.0,0.0,0.0,0.0,0.0,0.11,0.08,0.0,0.0,0.0,0.0,
A.J. Turner*,Marshall,2023,SUN BELT,5.0,0.0,20.0,0.0,0.0,0.0,0.09,0.07,0.58,0.44,0.0,0.0,0.0
AJ Barner*,Michigan,2023,BIG TEN,249.0,1.0,0.0,0.0,0.0,0.0,5.97,5.97,0.0,0.0,0.0,0.0,
AJ Bianco,Nevada,2023,MWC,0.0,0.0,183.0,1.0,614.0,4.0,0.0,0.0,9.68,7.36,47.94,36.43,51.0
AJ Duffy*,Florida State,2023,ACC,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.12,0.11,0.0,0.0,0.0
AJ Green,Arkansas,2023,SEC,25.0,1.0,312.0,2.0,0.0,0.0,2.83,2.83,20.46,20.46,0.0,0.0,35.3
AJ Jones*,Arizona,2023,PAC 12,27.0,0.0,0.0,0.0,0.0,0.0,0.34,0.32,0.0,0.0,0.0,0.0,
AJ Newberry,Vanderbilt,2023,SEC,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,4.2,4.2,0.0,0.0,13.0
AJ Padgett*,Rice,2023,AMERICAN,0.0,0.0,14.0,2.0,721.0,8.0,0.0,0.0,5.25,4.46,24.78,21.06,0.0
AJ Swann,Vanderbilt,2023,SEC,0.0,0.0,16.0,1.0,1457.0,12.0,0.0,0.0,5.7,5.7,53.23,53.23,9.8
Aaron Anderson*,LSU,2023,SEC,59.0,0.0,0.0,0.0,0.0,0.0,0.67,0.67,0.0,0.0,0.0,0.0,
Aaron Bedgood*,Liberty,2023,CUSA,220.0,2.0,552.0,3.0,0.0,0.0,6.94,4.86,10.57,7.4,0.0,0.0,85.6
Aaron Steinfeldt,Indiana,2023,BIG TEN,11.0,0.0,0.0,0.0,0.0,0.0,0.22,0.22,0.0,0.0,0.0,0.0,
Aaron Turner,Cincinnati,2023,BIG 12,89.0,2.0,97.0,0.0,0.0,0.0,6.54,6.21,1.86,1.77,0.0,0.0,7.9
Aaron Young*,Rutgers,2023,BIG TEN,24.0,2.0,94.0,1.0,0.0,0.0,10.67,10.67,4.23,4.23,0.0,0.0,191.1
Abdul Janneh*,Georgia Tech,2023,ACC,122.0,2.0,0.0,0.0,0.0,0.0,5.83,5.54,0.0,0.0,0.0,0.0,
Abdul-Fatai Ibrahim*,Bowling Green,2023,MAC,220.0,2.0,6.0,0.0,0.0,0.0,10.36,7.25,0.17,0.12,0.0,0.0,
Abdur-Rahmaan Yaseen,Purdue,2023,BIG TEN,329.0,0.0,0.0,0.0,0.0,0.0,6.49,6.49,0.0,0.0,0.0,0.0,
Abu Sama*,Iowa State,2023,BIG 12,51.0,0.0,614.0,6.0,0.0,0.0,0.8,0.76,38.44,36.52,0.0,0.0,244.6
Adam Beale*,Toledo,2023,MAC,42.0,0.0,0.0,0.0,0.0,0.0,0.68,0.48,0.0,0.0,0.0,0.0,
Adam Jones*,Arkansas State,2023,SUN BELT,195.0,1.0,0.0,0.0,0.0,0.0,6.26,4.76,0.0,0.0,0.0,0.0,
Adam Moore*,SMU,2023,AMERICAN,98.0,0.0,0.0,0.0,0.0,0.0,1.26,1.07,0.0,0.0,0.0,0.0,
Adam Randall*,Clemson,2023,ACC,250.0,0.0,0.0,0.0,0.0,0.0,4.21,4.0,0.0,0.0,0.0,0.0,
