player_name,Year1,DOM1,DOM+1,PDOM1,PDOM+1,RDOM1,RDOM+1,Year2,DOM2,DOM+2,PDOM2,PDOM+2,RDOM2,RDOM+2,Year3,DOM3,DOM+3,PDOM3,PDOM+3,RDOM3,RDOM+3,Year4,DOM4,DOM+4,PDOM4,PDOM+4,RDOM4,RDOM+4
A'Darius Purifoy,2017.0,0.04,0.03,0.0,0.0,0.0,0.0,2018.0,0.5,0.38,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
A'Jon Vivens,2020.0,0.06,0.05,0.0,0.0,29.5,22.42,2021.0,1.21,0.92,0.0,0.0,8.22,6.25,2022.0,0.55,0.42,0.0,0.0,4.87,3.7,,,,,,,
A'Marion Peterson,2023.0,0.0,0.0,0.0,0.0,0.4,0.38,2024.0,0.17,0.17,0.0,0.0,4.22,4.22,,,,,,,,,,,,,,
A'Montae Spivey,2019.0,0.0,0.0,0.0,0.0,0.68,0.68,2020.0,0.0,0.0,0.0,0.0,0.36,0.36,,,,,,,,,,,,,,
A'varius Sparrow,2020.0,0.0,0.0,0.0,0.0,0.37,0.35,2021.0,0.0,0.0,0.0,0.0,2.76,2.62,2022.0,0.67,0.47,0.0,0.0,0.64,0.45,,,,,,,
A.D. Miller,2016.0,4.08,3.88,0.0,0.0,0.0,0.0,2018.0,3.16,3.0,0.0,0.0,0.0,0.0,2019.0,1.42,1.35,0.0,0.0,0.0,0.0,,,,,,,
A.J. Abbott,2020.0,0.47,0.47,0.0,0.0,0.0,0.0,2021.0,0.17,0.17,0.0,0.0,0.0,0.0,2022.0,6.53,4.57,0.0,0.0,0.0,0.0,,,,,,,
A.J. Alexander,2016.0,0.49,0.49,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
A.J. Bennett,2003.0,0.0,0.0,6.79,4.75,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
A.J. Blue,2009.0,0.0,0.0,0.53,0.5,0.0,0.0,2011.0,0.0,0.0,0.0,0.0,0.0,0.0,2013.0,0.0,0.0,0.32,0.3,0.0,0.0,,,,,,,
A.J. Branisel,2016.0,13.52,9.46,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
A.J. Brown,2016.0,9.15,9.15,0.0,0.0,0.0,0.0,2017.0,35.53,35.53,0.0,0.0,0.0,0.0,2018.0,30.16,30.16,0.0,0.0,0.0,0.0,2021.0,0.0,0.0,0.0,0.0,0.04,0.03
A.J. Bryant,2007.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
A.J. Carter,2018.0,0.0,0.0,0.0,0.0,0.25,0.24,2019.0,0.39,0.37,0.0,0.0,1.56,1.48,,,,,,,,,,,,,,
A.J. Cole III,2015.0,0.0,0.0,0.16,0.15,0.0,0.0,2016.0,0.0,0.0,0.0,0.0,0.02,0.02,,,,,,,,,,,,,,
A.J. Coney,2016.0,4.82,3.37,0.0,0.0,0.0,0.0,2017.0,15.59,10.91,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
A.J. Davis,2017.0,0.0,0.0,0.0,0.0,3.5,3.32,2018.0,0.43,0.41,0.0,0.0,2.1,2.0,2019.0,3.95,3.75,0.0,0.0,35.28,33.52,2020.0,0.79,0.75,0.0,0.0,12.57,11.94
A.J. Davis Jr.,2017.0,0.0,0.0,0.0,0.0,3.5,3.32,2018.0,0.43,0.41,0.0,0.0,2.1,2.0,2019.0,3.95,3.75,0.0,0.0,35.28,33.52,2020.0,0.79,0.75,0.0,0.0,12.57,11.94
A.J. Derby,2011.0,0.0,0.0,0.49,0.49,0.0,0.0,2013.0,0.0,0.0,8.33,8.33,0.0,0.0,,,,,,,,,,,,,,
A.J. Doyle,2012.0,0.0,0.0,25.93,18.15,0.0,0.0,2013.0,0.0,0.0,67.27,47.09,0.0,0.0,,,,,,,,,,,,,,
A.J. Epenesa,2017.0,0.3,0.3,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
A.J. Erdely,2014.0,0.0,0.0,0.0,0.0,0.0,0.0,2017.0,0.06,0.04,99.66,69.76,30.92,21.64,2018.0,0.0,0.0,46.33,32.43,12.37,8.66,,,,,,,
A.J. Feeley,2000.0,0.0,0.0,1.53,1.45,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
A.J. Gates,2021.0,0.0,0.0,0.0,0.0,0.51,0.36,2022.0,0.0,0.0,0.0,0.0,0.21,0.15,,,,,,,,,,,,,,
A.J. Graham,2010.0,0.0,0.0,1.82,1.27,0.0,0.0,2011.0,0.0,0.0,28.78,20.15,0.0,0.0,,,,,,,,,,,,,,
A.J. Green,2019.0,0.0,0.0,0.0,0.0,0.03,0.03,,,,,,,,,,,,,,,,,,,,,
A.J. Guyton,2009.0,0.0,0.0,3.04,2.13,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
A.J. Harris,2005.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
A.J. Henning,2020.0,1.96,1.96,0.0,0.0,0.95,0.95,2021.0,1.23,1.23,0.0,0.0,5.26,5.26,2022.0,0.97,0.97,0.0,0.0,0.13,0.13,2023.0,17.96,17.96,0.0,0.0,7.72,7.72
A.J. Highsmith,2009.0,0.0,0.0,2.78,2.64,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
A.J. Hughes,2014.0,0.0,0.0,0.18,0.17,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
A.J. Krawczyk,2016.0,-0.06,-0.05,0.0,0.0,-0.3,-0.23,,,,,,,,,,,,,,,,,,,,,
A.J. McCarron,2010.0,0.0,0.0,11.98,11.98,0.0,0.0,2011.0,0.0,0.0,97.09,97.09,0.0,0.0,2012.0,0.0,0.0,96.44,96.44,0.0,0.0,2013.0,0.0,0.0,94.08,94.08,0.0,0.0
A.J. Nastasi,2001.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
A.J. Ouellette,2016.0,0.0,0.0,0.0,0.0,0.96,0.67,2017.0,4.48,3.14,0.0,0.0,23.81,16.67,2018.0,7.92,5.54,0.0,0.0,34.42,24.09,,,,,,,
A.J. Richardson,2016.0,2.33,1.77,0.0,0.0,0.0,0.0,2017.0,10.56,8.03,0.0,0.0,0.0,0.0,2018.0,23.77,18.07,0.0,0.0,0.0,0.0,,,,,,,
