player_name,birth_date,birthdate_source_url,Year1,DOM1,DOM+1,PDOM1,PDOM+1,RDOM1,RDOM+1,Year2,DOM2,DOM+2,PDOM2,PDOM+2,RDOM2,RDOM+2,Year3,DOM3,DOM+3,PDOM3,PDOM+3,RDOM3,RDOM+3,Year4,DOM4,DOM+4,PDOM4,PDOM+4,RDOM4,RDOM+4
A.J. Brown,1997-06-30,https://www.pro-football-reference.com/players/B/BrowAJ00.htm,2016.0,9.15,9.15,0.0,0.0,0.0,0.0,2017.0,35.53,35.53,0.0,0.0,0.0,0.0,2018.0,30.16,30.16,0.0,0.0,0.0,0.0,2021.0,0.0,0.0,0.0,0.0,0.04,0.03
A.J. Derby,1991-09-20,https://www.pro-football-reference.com/players/D/DerbA.00.htm,2011.0,0.0,0.0,0.49,0.49,0.0,0.0,2013.0,0.0,0.0,8.33,8.33,0.0,0.0,,,,,,,,,,,,,,
A.J. Feeley,1977-05-16,https://www.pro-football-reference.com/players/F/FeelA.00.htm,2000.0,0.0,0.0,1.53,1.45,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
A.J. Green,1988-07-31,https://www.pro-football-reference.com/players/G/GreeA.00.htm,2019.0,0.0,0.0,0.0,0.0,0.03,0.03,,,,,,,,,,,,,,,,,,,,,
A.J. Jenkins,1989-09-30,https://www.pro-football-reference.com/players/J/JenkA.00.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.J. McCarron,1990-09-13,https://www.pro-football-reference.com/players/M/McCaA.00.htm,2010.0,0.0,0.0,11.98,11.98,0.0,0.0,2011.0,0.0,0.0,97.09,97.09,0.0,0.0,2012.0,0.0,0.0,96.44,96.44,0.0,0.0,2013.0,0.0,0.0,94.08,94.08,0.0,0.0
A.T. Perry,1999-10-26,https://www.pro-football-reference.com/players/P/PerrAT00.htm,2019.0,2.44,2.32,0.0,0.0,0.0,0.0,2020.0,7.74,7.35,0.0,0.0,0.0,0.0,2021.0,34.26,32.55,0.0,0.0,0.0,0.0,2022.0,26.3,24.98,0.0,0.0,0.0,0.0
AJ Barner,2002-05-03,https://www.pro-football-reference.com/players/B/BarnAJ00.htm,2021.0,9.4,9.4,0.0,0.0,0.0,0.0,2022.0,13.19,13.19,0.0,0.0,0.0,0.0,2023.0,5.97,5.97,0.0,0.0,0.0,0.0,,,,,,,
AJ Dillon,1998-05-02,https://www.pro-football-reference.com/players/D/DillAJ00.htm,2017.0,0.0,0.0,0.0,0.0,56.9,54.05,2018.0,2.79,2.65,0.0,0.0,46.14,43.83,2019.0,6.76,6.42,0.0,0.0,51.43,48.86,,,,,,,
Aaron Brown,1985-10-10,https://www.pro-football-reference.com/players/B/BrowAa00.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Burbridge,1993-12-23,https://www.pro-football-reference.com/players/B/BurbAa00.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Dobson,1991-07-23,https://www.pro-football-reference.com/players/D/DobsAa00.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Hernandez,1989-11-06,https://www.pro-football-reference.com/players/H/HernAa00.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Jones,1994-12-02,https://www.pro-football-reference.com/players/J/JoneAa00.htm,2014.0,0.0,0.0,0.0,0.0,0.0,0.0,2016.0,12.43,8.7,2.45,1.72,82.32,57.62,,,,,,,,,,,,,,
Aaron Lockett,1978-09-06,https://en.wikipedia.org/wiki/Aaron_Lockett_(gridiron_football),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Mellette,1989-12-28,https://en.wikipedia.org/wiki/Aaron_Mellette,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Murray,1990-11-10,https://en.wikipedia.org/wiki/Aaron_Murray,2010.0,0.0,0.0,96.38,96.38,0.0,0.0,2011.0,0.0,0.0,93.29,93.29,0.0,0.0,2012.0,0.0,0.0,97.42,97.42,0.0,0.0,2013.0,0.0,0.0,79.57,79.57,0.0,0.0
Aaron Ripkowski,1992-12-20,https://www.pro-football-reference.com/players/R/RipkAa00.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Rodgers,1983-12-02,https://www.pro-football-reference.com/players/R/RodgAa00.htm,2003.0,0.0,0.0,73.11,69.45,0.0,0.0,2004.0,0.0,0.0,89.81,85.32,0.0,0.0,,,,,,,,,,,,,,
Aaron Shea,1976-12-05,https://www.pro-football-reference.com/players/S/SheaAa00.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Walker,1980-03-14,https://www.pro-football-reference.com/players/W/WalkAa00.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ace Sanders,1991-11-11,https://www.pro-football-reference.com/players/S/SandAc00.htm,2010.0,0.0,0.0,2.22,2.22,0.0,0.0,2011.0,0.0,0.0,0.0,0.0,0.0,0.0,2012.0,0.0,0.0,1.98,1.98,0.0,0.0,,,,,,,
Adam Jennings,1982-11-17,https://www.pro-football-reference.com/players/J/JennAd00.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Shaheen,1994-10-24,https://www.pro-football-reference.com/players/S/ShahAd00.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Trautman,1997-02-05,https://www.pro-football-reference.com/players/T/TrauAd00.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adimchinobe Echemandu,1980-11-21,https://www.pro-football-reference.com/players/E/EcheAd00.htm,2003.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Adonai Mitchell,2002-10-08,https://www.pro-football-reference.com/players/M/MitcAd00.htm,2021.0,10.77,10.77,0.0,0.0,0.0,0.0,2022.0,6.35,6.35,0.0,0.0,0.0,0.0,2023.0,32.44,30.82,0.0,0.0,0.02,0.02,,,,,,,
Adrian Arrington,1985-11-07,https://www.pro-football-reference.com/players/A/ArriAd00.htm,2007.0,0.0,0.0,2.19,2.19,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Adrian Madise,1980-03-23,https://www.pro-football-reference.com/players/M/MadiAd00.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adrian McPherson,1983-05-08,https://en.wikipedia.org/wiki/Adrian_McPherson,2001.0,0.0,0.0,7.22,6.86,0.0,0.0,2002.0,0.0,0.0,39.43,37.46,0.0,0.0,,,,,,,,,,,,,,
Adrian Peterson,1979-07-01,https://www.pro-football-reference.com/players/P/PeteAd00.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adrien Robinson,1988-09-23,https://www.pro-football-reference.com/players/R/RobiAd00.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahmaad Galloway,1980-03-10,https://en.wikipedia.org/wiki/Ahmaad_Galloway,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahmad Bradshaw,1986-03-19,https://www.pro-football-reference.com/players/B/BradAh00.htm,2015.0,0.0,0.0,0.0,0.0,0.0,0.0,2016.0,0.0,0.0,0.0,0.0,0.0,0.0,2017.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Aidan O'Connell,1998-09-01,https://en.wikipedia.org/wiki/Aidan_O'Connell,2019.0,0.0,0.0,28.6,28.6,-0.45,-0.45,2020.0,0.0,0.0,48.04,48.04,-6.49,-6.49,2021.0,0.0,0.0,80.17,80.17,1.7,1.7,2022.0,0.0,0.0,87.02,87.02,0.55,0.55
Ainias Smith,2001-05-31,https://www.pro-football-reference.com/players/S/SmitAi00.htm,2019.0,10.87,10.87,0.0,0.0,1.3,1.3,2020.0,27.05,27.05,0.0,0.0,16.66,16.66,2021.0,25.96,25.96,0.0,0.0,0.59,0.59,2022.0,11.08,11.08,0.0,0.0,0.32,0.32
Airese Currie,1982-11-16,https://www.pro-football-reference.com/players/C/CurrAi00.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alan Bonner,1990-11-05,https://en.wikipedia.org/wiki/Alan_Bonner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert Okwuegbunam,1998-04-25,https://www.pro-football-reference.com/players/O/OkwuAl00.htm,2017.0,17.67,17.67,0.0,0.0,0.0,0.0,2018.0,17.13,17.13,0.0,0.0,0.0,0.0,2019.0,23.38,23.38,0.0,0.0,0.0,0.0,,,,,,,
Aldrick Robinson,1988-09-24,https://www.pro-football-reference.com/players/R/RobiAl00.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alec Pierce,2000-05-02,https://www.pro-football-reference.com/players/P/PierAl00.htm,2019.0,18.04,15.33,0.0,0.0,0.0,0.0,2020.0,14.1,11.98,0.0,0.0,0.0,0.0,2021.0,25.16,21.39,0.0,0.0,0.0,0.0,,,,,,,
Alex Armah,1994-05-17,https://www.pro-football-reference.com/players/A/ArmaAl00.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Bannister,1979-04-23,https://www.pro-football-reference.com/players/B/BannAl00.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Brink,1985-06-02,https://en.wikipedia.org/wiki/Alex_Brink,2004.0,0.0,0.0,42.15,40.04,0.0,0.0,2005.0,0.0,0.0,95.39,90.62,0.0,0.0,2006.0,0.0,0.0,87.81,83.42,0.0,0.0,2007.0,0.0,0.0,99.78,94.79,0.0,0.0
Alex Collins,1994-08-26,https://www.pro-football-reference.com/players/C/CollAl00.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Green,1988-06-23,https://www.pro-football-reference.com/players/G/GreeAl00.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex McGough,1995-11-19,https://en.wikipedia.org/wiki/Alex_McGough,2014.0,0.0,0.0,88.33,61.83,0.0,0.0,2015.0,0.0,0.0,97.69,68.38,0.0,0.0,2016.0,0.0,0.0,68.97,48.28,15.78,11.05,2017.0,0.0,0.0,90.89,63.62,18.08,12.66
Alex Smith,1982-05-22,https://www.pro-football-reference.com/players/S/SmitAl02.htm,2002.0,0.0,0.0,0.09,0.07,0.0,0.0,2003.0,0.0,0.0,87.87,66.78,0.0,0.0,2004.0,0.0,0.0,95.13,72.3,0.0,0.0,2023.0,0.0,0.0,0.0,0.0,0.89,0.68
Alexander Mattison,1998-06-19,https://www.pro-football-reference.com/players/M/MattAl01.htm,2016.0,0.7,0.53,0.0,0.0,14.13,10.74,2017.0,5.78,4.39,0.0,0.0,50.97,38.74,2018.0,2.28,1.73,0.0,0.0,67.9,51.6,,,,,,,
Alfred Blue,1991-04-27,https://www.pro-football-reference.com/players/B/BlueAl00.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alfred Morris,1988-12-12,https://www.pro-football-reference.com/players/M/MorrAl00.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alge Crumpler,1977-12-23,https://www.pro-football-reference.com/players/C/CrumAl00.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alizé Mack,1997-03-29,https://en.wikipedia.org/wiki/Aliz%C3%A9_Mack,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allen Bradford,1988-08-31,https://www.pro-football-reference.com/players/B/BradAl00.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allen Patrick,1927-03-17,https://en.wikipedia.org/wiki/Patrick_Allen_(actor),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allen Robinson,1993-08-24,https://www.pro-football-reference.com/players/R/RobiAl02.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alshon Jeffery,1990-02-14,https://www.pro-football-reference.com/players/J/JeffAl00.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alvin Kamara,1995-07-25,https://www.pro-football-reference.com/players/K/KamaAl00.htm,2015.0,0.0,0.0,0.46,0.46,0.0,0.0,2016.0,13.47,13.47,0.0,0.0,25.69,25.69,,,,,,,,,,,,,,
Alvin Pearman,1982-08-10,https://www.pro-football-reference.com/players/P/PearAl00.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amara Darboh,1994-02-01,https://www.pro-football-reference.com/players/D/DarbAm00.htm,2016.0,33.14,33.14,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Amari Cooper,1994-06-17,https://www.pro-football-reference.com/players/C/CoopAm00.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amari Rodgers,1999-09-23,https://www.pro-football-reference.com/players/R/RodgAm00.htm,2017.0,1.87,1.78,0.0,0.0,-0.16,-0.15,2018.0,12.28,11.67,0.0,0.0,0.07,0.07,2019.0,9.92,9.42,0.0,0.0,1.8,1.71,2020.0,23.49,22.32,0.1,0.1,0.0,0.0
Ameer Abdullah,1993-06-13,https://www.pro-football-reference.com/players/A/AbduAm00.htm,2013.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Amon-Ra St. Brown,1997-06-30,https://www.pro-football-reference.com/players/B/BrowAJ00.htm,2018.0,20.93,19.88,0.0,0.0,0.28,0.27,2019.0,20.51,19.48,0.0,0.0,4.73,4.49,2020.0,33.06,31.41,0.0,0.0,0.0,0.0,,,,,,,
Andre Brown,1986-12-15,https://www.pro-football-reference.com/players/B/BrowAn03.htm,2008.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Andre Caldwell,1985-04-15,https://www.pro-football-reference.com/players/C/CaldAn00.htm,2003.0,0.0,0.0,0.47,0.47,0.0,0.0,2004.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,0.0,0.0,1.8,1.8,0.0,0.0,,,,,,,
Andre Debose,1990-09-12,https://en.wikipedia.org/wiki/Andre_Debose,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andre Ellington,1989-02-03,https://www.pro-football-reference.com/players/E/ElliAn00.htm,2011.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Andre Johnson HOF,1970-04-29,https://en.wikipedia.org/wiki/Andre_Agassi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andre King,1973-11-26,https://en.wikipedia.org/wiki/Andre_King,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andre Roberts,1988-01-09,https://www.pro-football-reference.com/players/R/RobeAn00.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andre Williams,1992-08-28,https://www.pro-football-reference.com/players/W/WillAn00.htm,2017.0,1.19,0.83,0.0,0.0,0.24,0.17,2018.0,32.33,22.63,0.0,0.0,0.17,0.12,2019.0,2.05,1.43,0.0,0.0,0.0,0.0,2021.0,5.47,3.83,0.0,0.0,0.0,0.0
Andre Woodson,1984-04-25,https://en.wikipedia.org/wiki/Andre'_Woodson,2004.0,0.0,0.0,24.44,24.44,0.0,0.0,2005.0,0.0,0.0,94.26,94.26,0.0,0.0,2006.0,0.0,0.0,98.86,98.86,0.0,0.0,2007.0,0.0,0.0,99.55,99.55,0.0,0.0
Andre' Davis,1975-10-07,https://www.pro-football-reference.com/players/D/DaviAn21.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrei Iosivas,1999-10-15,https://www.pro-football-reference.com/players/I/IosiAn00.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Luck,1989-09-12,https://www.pro-football-reference.com/players/L/LuckAn00.htm,2009.0,0.0,0.0,93.73,89.04,0.0,0.0,2010.0,0.0,0.0,99.63,94.65,0.0,0.0,2011.0,0.0,0.0,97.22,92.36,0.0,0.0,,,,,,,
Andrew Ogletree,1998-07-28,https://www.pro-football-reference.com/players/O/OgleAn00.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Pinnock,1980-03-12,https://www.pro-football-reference.com/players/P/PinnAn00.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Quarless,1988-10-06,https://www.pro-football-reference.com/players/Q/QuarAn00.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Walter,1982-05-11,https://www.pro-football-reference.com/players/W/WaltAn00.htm,2001.0,0.0,0.0,15.82,15.03,0.0,0.0,2002.0,0.0,0.0,90.73,86.19,0.0,0.0,2003.0,0.0,0.0,94.25,89.54,0.0,0.0,2004.0,0.0,0.0,84.22,80.01,0.0,0.0
Andy Dalton,1987-10-29,https://www.pro-football-reference.com/players/D/DaltAn00.htm,2007.0,0.0,0.0,81.14,61.67,0.0,0.0,2008.0,0.0,0.0,82.17,62.45,0.0,0.0,2009.0,0.0,0.0,96.73,73.51,0.0,0.0,2010.0,0.0,0.0,94.44,71.77,0.0,0.0
Andy Hall,1949-01-17,https://en.wikipedia.org/wiki/Andy_Kaufman,2000.0,0.0,0.0,0.62,0.59,0.0,0.0,2001.0,0.0,0.0,6.55,6.22,0.0,0.0,,,,,,,,,,,,,,
Andy Isabella,1996-11-18,https://www.pro-football-reference.com/players/I/IsabAn00.htm,2016.0,0.0,0.0,0.0,0.0,0.0,0.0,2017.0,0.0,0.0,0.0,0.0,0.0,0.0,2018.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Andy Janovich,1993-05-23,https://www.pro-football-reference.com/players/J/JanoAn00.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andy Stokes,1981-06-02,https://en.wikipedia.org/wiki/Andy_Stokes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anquan Boldin,1980-10-03,https://www.pro-football-reference.com/players/B/BoldAn00.htm,2002.0,0.0,0.0,3.73,3.54,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Anthony Allen,1988-08-06,https://www.pro-football-reference.com/players/A/AlleAn01.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Becht,1977-08-08,https://www.pro-football-reference.com/players/B/BechAn00.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Davis,1980-03-27,https://www.pro-football-reference.com/players/D/DaviAn24.htm,2008.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Anthony Dixon,1987-09-24,https://www.pro-football-reference.com/players/D/DixoAn00.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Fasano,1984-04-20,https://www.pro-football-reference.com/players/F/FasaAn00.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Gonzalez,1984-09-18,https://www.pro-football-reference.com/players/G/GonzAn00.htm,2011.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Anthony Gould,2001-04-06,https://www.pro-football-reference.com/players/G/GoulAn00.htm,2021.0,5.91,5.61,0.0,0.0,2.41,2.29,2022.0,18.18,17.27,0.0,0.0,0.22,0.21,2023.0,15.25,14.49,0.0,0.0,0.51,0.48,,,,,,,
Anthony Hill,1985-01-02,https://www.pro-football-reference.com/players/H/HillAn00.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Lucas,2004-10-08,https://en.wikipedia.org/wiki/Anthony_Lucas_(defensive_end),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony McCoy,1987-12-12,https://www.pro-football-reference.com/players/M/McCoAn00.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony McFarland Jr.,1977-12-18,https://www.pro-football-reference.com/players/M/McFaAn20.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Miller,1994-10-09,https://www.pro-football-reference.com/players/M/MillAn02.htm,2016.0,38.71,32.9,0.0,0.0,3.83,3.26,2017.0,39.86,33.88,0.4,0.34,0.49,0.42,2024.0,0.07,0.06,0.0,0.0,0.0,0.0,,,,,,,
Anthony Richardson,2002-05-22,https://www.pro-football-reference.com/players/R/RichAn03.htm,2020.0,0.0,0.0,1.38,1.38,1.94,1.94,2021.0,0.0,0.0,19.54,19.54,13.35,13.35,2022.0,0.0,0.0,91.02,91.02,28.08,28.08,,,,,,,
Anthony Schwartz,2000-09-05,https://www.pro-football-reference.com/players/S/SchwAn00.htm,2018.0,10.93,10.93,0.0,0.0,14.85,14.85,2019.0,10.66,10.66,0.0,0.0,5.5,5.5,2020.0,25.62,25.62,0.0,0.0,-0.17,-0.17,,,,,,,
Anthony Sherman,1988-12-11,https://www.pro-football-reference.com/players/S/SherAn00.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Thomas,1977-11-07,https://www.pro-football-reference.com/players/T/ThomAn01.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antoine Green,1999-11-15,https://www.pro-football-reference.com/players/G/GreeAn00.htm,2018.0,0.82,0.78,0.0,0.0,0.0,0.0,2019.0,5.48,5.21,0.0,0.0,0.0,0.0,2020.0,2.14,2.03,0.0,0.0,0.0,0.0,2021.0,18.82,17.88,0.0,0.0,0.0,0.0
Antonio Brown,1978-03-03,https://www.pro-football-reference.com/players/B/BrowAn01.htm,2007.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,0.0,0.0,1.81,1.27,0.0,0.0,2009.0,0.0,0.0,0.34,0.24,0.0,0.0,,,,,,,
Antonio Bryant,1981-03-09,https://www.pro-football-reference.com/players/B/BryaAn00.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antonio Callaway,1997-01-09,https://www.pro-football-reference.com/players/C/CallAn00.htm,2015.0,0.0,0.0,2.53,2.53,0.0,0.0,2016.0,21.19,21.19,0.0,0.0,5.51,5.51,,,,,,,,,,,,,,
Antonio Gandy-Golden,1998-04-11,https://www.pro-football-reference.com/players/G/GandAn00.htm,2018.0,0.0,0.0,0.0,0.0,0.0,0.0,2019.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
Antonio Gibson,1998-06-23,https://www.pro-football-reference.com/players/G/GibsAn00.htm,2018.0,5.03,4.28,0.0,0.0,0.0,0.0,2019.0,20.92,17.78,0.0,0.0,13.31,11.31,,,,,,,,,,,,,,
Antonio Pittman,1985-12-19,https://www.pro-football-reference.com/players/P/PittAn00.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antwaan Randle El,1979-08-17,https://en.wikipedia.org/wiki/Antwaan_Randle_El,2000.0,0.0,0.0,92.38,92.38,0.0,0.0,2001.0,0.0,0.0,90.61,90.61,0.0,0.0,,,,,,,,,,,,,,
Antwoine Womack,1978-03-20,https://en.wikipedia.org/wiki/Antwoine_Womack,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ArDarius Stewart,1993-12-08,https://www.pro-football-reference.com/players/S/StewAr00.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arian Smith,2001-10-11,https://www.pro-football-reference.com/players/S/SmitAr01.htm,2020.0,4.35,4.35,0.0,0.0,-0.26,-0.26,2021.0,3.91,3.91,0.0,0.0,0.26,0.26,2022.0,3.84,3.84,0.0,0.0,0.0,0.0,2023.0,5.24,5.24,0.0,0.0,0.62,0.62
Arman Shields,1985-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armanti Edwards,1988-03-08,https://www.pro-football-reference.com/players/E/EdwaAr00.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arnaz Battle,1980-02-22,https://www.pro-football-reference.com/players/B/BattAr00.htm,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,2001.0,0.0,0.0,0.0,0.0,0.0,0.0,2002.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
