player,team,year,age,conference,receiving_yards,receiving_tds,rushing_yards,rushing_tds,passing_yards,passing_tds,DOM,DOM+,RDOM,RDOM+,PDOM,PDOM+,elusive_rating
A.J. Brown,Ole Miss,2016.0,19.0,SEC,412.0,2.0,0.0,0.0,0.0,0.0,9.15,9.15,0.0,0.0,0.0,0.0,
A.J. Brown,Ole Miss,2017.0,20.0,SEC,1252.0,11.0,0.0,0.0,0.0,0.0,35.53,35.53,0.0,0.0,0.0,0.0,
A.J. Brown,Ole Miss,2018.0,21.0,SEC,1320.0,6.0,0.0,0.0,0.0,0.0,30.16,30.16,0.0,0.0,0.0,0.0,
A.J. Brown,Georgia Southern,2021.0,24.0,SUN BELT,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0304,0.0,0.0,
A.J. Brown,Georgia Southern,2022.0,25.0,SUN BELT,7.0,0.0,67.0,1.0,0.0,0.0,0.08,0.0608,4.06,3.0856,0.0,0.0,
A.J. Derby,Iowa,2011.0,19.0,BIG TEN,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.49,0.49,
A.J. Derby,Arkansas,2013.0,21.0,SEC,0.0,0.0,0.0,0.0,178.0,1.0,0.0,0.0,0.0,0.0,8.33,8.33,
A.J. Feeley,Oregon,2000.0,23.0,PAC 12,0.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,1.53,1.4535,
A.J. Green,Oklahoma State,2019.0,31.0,BIG 12,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.03,0.028499999999999998,0.0,0.0,
A.J. Jenkins,South Carolina,2021.0,31.0,SEC,117.0,1.0,0.0,0.0,0.0,0.0,4.51,4.51,0.0,0.0,0.0,0.0,
A.J. Jenkins,Georgia Tech,2022.0,32.0,ACC,316.0,3.0,0.0,0.0,0.0,0.0,21.85,20.7575,0.0,0.0,0.0,0.0,
A.J. McCarron,Alabama,2010.0,19.0,SEC,0.0,0.0,0.0,0.0,389.0,3.0,0.0,0.0,0.0,0.0,11.98,11.98,
A.J. McCarron,Alabama,2011.0,20.0,SEC,0.0,0.0,0.0,0.0,2634.0,16.0,0.0,0.0,0.0,0.0,97.09,97.09,
A.J. McCarron,Alabama,2012.0,21.0,SEC,0.0,0.0,0.0,0.0,2933.0,30.0,0.0,0.0,0.0,0.0,96.44,96.44,
A.J. McCarron,Alabama,2013.0,22.0,SEC,0.0,0.0,0.0,0.0,3063.0,28.0,0.0,0.0,0.0,0.0,94.08,94.08,
A.T. Perry,Wake Forest,2019.0,19.0,ACC,62.0,1.0,0.0,0.0,0.0,0.0,2.44,2.318,0.0,0.0,0.0,0.0,
A.T. Perry,Wake Forest,2020.0,20.0,ACC,211.0,1.0,0.0,0.0,0.0,0.0,7.74,7.353,0.0,0.0,0.0,0.0,
A.T. Perry,Wake Forest,2021.0,21.0,ACC,1293.0,15.0,0.0,0.0,0.0,0.0,34.26,32.547,0.0,0.0,0.0,0.0,
A.T. Perry,Wake Forest,2022.0,22.0,ACC,1096.0,11.0,0.0,0.0,0.0,0.0,26.3,24.985,0.0,0.0,0.0,0.0,
AJ Barner,Indiana,2021.0,19.0,BIG TEN,162.0,1.0,0.0,0.0,0.0,0.0,9.4,9.4,0.0,0.0,0.0,0.0,
AJ Barner,Indiana,2022.0,20.0,BIG TEN,199.0,3.0,0.0,0.0,0.0,0.0,13.19,13.19,0.0,0.0,0.0,0.0,
AJ Barner,Michigan,2023.0,21.0,BIG TEN,249.0,1.0,0.0,0.0,0.0,0.0,5.97,5.97,0.0,0.0,0.0,0.0,
AJ Dillon,Boston College,2017.0,19.0,ACC,0.0,0.0,1589.0,14.0,0.0,0.0,0.0,0.0,56.9,54.05499999999999,0.0,0.0,83.0
AJ Dillon,Boston College,2018.0,20.0,ACC,41.0,1.0,1108.0,10.0,0.0,0.0,2.79,2.6505,46.14,43.833,0.0,0.0,71.9
AJ Dillon,Boston College,2019.0,21.0,ACC,195.0,1.0,1685.0,14.0,0.0,0.0,6.76,6.422,51.43,48.8585,0.0,0.0,88.6
Aaron Brown,Kentucky,2022.0,36.0,SEC,628.0,4.0,-2.0,0.0,0.0,0.0,21.11,21.11,-0.07,-0.07,0.0,0.0,19.8
Aaron Brown,Kentucky,2023.0,37.0,SEC,539.0,4.0,147.0,1.0,0.0,0.0,17.8,17.8,7.2,7.2,0.0,0.0,30.9
Aaron Brown,Kentucky,2024.0,38.0,SEC,361.0,3.0,50.0,1.0,0.0,0.0,18.14,18.14,5.98,5.98,0.0,0.0,33.0
Aaron Hernandez,Washington State,2023.0,33.0,PAC 12,258.0,0.0,0.0,0.0,0.0,0.0,3.19,3.0305,0.0,0.0,0.0,0.0,
Aaron Hernandez,Washington State,2024.0,34.0,INDEPENDENT,397.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Aaron Jones,UTEP,2014.0,19.0,CUSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Aaron Jones,UTEP,2016.0,21.0,CUSA,233.0,3.0,1773.0,17.0,3.0,1.0,12.43,8.700999999999999,82.32,57.62399999999999,2.45,1.715,
Aaron Lockett,Syracuse,2018.0,39.0,ACC,43.0,1.0,0.0,0.0,0.0,0.0,2.9,2.755,0.0,0.0,0.0,0.0,
Aaron Lockett,Syracuse,2019.0,40.0,ACC,205.0,6.0,3.0,0.0,0.0,0.0,16.59,15.760499999999999,0.08,0.076,0.0,0.0,20.8
Aaron Lockett,Syracuse,2020.0,41.0,ACC,63.0,2.0,0.0,0.0,0.0,0.0,8.32,7.904,0.0,0.0,0.0,0.0,
Aaron Lockett,Kent State,2021.0,42.0,MAC,21.0,0.0,0.0,0.0,0.0,0.0,0.3,0.21,0.0,0.0,0.0,0.0,
Aaron Murray,Georgia,2010.0,19.0,SEC,0.0,0.0,0.0,0.0,3049.0,24.0,0.0,0.0,0.0,0.0,96.38,96.38,
Aaron Murray,Georgia,2011.0,20.0,SEC,0.0,0.0,0.0,0.0,3149.0,35.0,0.0,0.0,0.0,0.0,93.29,93.29,
Aaron Murray,Georgia,2012.0,21.0,SEC,0.0,0.0,0.0,0.0,3893.0,36.0,0.0,0.0,0.0,0.0,97.42,97.42,
Aaron Murray,Georgia,2013.0,22.0,SEC,0.0,0.0,0.0,0.0,3075.0,26.0,0.0,0.0,0.0,0.0,79.57,79.57,
Aaron Rodgers,California,2003.0,19.0,PAC 12,0.0,0.0,0.0,0.0,2903.0,19.0,0.0,0.0,0.0,0.0,73.11,69.4545,
Aaron Rodgers,California,2004.0,20.0,PAC 12,0.0,0.0,0.0,0.0,2566.0,24.0,0.0,0.0,0.0,0.0,89.81,85.3195,
Aaron Shea,North Carolina,2001.0,24.0,ACC,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.42,0.39899999999999997,
Aaron Shea,Troy,2003.0,26.0,INDEPENDENT,0.0,0.0,0.0,0.0,1427.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,
Aaron Shea,Troy,2004.0,27.0,SUN BELT,0.0,0.0,0.0,0.0,756.0,6.0,0.0,0.0,0.0,0.0,51.94,39.474399999999996,
Aaron Walker,Michigan,2022.0,42.0,BIG TEN,4.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.0,0.0,0.0,
Aaron Walker,Michigan,2024.0,44.0,BIG TEN,34.0,0.0,0.0,0.0,0.0,0.0,1.01,1.01,0.0,0.0,0.0,0.0,
Ace Sanders,South Carolina,2010.0,18.0,SEC,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,2.22,2.22,
Ace Sanders,South Carolina,2011.0,19.0,SEC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Ace Sanders,South Carolina,2012.0,20.0,SEC,0.0,0.0,0.0,0.0,16.0,1.0,0.0,0.0,0.0,0.0,1.98,1.98,
Adam Jennings,Tennessee,2015.0,32.0,SEC,0.0,0.0,0.0,0.0,58.0,1.0,0.0,0.0,0.0,0.0,4.06,4.06,24.5
Adam Jennings,Tennessee,2016.0,33.0,SEC,580.0,7.0,27.0,0.0,4.0,1.0,21.85,21.85,0.51,0.51,1.85,1.85,112.0
Adam Jennings,Tennessee,2017.0,34.0,SEC,17.0,0.0,0.0,0.0,0.0,0.0,0.41,0.41,0.0,0.0,0.0,0.0,
Adam Jennings,Tennessee,2018.0,35.0,SEC,438.0,3.0,0.0,0.0,0.0,0.0,19.29,19.29,0.0,0.0,0.0,0.0,
Adam Jennings,Tennessee,2019.0,36.0,SEC,969.0,8.0,51.0,1.0,0.0,0.0,37.89,37.89,5.21,5.21,0.0,0.0,109.9
Adimchinobe Echemandu,California,2003.0,22.0,PAC 12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Adonai Mitchell,Georgia,2021.0,18.0,SEC,426.0,4.0,0.0,0.0,0.0,0.0,10.77,10.77,0.0,0.0,0.0,0.0,
Adonai Mitchell,Georgia,2022.0,19.0,SEC,134.0,3.0,0.0,0.0,0.0,0.0,6.35,6.35,0.0,0.0,0.0,0.0,
Adonai Mitchell,Texas,2023.0,20.0,BIG 12,845.0,11.0,1.0,0.0,0.0,0.0,32.44,30.817999999999998,0.02,0.019,0.0,0.0,5.3
Adrian Arrington,Michigan,2007.0,21.0,BIG TEN,0.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,2.19,2.19,
