player_name,birth_date,birthdate_source_url,Year1,DOM1,DOM+1,PDOM1,PDOM+1,RDOM1,RDOM+1,Year2,DOM2,DOM+2,PDOM2,PDOM+2,RDOM2,RDOM+2,Year3,DOM3,DOM+3,PDOM3,PDOM+3,RDOM3,RDOM+3,Year4,DOM4,DOM+4,PDOM4,PDOM+4,RDOM4,RDOM+4
A.J. Jenkins,1989-09-30,https://www.pro-football-reference.com/players/J/JenkA.00.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Brown,1985-10-10,https://www.pro-football-reference.com/players/B/BrowAa00.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Burbridge,1993-12-23,https://www.pro-football-reference.com/players/B/BurbAa00.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Dobson,1991-07-23,https://www.pro-football-reference.com/players/D/DobsAa00.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Hernandez,1989-11-06,https://www.pro-football-reference.com/players/H/HernAa00.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Lockett,1978-09-06,https://en.wikipedia.org/wiki/Aaron_Lockett_(gridiron_football),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Mellette,1989-12-28,https://en.wikipedia.org/wiki/Aaron_Mellette,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Ripkowski,1992-12-20,https://www.pro-football-reference.com/players/R/RipkAa00.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Shea,1976-12-05,https://www.pro-football-reference.com/players/S/SheaAa00.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Walker,1980-03-14,https://www.pro-football-reference.com/players/W/WalkAa00.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Jennings,1982-11-17,https://www.pro-football-reference.com/players/J/JennAd00.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Shaheen,1994-10-24,https://www.pro-football-reference.com/players/S/ShahAd00.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Trautman,1997-02-05,https://www.pro-football-reference.com/players/T/TrauAd00.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adrian Madise,1980-03-23,https://www.pro-football-reference.com/players/M/MadiAd00.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adrian Peterson,1979-07-01,https://www.pro-football-reference.com/players/P/PeteAd00.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adrien Robinson,1988-09-23,https://www.pro-football-reference.com/players/R/RobiAd00.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahmaad Galloway,1980-03-10,https://en.wikipedia.org/wiki/Ahmaad_Galloway,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airese Currie,1982-11-16,https://www.pro-football-reference.com/players/C/CurrAi00.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alan Bonner,1990-11-05,https://en.wikipedia.org/wiki/Alan_Bonner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aldrick Robinson,1988-09-24,https://www.pro-football-reference.com/players/R/RobiAl00.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Armah,1994-05-17,https://www.pro-football-reference.com/players/A/ArmaAl00.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Bannister,1979-04-23,https://www.pro-football-reference.com/players/B/BannAl00.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Collins,1994-08-26,https://www.pro-football-reference.com/players/C/CollAl00.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Green,1988-06-23,https://www.pro-football-reference.com/players/G/GreeAl00.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alfred Blue,1991-04-27,https://www.pro-football-reference.com/players/B/BlueAl00.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alfred Morris,1988-12-12,https://www.pro-football-reference.com/players/M/MorrAl00.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alge Crumpler,1977-12-23,https://www.pro-football-reference.com/players/C/CrumAl00.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alizé Mack,1997-03-29,https://en.wikipedia.org/wiki/Aliz%C3%A9_Mack,,,,,,,,,,,,,,,,,,,,,,,,,,,,
