player_name,pos,Draft Capital,birth_date,breakout_age,Year1,Age1,DOM1,DOM+1,PDOM1,PDOM+1,RDOM1,RDOM+1,Speed1,BMI1,Shuttle1,Three Cone1,YPC1,YCO/A1,MTF/A1,Break%1,YPR1,Rec Yards1,Y/RR1,YAC/R1,aDOT1,CTPRR1,UCTPRR1,Drop Rate1,CC%1,Wide%1,Slot%1,Comp%1,ADJ%1,BTT%1,TWP%1,DAA1,YPA1,EPA/P1,aYPTPA1,elu1,Year2,Age2,DOM2,DOM+2,PDOM2,PDOM+2,RDOM2,RDOM+2,Speed2,BMI2,Shuttle2,Three Cone2,YPC2,YCO/A2,MTF/A2,Break%2,YPR2,Rec Yards2,Y/RR2,YAC/R2,aDOT2,CTPRR2,UCTPRR2,Drop Rate2,CC%2,Wide%2,Slot%2,Comp%2,ADJ%2,BTT%2,TWP%2,DAA2,YPA2,EPA/P2,aYPTPA2,elu2,Year3,Age3,DOM3,DOM+3,PDOM3,PDOM+3,RDOM3,RDOM+3,Speed3,BMI3,Shuttle3,Three Cone3,YPC3,YCO/A3,MTF/A3,Break%3,YPR3,Rec Yards3,Y/RR3,YAC/R3,aDOT3,CTPRR3,UCTPRR3,Drop Rate3,CC%3,Wide%3,Slot%3,Comp%3,ADJ%3,BTT%3,TWP%3,DAA3,YPA3,EPA/P3,aYPTPA3,elu3,Year4,Age4,DOM4,DOM+4,PDOM4,PDOM+4,RDOM4,RDOM+4,Speed4,BMI4,Shuttle4,Three Cone4,YPC4,YCO/A4,MTF/A4,Break%4,YPR4,Rec Yards4,Y/RR4,YAC/R4,aDOT4,CTPRR4,UCTPRR4,Drop Rate4,CC%4,Wide%4,Slot%4,Comp%4,ADJ%4,BTT%4,TWP%4,DAA4,YPA4,EPA/P4,aYPTPA4,birthday_parsed,birthdate_source_url
A.J. Brown,WR,2.0,1997-06-30,20.17,2016.0,19.17,0.092,0.092,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017.0,20.17,0.355,0.355,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018.0,21.17,0.302,0.302,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021.0,24.17,0.001,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997-06-30,https://www.pro-football-reference.com/players/B/BrowAJ00.htm
A.J. Derby,TE,6.0,1991-09-20,,2011.0,19.95,0.0,0.0,0.005,0.005,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013.0,21.95,0.001,0.001,0.083,0.083,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014.0,22.95,-0.001,-0.001,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014.0,22.95,0.133,0.133,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-09-20,https://www.pro-football-reference.com/players/D/DerbA.00.htm
A.J. Feeley,QB,5.0,1977-05-16,,2000.0,23.3,0.001,0.0,0.015,0.009,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1977-05-16,https://www.pro-football-reference.com/players/F/FeelA.00.htm
A.J. Green,WR,1.0,1988-07-31,20.09,2008.0,20.09,0.282,0.282,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008.0,20.09,0.008,0.008,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009.0,21.09,0.279,0.279,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010.0,22.09,0.007,0.007,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1988-07-31,https://www.pro-football-reference.com/players/G/GreeA.00.htm
A.J. Jenkins,WR,1.0,1989-09-30,20.92,2008.0,18.92,0.113,0.113,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009.0,19.92,-0.0,-0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009.0,19.92,0.06,0.06,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010.0,20.92,0.384,0.384,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1989-09-30,https://www.pro-football-reference.com/players/J/JenkA.00.htm
A.J. McCarron,QB,5.0,1990-09-13,20.97,2010.0,19.97,-0.001,-0.001,0.12,0.12,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.0,20.97,0.059,0.059,0.971,0.971,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012.0,21.97,0.017,0.017,0.964,0.964,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013.0,22.97,-0.003,-0.003,0.941,0.941,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990-09-13,https://www.pro-football-reference.com/players/M/McCaA.00.htm
A.T. Perry,WR,6.0,1999-10-26,21.85,2019.0,19.85,0.024,0.023,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.0,20.85,0.077,0.073,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021.0,21.85,0.343,0.325,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022.0,22.85,0.263,0.25,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999-10-26,https://www.pro-football-reference.com/players/P/PerrAT00.htm
AJ Barner,TE,4.0,2002-05-03,,2021.0,19.33,0.094,0.094,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022.0,20.33,0.132,0.132,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023.0,21.33,0.06,0.06,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002-05-03,https://www.pro-football-reference.com/players/B/BarnAJ00.htm
AJ Dillon,RB,2.0,1998-05-02,19.33,2017.0,19.33,0.805,0.765,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018.0,20.33,0.028,0.027,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018.0,20.33,0.414,0.394,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019.0,21.33,0.718,0.682,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998-05-02,https://www.pro-football-reference.com/players/D/DillAJ00.htm
Aaron Brown,RB,6.0,1985-10-10,19.89,2005.0,19.89,0.352,0.268,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005.0,19.89,0.129,0.098,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006.0,20.89,0.444,0.337,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006.0,20.89,0.115,0.088,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1985-10-10,https://www.pro-football-reference.com/players/B/BrowAa00.htm
