player_name,pos,Draft Capital,birth_date,breakout_age,Year1,Age1,DOM1,DOM+1,PDOM1,PDOM+1,RDOM1,RDOM+1,Speed1,BMI1,Comp%1,ADJ%1,BTT%1,TWP%1,DAA1,YPA1,EPA/P1,aYPTPA1,elu1,Year2,Age2,DOM2,DOM+2,PDOM2,PDOM+2,RDOM2,RDOM+2,Speed2,BMI2,Comp%2,ADJ%2,BTT%2,TWP%2,DAA2,YPA2,EPA/P2,aYPTPA2,elu2,Year3,Age3,DOM3,DOM+3,PDOM3,PDOM+3,RDOM3,RDOM+3,Speed3,BMI3,Comp%3,ADJ%3,BTT%3,TWP%3,DAA3,YPA3,EPA/P3,aYPTPA3,elu3,Year4,Age4,DOM4,DOM+4,PDOM4,PDOM+4,RDOM4,RDOM+4,Speed4,BMI4,Comp%4,ADJ%4,BTT%4,TWP%4,DAA4,YPA4,EPA/P4,aYPTPA4,birthday_parsed,birthdate_source_url
A.J. Feeley,QB,5.0,1977-05-16,,2000.0,23.3,0.001,0.0,0.015,0.009,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1977-05-16,https://www.pro-football-reference.com/players/F/FeelA.00.htm
A.J. McCarron,QB,5.0,1990-09-13,20.97,2010.0,19.97,-0.001,-0.001,0.12,0.12,0.0,0.0,,,,,,,,,,,,2011.0,20.97,0.059,0.059,0.971,0.971,0.0,0.0,,,,,,,,,,,,2012.0,21.97,0.017,0.017,0.964,0.964,0.0,0.0,,,,,,,,,,,,2013.0,22.97,-0.003,-0.003,0.941,0.941,0.0,0.0,,,,,,,,,,,1990-09-13,https://www.pro-football-reference.com/players/M/McCaA.00.htm
Aaron Murray,QB,5.0,1990-11-10,19.81,2010.0,19.81,0.106,0.106,0.964,0.964,0.0,0.0,,,,,,,,,,,,2011.0,20.81,-0.0,-0.0,0.933,0.933,0.0,0.0,,,,,,,,,,,,2011.0,20.81,0.043,0.043,0.933,0.933,0.0,0.0,,,,,,,,,,,,2012.0,21.81,0.032,0.032,0.974,0.974,0.0,0.0,,,,,,,,,,,1990-11-10,https://en.wikipedia.org/wiki/Aaron_Murray
Aaron Rodgers,QB,1.0,1983-12-02,19.75,2003.0,19.75,0.118,0.071,0.731,0.439,0.0,0.0,,,,,,,,,,,,2004.0,20.75,0.002,0.001,0.898,0.539,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1983-12-02,https://www.pro-football-reference.com/players/R/RodgAa00.htm
Adrian McPherson,QB,5.0,1983-05-08,,2001.0,18.32,0.003,0.003,0.072,0.069,0.0,0.0,,,,,,,,,,,,2002.0,19.32,0.03,0.029,0.394,0.375,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1983-05-08,https://en.wikipedia.org/wiki/Adrian_McPherson
Aidan O'Connell,QB,4.0,1998-09-01,23.0,2019.0,21.0,-0.001,-0.001,0.286,0.286,0.0,0.0,,,,,,,,,,,,2020.0,22.0,-0.017,-0.017,0.48,0.48,0.0,0.0,,,,,,,,,,,,2021.0,23.0,0.001,0.001,0.802,0.802,0.0,0.0,,,,,,,,,,,,2022.0,24.0,0.009,0.009,0.87,0.87,0.0,0.0,,,,,,,,,,,1998-09-01,https://en.wikipedia.org/wiki/Aidan_O'Connell
Alex Brink,QB,7.0,1985-06-02,20.25,2004.0,19.25,0.0,0.0,0.422,0.253,0.0,0.0,,,,,,,,,,,,2005.0,20.25,0.057,0.034,0.954,0.572,0.0,0.0,,,,,,,,,,,,2006.0,21.25,0.045,0.027,0.878,0.527,0.0,0.0,,,,,,,,,,,,2006.0,21.25,0.022,0.013,0.878,0.527,0.0,0.0,,,,,,,,,,,1985-06-02,https://en.wikipedia.org/wiki/Alex_Brink
Alex McGough,QB,7.0,1995-11-19,18.78,2014.0,18.78,0.156,0.109,0.883,0.618,0.0,0.0,,,,,,,,,,,,2015.0,19.78,0.088,0.062,0.977,0.684,0.0,0.0,,,,,,,,,,,,2016.0,20.79,0.127,0.089,0.69,0.483,0.0,0.0,,,,,,,,,,,,2017.0,21.79,0.17,0.119,0.909,0.636,0.0,0.0,,,,,,,,,,,1995-11-19,https://en.wikipedia.org/wiki/Alex_McGough
Alex Smith,QB,1.0,1982-05-22,,2001.0,19.28,0.004,0.002,0.0,0.0,0.0,0.0,,,,,,,,,,,,2002.0,20.28,0.168,0.101,0.0,0.0,0.0,0.0,,,,,,,,,,,,2002.0,20.28,-0.002,-0.002,0.001,0.001,0.0,0.0,,,,,,,,,,,,2003.0,21.28,0.17,0.102,0.0,0.0,0.0,0.0,,,,,,,,,,,1982-05-22,https://www.pro-football-reference.com/players/S/SmitAl02.htm
Andre Woodson,QB,6.0,1984-04-25,21.35,2004.0,20.35,0.0,0.0,0.244,0.244,0.0,0.0,,,,,,,,,,,,2005.0,21.35,0.048,0.048,0.943,0.943,0.0,0.0,,,,,,,,,,,,2005.0,21.35,0.001,0.001,0.943,0.943,0.0,0.0,,,,,,,,,,,,2006.0,22.35,-0.003,-0.003,0.989,0.989,0.0,0.0,,,,,,,,,,,1984-04-25,https://en.wikipedia.org/wiki/Andre'_Woodson
