player_name,pos,Draft Capital,birth_date,breakout_age,Year1,Age1,DOM1,DOM+1,PDOM1,PDOM+1,RDOM1,RDOM+1,Speed1,BMI1,YPC1,YCO/A1,MTF/A1,Break%1,elu1,Year2,Age2,DOM2,DOM+2,PDOM2,PDOM+2,RDOM2,RDOM+2,Speed2,BMI2,YPC2,YCO/A2,MTF/A2,Break%2,elu2,Year3,Age3,DOM3,DOM+3,PDOM3,PDOM+3,RDOM3,RDOM+3,Speed3,BMI3,YPC3,YCO/A3,MTF/A3,Break%3,elu3,Year4,Age4,DOM4,DOM+4,PDOM4,PDOM+4,RDOM4,RDOM+4,Speed4,BMI4,YPC4,YCO/A4,MTF/A4,Break%4,birthday_parsed,birthdate_source_url
AJ Dillon,RB,2.0,1998-05-02,19.33,2017.0,19.33,0.805,0.765,0.0,0.0,0.0,0.0,,,,,,,,2018.0,20.33,0.028,0.027,0.0,0.0,0.0,0.0,,,,,,,,2018.0,20.33,0.414,0.394,0.0,0.0,0.0,0.0,,,,,,,,2019.0,21.33,0.718,0.682,0.0,0.0,0.0,0.0,,,,,,,1998-05-02,https://www.pro-football-reference.com/players/D/DillAJ00.htm
Aaron Brown,RB,6.0,1985-10-10,19.89,2005.0,19.89,0.352,0.268,0.0,0.0,0.0,0.0,,,,,,,,2005.0,19.89,0.129,0.098,0.0,0.0,0.0,0.0,,,,,,,,2006.0,20.89,0.444,0.337,0.0,0.0,0.0,0.0,,,,,,,,2006.0,20.89,0.115,0.088,0.0,0.0,0.0,0.0,,,,,,,1985-10-10,https://www.pro-football-reference.com/players/B/BrowAa00.htm
Aaron Jones,RB,5.0,1994-12-02,18.75,2000.0,5.75,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,2000.0,5.75,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,2013.0,18.75,0.35,0.245,0.0,0.0,0.0,0.0,,,,,,,,2013.0,18.75,0.004,0.003,0.0,0.0,0.0,0.0,,,,,,,1994-12-02,https://www.pro-football-reference.com/players/J/JoneAa00.htm
Aaron Ripkowski,RB,6.0,1992-12-20,,2013.0,20.7,0.021,0.02,0.0,0.0,0.0,0.0,,,,,,,,2014.0,21.7,0.091,0.086,0.0,0.0,0.0,0.0,,,,,,,,2014.0,21.7,0.037,0.035,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,1992-12-20,https://www.pro-football-reference.com/players/R/RipkAa00.htm
Adimchinobe Echemandu,RB,7.0,1980-11-21,22.78,2000.0,19.78,0.15,0.09,0.0,0.0,0.0,0.0,,,,,,,,2000.0,19.78,0.042,0.025,0.0,0.0,0.0,0.0,,,,,,,,2003.0,22.78,0.393,0.236,0.0,0.0,0.0,0.0,,,,,,,,2003.0,22.78,0.025,0.015,0.0,0.0,0.0,0.0,,,,,,,1980-11-21,https://www.pro-football-reference.com/players/E/EcheAd00.htm
Adrian Peterson,RB,1.0,1979-07-01,26.17,2004.0,25.17,0.002,0.002,0.0,0.0,0.0,0.0,,,,,,,,2005.0,26.17,0.959,0.911,0.0,0.0,0.0,0.0,,,,,,,,2005.0,26.17,0.012,0.011,0.0,0.0,0.0,0.0,,,,,,,,2006.0,27.17,0.461,0.438,0.0,0.0,0.0,0.0,,,,,,,1979-07-01,https://www.pro-football-reference.com/players/P/PeteAd00.htm
Ahmaad Galloway,RB,7.0,1980-03-10,20.48,2000.0,20.48,0.674,0.674,0.0,0.0,0.0,0.0,,,,,,,,2000.0,20.48,0.013,0.013,0.0,0.0,0.0,0.0,,,,,,,,2001.0,21.48,0.005,0.005,0.0,0.0,0.0,0.0,,,,,,,,2001.0,21.48,0.406,0.406,0.0,0.0,0.0,0.0,,,,,,,1980-03-10,https://en.wikipedia.org/wiki/Ahmaad_Galloway
Ahmad Bradshaw,RB,7.0,1986-03-19,19.46,2004.0,18.46,0.09,0.063,0.0,0.0,0.0,0.0,,,,,,,,2005.0,19.46,0.596,0.417,0.0,0.0,0.0,0.0,,,,,,,,2005.0,19.46,0.126,0.088,0.0,0.0,0.0,0.0,,,,,,,,2006.0,20.45,0.933,0.653,0.0,0.0,0.0,0.0,,,,,,,1986-03-19,https://www.pro-football-reference.com/players/B/BradAh00.htm
Alex Armah,RB,6.0,1994-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1994-05-17,https://www.pro-football-reference.com/players/A/ArmaAl00.htm
Alex Collins,RB,5.0,1994-08-26,19.02,2013.0,19.02,0.421,0.421,0.0,0.0,0.0,0.0,,,,,,,,2013.0,19.02,0.018,0.018,0.0,0.0,0.0,0.0,,,,,,,,2014.0,20.02,0.511,0.511,0.0,0.0,0.0,0.0,,,,,,,,2014.0,20.02,0.002,0.002,0.0,0.0,0.0,0.0,,,,,,,1994-08-26,https://www.pro-football-reference.com/players/C/CollAl00.htm
Alex Green,RB,3.0,1988-06-23,,2009.0,21.19,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,2009.0,21.19,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,2010.0,22.19,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,2010.0,22.19,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,1988-06-23,https://www.pro-football-reference.com/players/G/GreeAl00.htm
