player_name,pos,Draft Capital,birth_date,breakout_age,Year1,Age1,DOM1,DOM+1,PDOM1,PDOM+1,RDOM1,RDOM+1,Speed1,BMI1,YPR1,Rec Yards1,Y/RR1,YAC/R1,aDOT1,CTPRR1,UCTPRR1,Drop Rate1,CC%1,Wide%1,Slot%1,elu1,Year2,Age2,DOM2,DOM+2,PDOM2,PDOM+2,RDOM2,RDOM+2,Speed2,BMI2,YPR2,Rec Yards2,Y/RR2,YAC/R2,aDOT2,CTPRR2,UCTPRR2,Drop Rate2,CC%2,Wide%2,Slot%2,elu2,Year3,Age3,DOM3,DOM+3,PDOM3,PDOM+3,RDOM3,RDOM+3,Speed3,BMI3,YPR3,Rec Yards3,Y/RR3,YAC/R3,aDOT3,CTPRR3,UCTPRR3,Drop Rate3,CC%3,Wide%3,Slot%3,elu3,Year4,Age4,DOM4,DOM+4,PDOM4,PDOM+4,RDOM4,RDOM+4,Speed4,BMI4,YPR4,Rec Yards4,Y/RR4,YAC/R4,aDOT4,CTPRR4,UCTPRR4,Drop Rate4,CC%4,Wide%4,Slot%4,birthday_parsed,birthdate_source_url
A.J. Brown,WR,2.0,1997-06-30,20.17,2016.0,19.17,0.092,0.092,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,2017.0,20.17,0.355,0.355,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,2018.0,21.17,0.302,0.302,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,2021.0,24.17,0.001,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,1997-06-30,https://www.pro-football-reference.com/players/B/BrowAJ00.htm
A.J. Green,WR,1.0,1988-07-31,20.09,2008.0,20.09,0.282,0.282,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,2008.0,20.09,0.008,0.008,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,2009.0,21.09,0.279,0.279,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,2010.0,22.09,0.007,0.007,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,1988-07-31,https://www.pro-football-reference.com/players/G/GreeA.00.htm
A.J. Jenkins,WR,1.0,1989-09-30,20.92,2008.0,18.92,0.113,0.113,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,2009.0,19.92,-0.0,-0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,2009.0,19.92,0.06,0.06,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,2010.0,20.92,0.384,0.384,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,1989-09-30,https://www.pro-football-reference.com/players/J/JenkA.00.htm
A.T. Perry,WR,6.0,1999-10-26,21.85,2019.0,19.85,0.024,0.023,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,2020.0,20.85,0.077,0.073,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,2021.0,21.85,0.343,0.325,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,2022.0,22.85,0.263,0.25,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,1999-10-26,https://www.pro-football-reference.com/players/P/PerrAT00.htm
Aaron Burbridge,WR,6.0,1993-12-23,,2012.0,18.69,0.138,0.138,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,2012.0,18.69,0.001,0.001,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,2013.0,19.69,0.01,0.01,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,2013.0,19.69,0.033,0.033,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,1993-12-23,https://www.pro-football-reference.com/players/B/BurbAa00.htm
Aaron Dobson,WR,2.0,1991-07-23,18.11,2009.0,18.11,0.21,0.147,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,2010.0,19.11,0.003,0.002,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,2010.0,19.11,0.246,0.172,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,2011.0,20.11,0.393,0.275,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,1991-07-23,https://www.pro-football-reference.com/players/D/DobsAa00.htm
Aaron Lockett,WR,7.0,1978-09-06,22.99,2000.0,21.99,0.011,0.011,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,2000.0,21.99,0.159,0.151,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,2001.0,22.99,0.307,0.291,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,2001.0,22.99,0.001,0.001,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,1978-09-06,https://en.wikipedia.org/wiki/Aaron_Lockett_(gridiron_football)
Aaron Mellette,WR,7.0,1989-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1989-12-28,https://en.wikipedia.org/wiki/Aaron_Mellette
Ace Sanders,WR,4.0,1991-11-11,,2010.0,18.81,0.008,0.008,0.022,0.022,0.0,0.0,,,,,,,,,,,,,,,2010.0,18.81,0.091,0.091,0.022,0.022,0.0,0.0,,,,,,,,,,,,,,,2011.0,19.81,0.134,0.134,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,2011.0,19.81,0.003,0.003,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,1991-11-11,https://www.pro-football-reference.com/players/S/SandAc00.htm
Adam Jennings,WR,6.0,1982-11-17,,2002.0,19.79,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,2002.0,19.79,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,2003.0,20.79,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,2003.0,20.79,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,1982-11-17,https://www.pro-football-reference.com/players/J/JennAd00.htm
