merged_player_name,merged_player_name_clean,matched_dom_name,similarity
Daryl Richardson,Daryl Richardson,Darryl Richardson,0.9696969696969697
Marquis Walker,Marquis Walker,Marquise Walker,0.9655172413793104
Jamaar Taylor,Jamaar Taylor,Jamar Taylor,0.96
Tre McBride,Tre McBride,Trey McBride,0.9565217391304348
Daryl Jones,Daryl Jones,Darryl Jones,0.9565217391304348
Andre' Davis,Andre' Davis,Andre Davis,0.9565217391304348
Kevin White,Kevin White,Kelvin White,0.9565217391304348
KeAndre Lambert-Smith,KeAndre Lambert-Smith,Keandre Lambert-Smith,0.9523809523809523
Andre King,Andre King,Andrew King,0.9523809523809523
John Brown,John Brown,Jon Brown,0.9473684210526315
LaBrandon Toefield,LaBrandon Toefield,Labrandon Toefield,0.9444444444444444
Terrance Williams,Terrance Williams,Terrence Williams,0.9411764705882353
DeAndre Washington,DeAndre Washington,Andre Washington,0.9411764705882353
ArDarius Stewart,ArDarius Stewart,Ardarius Stewart,0.9375
Javarris Williams,Javarris Williams,Jarris Williams,0.9375
DeAngelo Yancey,DeAngelo Yancey,Deangelo Yancey,0.9333333333333333
Jonathan Carter,Jonathan Carter,Jonathon Carter,0.9333333333333333
DeAndre Smelter,DeAndre Smelter,Deandre Smelter,0.9333333333333333
DeAndre Hopkins,DeAndre Hopkins,Deandre Hopkins,0.9333333333333333
Quinton Patton,Quinton Patton,Quinton Patten,0.9285714285714286
DeSean Jackson,DeSean Jackson,Desean Jackson,0.9285714285714286
Troy Williamson,Troy Williamson,Troy Williams,0.9285714285714286
Jaymar Johnson,Jaymar Johnson,Jamari Johnson,0.9285714285714286
MarShawn Lloyd,MarShawn Lloyd,Marshawn Lloyd,0.9285714285714286
Stevie Johnson,Stevie Johnson,Steven Johnson,0.9285714285714286
Jeremi Johnson,Jeremi Johnson,Jeremy Johnson,0.9285714285714286
Charles Scott,Charles Scott,Charlie Scott,0.9230769230769231
Michael Allan,Michael Allan,Michael Allen,0.9230769230769231
T.J. Williams,T.J. Williams,D.J. Williams,0.9230769230769231
LaVon Brazill,LaVon Brazill,Lavon Brazill,0.9230769230769231
DeeJay Dallas,DeeJay Dallas,Deejay Dallas,0.9230769230769231
LaMont Jordan,LaMont Jordan,Lamont Jordan,0.9230769230769231
Brice Butler,Brice Butler,Bryce Butler,0.9166666666666666
Dan LeFevour,Dan LeFevour,Dan Lefevour,0.9166666666666666
Tony Stewart,Tony Stewart,Troy Stewart,0.9166666666666666
DeVier Posey,DeVier Posey,Devier Posey,0.9166666666666666
A.J. Jenkins,A.J. Jenkins,E.J. Jenkins,0.9166666666666666
George Layne,George Layne,George Payne,0.9166666666666666
Geremy Davis,Geremy Davis,Jeremy Davis,0.9166666666666666
Javon Walker,Javon Walker,Jadon Walker,0.9166666666666666
Josh Jacobs,Josh Jacobs,Joshua Jacobs,0.9166666666666666
Ja'Lynn Polk,Ja'Lynn Polk,Ja'lynn Polk,0.9166666666666666
Justin Hunter,Justin Hunter,Justin Hunt,0.9166666666666666
Tremon Smith,Tremon Smith,Trelon Smith,0.9166666666666666
