player_name,bakery_QB_ensemble,pos,birth_date,team,conf,draft_year,Draft Capital,breakout_year,Breakout Age,ADJ%,BTT%,Break%,CC%,CTPRR,Comp%,DAA,DOM+,DOM+.1,Drop Rate,EPA/P,MTF/A,PDOM+,PDOM+.1,RDOM+,RDOM+.1,TWP%,UCTPRR,Y/RR,YAC/R,YCO/A,YPA,YPC,YPR,aDOT,aYPTPA,ELU,Speed,BMI,SpeedxBMI,bakery_QB_qb_model_seed12_subs20_seed12,bakery_QB_qb_model_seed12_subs30_seed12,bakery_QB_qb_model_seed12_subs40_seed12,bakery_QB_qb_model_seed34_subs20_seed34,bakery_QB_qb_model_seed34_subs30_seed34,bakery_QB_qb_model_seed34_subs40_seed34,bakery_QB_qb_model_seed56_subs20_seed56,bakery_QB_qb_model_seed56_subs30_seed56,bakery_QB_qb_model_seed56_subs40_seed56
Josh Freeman,4.431438166818278,QB,1988-01-13,Kansas State,Big 12,2009,1,2006.0,18.634,,,,,,,,0.0,0.0,,,,0.914,0.868,0.235,0.224,,,,,,,,,,,,4.9,28.656,140.4144,4.544179176832656,4.459272652088636,4.459272652088636,4.231995553274277,4.231995553274277,4.231995553274277,4.574744120177248,4.574744120177248,4.574744120177248
Sam Ehlinger,4.4077476121553,QB,1998-09-30,Texas,Big 12,2021,6,2017.0,18.921,,,,,,,,0.001,0.001,,,,0.926,0.879,0.288,0.273,,,,,,,,,,,144.1,4.84,29.022,140.46648,4.544179176832656,4.467061912324901,4.467061912324901,4.189472855315714,4.189472855315714,4.189472855315714,4.541002313989365,4.541002313989365,4.541002313989365
Christian Hackenberg,4.33369979975933,QB,1995-02-14,Penn State,Big Ten,2016,2,2013.0,18.546,,,,,,,,0.014,0.014,,,,0.902,0.902,0.004,0.004,,,,,,,,,,,0.0,4.78,27.141,129.73398,3.5722898669526293,4.470834514559002,4.470834514559002,4.245808516007627,4.245808516007627,4.245808516007627,4.583971251246818,4.583971251246818,4.583971251246818
Davis Webb,4.326328887431383,QB,1995-01-22,California,Pac-12,2017,3,2013.0,18.609,,,,,,,,0.0,0.0,,,,0.999,0.949,0.158,0.15,,,,,,,,,,,10.2,4.79,27.152,130.05808000000002,3.5125468738795145,4.467536905619795,4.467536905619795,4.245808516007627,4.245808516007627,4.245808516007627,4.583971251246818,4.583971251246818,4.583971251246818
Jacob Eason,4.32051834859152,QB,1997-11-17,Washington,Pac-12,2020,4,2016.0,18.79,,,,,,,,0.0,0.0,,,,0.979,0.93,0.011,0.01,,,,,,,,,,,24.75,4.89,26.692,130.52388,3.484490542936639,4.470799195033236,4.470799195033236,4.269295956381253,4.269295956381253,4.269295956381253,4.550229445058935,4.550229445058935,4.550229445058935
Robert Griffin III,4.291439644752248,QB,1990-02-12,Baylor,Big 12,2012,1,2008.0,18.552,,,,,,,,0.001,0.001,,,,0.945,0.898,0.267,0.254,,,,,,,,,,,,,,,3.2578276616622084,4.437894919672341,4.437894919672341,4.245808516007627,4.245808516007627,4.245808516007627,4.583971251246818,4.583971251246818,4.583971251246818
Alex McGough,4.288909719818919,QB,1995-11-19,Florida International,CUSA,2018,7,2014.0,18.784,,,,,,,,0.0,0.0,,,,0.943,0.66,0.158,0.111,,,,,,,,,,,4.45,,,,3.2578276616622084,4.441891806193754,4.441891806193754,4.269295956381253,4.269295956381253,4.269295956381253,4.550229445058935,4.550229445058935,4.550229445058935
Philip Rivers,4.285853796234606,QB,1981-12-08,North Carolina State,ACC,2004,1,2000.0,18.732,,,,,,,,-0.0,-0.0,,,,0.98,0.931,0.146,0.139,,,,,,,,,,,,5.08,27.152,137.93216,3.4311149704765396,4.484173803696674,4.484173803696674,4.159554207689002,4.159554207689002,4.159554207689002,4.564852988391519,4.564852988391519,4.564852988391519
Brock Purdy,4.275218610566702,QB,1999-12-27,Iowa State,Big 12,2022,7,2018.0,18.68,,,,,,,,0.0,0.0,,,,0.927,0.881,0.165,0.157,,,,,,,,,,,35.6,4.84,27.967,135.36028,3.395639603501087,4.432029008153345,4.432029008153345,4.174236970039328,4.174236970039328,4.174236970039328,4.564852988391519,4.564852988391519,4.564852988391519
Dillon Gabriel,4.275218610566702,QB,2000-12-28,Oregon,Big Ten,2025,3,2019.0,18.675,,,,,,,,0.0,0.0,,,,0.937,0.937,0.175,0.175,,,,,,,,,,,21.45,4.738,28.589,135.45468200000002,3.395639603501087,4.432029008153345,4.432029008153345,4.174236970039328,4.174236970039328,4.174236970039328,4.564852988391519,4.564852988391519,4.564852988391519
Matthew Stafford,4.2693913566972395,QB,1988-02-07,Georgia,SEC,2009,1,2006.0,18.565,,,,,,,,0.0,0.0,,,,0.953,0.953,0.031,0.031,,,,,,,,,,,,4.81,28.885,138.93685,3.368194511132362,4.460781149530332,4.460781149530332,4.136844346516795,4.136844346516795,4.136844346516795,4.574744120177248,4.574744120177248,4.574744120177248
Josh Rosen,4.26640281675615,QB,1997-02-10,UCLA,Pac-12,2018,1,2015.0,18.554,,,,,,,,0.0,0.0,,,,0.914,0.868,0.031,0.029,,,,,,,,,,,0.0,4.92,27.507,135.33444,3.395639603501087,4.427589096566298,4.427589096566298,4.150749529665702,4.150749529665702,4.150749529665702,4.564852988391519,4.564852988391519,4.564852988391519
Jayden Daniels,4.265371849285874,QB,2000-12-18,LSU,SEC,2024,1,2019.0,18.702,,,,,,,,0.0,0.0,,,,0.919,0.919,0.295,0.295,,,,,,,,,,,92.95,4.729,25.559,120.868511,3.2506394823534905,4.2360580559770575,4.2360580559770575,4.291772937236061,4.291772937236061,4.291772937236061,4.596757412519023,4.596757412519023,4.596757412519023
Lamar Jackson,4.262749378095628,QB,1997-01-07,Louisville,ACC,2018,1,2015.0,18.648,,,,,,,,0.0,0.0,,,,0.936,0.89,0.529,0.502,,,,,,,,,,,65.5,4.777,27.73,132.46621000000002,3.2578276616622084,4.441891193628685,4.441891193628685,4.206559864263079,4.206559864263079,4.206559864263079,4.534484920383946,4.534484920383946,4.534484920383946
Jared Goff,4.260115771524467,QB,1994-10-14,California,Pac-12,2016,1,2013.0,18.883,,,,,,,,0.001,0.001,,,,0.971,0.923,-0.002,-0.002,,,,,,,,,,,0.0,4.82,26.168,126.12976,3.483595736472863,4.281474708285705,4.281474708285705,4.204436573650632,4.204436573650632,4.204436573650632,4.560395689908013,4.560395689908013,4.560395689908013
Brad Smith,4.251594328870496,QB,1983-12-12,Toledo,MAC,2006,4,2002.0,18.721,,,,,,,,0.004,0.003,,,,0.906,0.634,0.286,0.2,,,,,,,,,,,,4.46,27.345,121.9587,3.2506394823534905,4.237061779834917,4.237061779834917,4.249771226751356,4.249771226751356,4.249771226751356,4.596757412519023,4.596757412519023,4.596757412519023
