player_name,bakery_RB_ensemble,pos,birth_date,team,conf,draft_year,Draft Capital,breakout_year,Breakout Age,ADJ%,BTT%,Break%,CC%,CTPRR,Comp%,DAA,DOM+,DOM+.1,Drop Rate,EPA/P,MTF/A,PDOM+,PDOM+.1,RDOM+,RDOM+.1,TWP%,UCTPRR,Y/RR,YAC/R,YCO/A,YPA,YPC,YPR,aDOT,aYPTPA,ELU,Speed,BMI,SpeedxBMI,bakery_RB_rb_model_seed12_subs20_seed12,bakery_RB_rb_model_seed12_subs30_seed12,bakery_RB_rb_model_seed12_subs40_seed12,bakery_RB_rb_model_seed34_subs20_seed34,bakery_RB_rb_model_seed34_subs30_seed34,bakery_RB_rb_model_seed34_subs40_seed34,bakery_RB_rb_model_seed56_subs20_seed56,bakery_RB_rb_model_seed56_subs30_seed56,bakery_RB_rb_model_seed56_subs40_seed56
Tarik Cohen,6.428274299807541,RB,1995-07-26,CHI,,2017,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.42,28.888,127.68496,6.292056717415314,6.292056717415314,6.292056717415314,6.589733434786465,6.589733434786465,6.354581775432935,6.481416633672021,6.481416633672021,6.481416633672021
Lorenzo Taliaferro,6.423253731168802,RB,1991-12-23,BAL,,2014,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.58,31.055,142.2319,6.221737937467699,6.221737937467699,6.221737937467699,6.6438001544380425,6.6438001544380425,6.546861387341013,6.436536023966338,6.436536023966338,6.436536023966338
Kyle Juszczyk,6.392102106438299,RB,1991-04-23,BAL,,2013,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.18825836788506,6.18825836788506,6.18825836788506,6.596086764038323,6.596086764038323,6.509148337683778,6.420940662843032,6.420940662843032,6.420940662843032
Alex Armah,6.392102106438299,RB,1994-05-17,CAR,,2017,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.18825836788506,6.18825836788506,6.18825836788506,6.596086764038323,6.596086764038323,6.509148337683778,6.420940662843032,6.420940662843032,6.420940662843032
Deji Karim,6.392102106438299,RB,1986-11-18,JAX,,2010,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.18825836788506,6.18825836788506,6.18825836788506,6.596086764038323,6.596086764038323,6.509148337683778,6.420940662843032,6.420940662843032,6.420940662843032
Ryan D'Imperio,6.392102106438299,RB,1987-08-15,MIN,,2010,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.18825836788506,6.18825836788506,6.18825836788506,6.596086764038323,6.596086764038323,6.509148337683778,6.420940662843032,6.420940662843032,6.420940662843032
Jerick McKinnon,6.392102106438299,RB,1992-05-03,MIN,,2014,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.41,30.861,136.09701,6.18825836788506,6.18825836788506,6.18825836788506,6.596086764038323,6.596086764038323,6.509148337683778,6.420940662843032,6.420940662843032,6.420940662843032
Trenton Cannon,6.392102106438299,RB,1994-07-23,NYJ,,2018,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.18825836788506,6.18825836788506,6.18825836788506,6.596086764038323,6.596086764038323,6.509148337683778,6.420940662843032,6.420940662843032,6.420940662843032
Nehemiah Broughton,6.309432600647516,RB,1982-11-04,WAS,,2005,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.59,34.864,160.02576,6.179150418915005,6.179150418915005,6.179150418915005,6.567391731331909,6.567391731331909,6.3990425440890295,6.237872047443259,6.237872047443259,6.237872047443259
Breece Hall,5.2801295246962034,RB,2001-05-31,Iowa State,Big 12,2022,2,2019.0,18.253,,,,,,,,0.112,0.107,,,,0.0,0.0,0.75,0.713,,,,,,,,,,,,4.39,30.262,132.85018,5.256949629594127,5.256949629594127,5.256949629594127,5.640822004558723,5.640822004558723,5.571543762448016,4.965709687305998,4.965709687305998,4.965709687305998
Deuce Vaughn,5.277687734705865,RB,2001-11-02,Kansas State,Big 12,2023,6,2020.0,18.831,,,,,,,,0.184,0.175,,,,0.0,0.0,0.531,0.504,,,,,,,,,,,66.0,4.426,29.784,131.823984,5.256638914103666,5.256638914103666,5.256638914103666,5.786472569901176,5.786472569901176,5.5478168404088,4.8695036299435435,4.8695036299435435,4.8695036299435435
Ben Tate,5.276716040189639,RB,1988-08-21,Auburn,SEC,2010,2,2007.0,19.028,,,,,,,,0.018,0.018,,,,0.0,0.0,0.455,0.455,,,,,,,,,,,,4.34,30.68,133.1512,5.2662323795556105,5.2662323795556105,5.2662323795556105,5.771768640323552,5.771768640323552,5.4551923715689,4.897672523607971,4.897672523607971,4.897672523607971
Andre Brown,5.275613149380899,RB,1986-12-15,North Carolina State,ACC,2009,4,2005.0,18.713,,,,,,,,0.108,0.102,,,,0.0,0.0,0.49,0.465,,,,,,,,,,,,4.37,30.377,132.74749,5.256638914103666,5.256638914103666,5.256638914103666,5.763963106392246,5.763963106392246,5.552772340683757,4.87663434954961,4.87663434954961,4.87663434954961
Wali Lundy,5.274391546706448,RB,1983-09-08,Virginia,ACC,2006,6,2002.0,18.982,,,,,,,,0.085,0.081,,,,0.012,0.012,0.493,0.468,,,,,,,,,,,,4.48,29.844,133.70112000000003,5.256070618751767,5.256070618751767,5.256070618751767,5.771768640323552,5.771768640323552,5.464757212631705,4.897672523607971,4.897672523607971,4.897672523607971
Cam Akers,5.274083209369471,RB,1999-06-22,Florida State,ACC,2020,2,2017.0,18.196,,,,,,,,0.116,0.11,,,,0.007,0.007,0.604,0.574,,,,,,,,,,,,4.47,31.133,139.16450999999998,4.900685098406451,4.900685098406451,4.900685098406451,5.623785661537311,5.623785661537311,5.635827501838562,5.293764921397566,5.293764921397566,5.293764921397566
Jarquez Hunter,5.266912066715253,RB,2002-12-29,Auburn,SEC,2025,4,2021.0,18.675,,,,,,,,0.043,0.043,,,,0.0,0.0,0.61,0.61,,,,,,,,,,,,4.44,30.122,133.74168,5.266028116325773,5.266028116325773,5.266028116325773,5.73948354683063,5.73948354683063,5.494012109120414,4.877048349559429,4.877048349559429,4.877048349559429
