player_name,pos,birth_date,team,conf,draft_year,draft_round,breakout_year,breakout_age,DOM,PDOM,RDOM,Year,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,avoided_tackles,big_time_throws,breakaway_attempts,breakaway_percent,breakaway_yards,btt_rate,caught_percent,completion_percent,completions,contested_catch_rate,contested_receptions,contested_targets,def_gen_pressures,designed_yards,drop_rate,dropbacks,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,fumbles,gap_attempts,hit_as_threw,interceptions,pass_tds,pass_yds,passing_snaps,pressure_to_sack_rate,qb_rating,rec_tds,rec_yards,rec_yds,receptions,route_rate,routes,run_plays,rush_tds,rush_yds,sack_percent,sacks,scramble_yards,scrambles,slot_rate,slot_snaps,targets,team_pr_tds,team_pr_yds,team_ru_tds,team_ru_yds,total_touches,turnover_worthy_plays,twp_rate,wide_rate,wide_snaps,yards_after_catch,yards_after_catch_per_reception,yards_after_contact,yards_per_reception,yco_attempt,ypa,yprr,zone_attempts
Eli Manning,QB,1981-01-03,Ole Miss,SEC,2004,1,2001.0,20.65982203969884,0.0,0.9734181256519596,0.039425261970710106,2002.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,3274.0,,,,0.0,,0.0,,,,,1.5,-9.5,,,,,,,,31.0,3348.0,20.5,1750.0,,,,,,,,,,,,,
Larry Fitzgerald,WR,1983-08-31,Pitt,Big East,2004,1,,,0.0,0.0,0.0,2002.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,12.0,,1005.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
Philip Rivers,QB,1981-12-08,North Carolina State,ACC,2004,1,2000.0,18.732375085557837,-0.0002729257641921,0.9797089835163452,0.14643788107239214,2002.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,3922.0,,,,0.0,,-2.5,,,,,6.5,104.5,,,,,,,,27.5,4024.0,26.5,1664.0,,,,,,,,,,,,,
Kellen Winslow,TE,1983-07-21,Miami (FL),Big East,2004,1,,,0.0,0.0,0.0,2001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,34.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
Roy Williams,WR,1980-08-14,UCF,MAC,2004,1,2000.0,20.04928131416838,0.4059046211738562,0.0052122114668652,0.025906899119450502,2002.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,28.0,,,,10.5,,1110.5,,,,,0.5,60.5,,,,,,,,24.0,2968.5,32.0,2392.5,,,,,,,,,,,,,
Reggie Williams,WR,1983-05-17,Washington,Pac-10,2004,1,2001.0,18.2943189596167,0.4066476405147967,0.0,0.0038354253835425,2003.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,8.0,,1109.0,,,,,0.0,11.0,,,,,,,,17.0,3236.0,19.0,1434.0,,,,,,,,,,,,,
Ben Roethlisberger,QB,1982-03-02,Miami (OH),MAC,2004,1,2001.0,19.50171115674196,0.0,0.9721583822400618,0.1125657093731893,2002.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,3795.5,,,,0.0,,0.0,,,,,3.0,150.0,,,,,,,,31.5,3978.5,25.5,1926.5,,,,,,,,,,,,,
Lee Evans,WR,1981-03-11,Wisconsin,Big Ten,2004,1,2000.0,19.477070499657767,0.5751951209946268,0.0031768443346276,0.0056497175141242,2003.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,18.0,,,,13.0,,1213.0,,,,,0.0,26.0,,,,,,,,18.0,2833.0,23.0,2301.0,,,,,,,,,,,,,
Michael Clayton,WR,1982-10-13,LSU,SEC,2004,1,2001.0,18.885694729637233,0.3383754257033813,0.0,0.00269681490384615,2002.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,7.5,,914.0,,,,,0.0,14.0,,,,,,,,23.0,2623.5,21.5,2580.0,,,,,,,,,,,,,
J.P. Losman,QB,1981-03-12,Tulane,CUSA,2004,1,2002.0,21.472963723477072,0.0,0.982707632034385,0.1251730648206419,2003.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,3077.0,,,,0.0,,0.0,,,,,2.0,80.0,,,,,,,,34.0,3093.0,10.0,1589.0,,,,,,,,,,,,,
Steven Jackson,RB,1983-07-22,Clemson,ACC,2004,1,2001.0,18.11362080766598,0.1150996483001172,0.0,0.8204218928164196,2003.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,3.0,,470.0,,,,,19.0,1545.0,,,,,,,,25.0,4265.0,25.0,1754.0,,,,,,,,,,,,,
Chris Perry,RB,1981-12-27,Michigan,Big Ten,2004,1,2002.0,20.67898699520876,0.0905922202797202,0.0,0.6763264629163337,2003.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,2.0,,367.0,,,,,18.0,1674.0,,,,,,,,26.0,3520.0,29.0,2287.0,,,,,,,,,,,,,
Michael Jenkins,WR,1982-06-18,Ohio State,Big Ten,2004,1,2001.0,19.20602327173169,0.38339823978678866,0.0,0.0,2002.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,6.5,,955.0,,,,,0.0,0.0,,,,,,,,17.0,2552.0,22.5,2158.5,,,,,,,,,,,,,
Kevin Jones,RB,1982-08-21,Duke,ACC,2004,1,,,0.037918040508714,0.0,0.0339475738526644,2005.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,161.0,,,,,1.0,47.0,,,,,,,,13.0,2123.0,21.0,2318.0,,,,,,,,,,,,,
Rashaun Woods,WR,1980-10-17,Oklahoma State,Big 12,2004,1,2001.0,20.87337440109514,0.624030791543482,0.0,0.0,2003.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,15.0,,1367.0,,,,,0.0,0.0,,,,,,,,21.0,2561.0,34.0,2831.0,,,,,,,,,,,,,
Ben Watson,TE,1980-12-18,Idaho,Sun Belt,2004,1,2015.0,34.70225872689939,0.23685621870580592,0.0,0.0,2015.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,5.0,,623.0,,,,,0.0,0.0,,,,,,,,18.0,3307.5,23.5,1843.5,,,,,,,,,,,,,
Ben Troupe,TE,1982-09-01,Florida,SEC,2004,2,2003.0,20.999315537303215,0.225,0.0,0.0,2003.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,5.0,,638.0,,,,,0.0,0.0,,,,,,,,20.0,3190.0,21.0,1898.0,,,,,,,,,,,,,
Tatum Bell,RB,1981-03-02,Oklahoma State,Big 12,2004,2,2001.0,20.501026694045173,0.01620706573519895,0.0,0.5862273516746381,2002.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,78.5,,,,,11.0,1031.0,,,,,,,,17.5,2452.0,21.5,1930.5,,,,,,,,,,,,,
Julius Jones,RB,1981-08-14,Notre Dame,Ind,2004,2,,,0.0,0.0,0.0,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,50.0,,,,,7.0,657.0,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
Devery Henderson,WR,1982-03-26,LSU,SEC,2004,2,2002.0,20.435318275154003,0.33891087049205704,0.0,0.0042412860576923,2002.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,9.5,,654.0,,,,,0.0,22.0,,,,,,,,23.0,2623.5,21.5,2580.0,,,,,,,,,,,,,
Darius Watts,WR,1981-12-19,Marshall,MAC,2004,2,2000.0,18.702258726899384,0.4149063032367973,0.0,0.0212224108658743,2003.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,11.0,,968.0,,,,,0.0,100.0,,,,,,,,22.0,2935.0,23.0,2356.0,,,,,,,,,,,,,
Greg Jones,RB,1981-05-09,Navy,Ind,2004,2,2001.0,20.314852840520192,0.007198821628418,0.0,0.37931659824832814,2001.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,42.5,,,,,7.0,825.5,,,,,,,,26.5,2943.0,18.5,2187.0,,,,,,,,,,,,,
Kris Wilson,TE,1981-08-22,Pitt,Big East,2004,2,,,0.0,0.0,0.0,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,2.0,,127.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
Keary Colbert,WR,1982-05-21,USC,Pac-10,2004,2,2002.0,20.281998631074607,0.2489905241158208,0.0,0.0071534287123828,2003.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,9.0,,1013.0,,,,,0.0,29.0,,,,,,,,39.0,3791.0,20.0,2027.0,,,,,,,,,,,,,
