player_name,pos,birth_date,team,conf,draft_year,Draft Capital,breakout_year,Breakout Age,DOM,DOM+,PDOM,PDOM+,RDOM,RDOM+,ADJ%,aimed_passes,attempts,aDOT,ATT,MTF,big_time_throws,breakaway_attempts,Break%,breakaway_yards,BTT%,REC%,Comp%,completions,CC%,contested_receptions,contested_targets,def_gen_pressures,designed_yards,Drop%,dropbacks,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,ELU,10+,FUM,gap_attempts,hit_as_threw,interceptions,passing_snaps,pressure_to_sack_rate,qb_rating,rec_yards,receptions,route_rate,routes,run_plays,sack_percent,sacks,scramble_yards,scrambles,Slot%,slot_snaps,targets,total_touches,turnover_worthy_plays,TWP%,Wide%,wide_snaps,yards_after_catch,YAC/R,yards_after_contact,Y/REC,YCO/A,ypa,Y/RR,zone_attempts,Speed,BMI,SpeedxBMI
Eli Manning,QB,1981-01-03,Ole Miss,SEC,2004,1,2001.0,20.66,0.0,0.0,0.973,0.973,0.039,0.039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,26.204,128.39960000000002
Larry Fitzgerald,WR,1983-08-31,Pitt,Big East,2004,1,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.48,28.12,125.97760000000001
Philip Rivers,QB,1981-12-08,North Carolina State,ACC,2004,1,2000.0,18.732,-0.0,-0.0,0.98,0.931,0.146,0.139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.08,27.152,137.93216
Kellen Winslow,TE,1983-07-21,Miami (FL),Big East,2004,1,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.55,30.549,138.99795
Roy Williams,WR,1980-08-14,UCF,MAC,2004,1,2000.0,20.049,0.406,0.284,0.005,0.004,0.026,0.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.48,27.216,121.92768000000001
Reggie Williams,WR,1983-05-17,Washington,Pac-10,2004,1,2001.0,18.294,0.407,0.244,0.0,0.0,0.004,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.56,27.872,127.09631999999999
Ben Roethlisberger,QB,1982-03-02,Miami (OH),MAC,2004,1,2001.0,19.502,0.0,0.0,0.972,0.681,0.113,0.079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.75,28.575,135.73125
Lee Evans,WR,1981-03-11,Wisconsin,Big Ten,2004,1,2000.0,19.477,0.575,0.575,0.003,0.003,0.006,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.39,27.473,120.60646999999999
Michael Clayton,WR,1982-10-13,LSU,SEC,2004,1,2001.0,18.886,0.338,0.338,0.0,0.0,0.003,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.67,26.12,121.9804
J.P. Losman,QB,1981-03-12,Tulane,CUSA,2004,1,2002.0,21.473,0.0,0.0,0.983,0.688,0.125,0.088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.73,28.757,136.02061000000003
Steven Jackson,RB,1983-07-22,Clemson,ACC,2004,1,2001.0,18.114,0.115,0.109,0.0,0.0,0.82,0.779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.55,31.793,144.65814999999998
Chris Perry,RB,1981-12-27,Michigan,Big Ten,2004,1,2002.0,20.679,0.091,0.091,0.0,0.0,0.676,0.676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.56,30.377,138.51912
Michael Jenkins,WR,1982-06-18,Ohio State,Big Ten,2004,1,2001.0,19.206,0.383,0.383,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,26.533,116.74520000000001
Kevin Jones,RB,1982-08-21,Duke,ACC,2004,1,,,0.038,0.036,0.0,0.0,0.034,0.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.38,30.783,134.82954
Rashaun Woods,WR,1980-10-17,Oklahoma State,Big 12,2004,1,2001.0,20.873,0.624,0.593,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.47,25.932,115.91603999999998
Ben Watson,TE,1980-12-18,Idaho,Sun Belt,2004,1,2015.0,34.702,0.237,0.18,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
