player_name,pos,team,conf,draft_year,draft_round,pick_in_round,pick_overall,pfr_draft_url,Year1,DOM1,DOM+1,PDOM1,PDOM+1,RDOM1,RDOM+1,rec_yds1,rec_tds1,rush_yds1,rush_tds1,pass_yds1,pass_tds1,team_pr_yds1,team_pr_tds1,team_ru_yds1,team_ru_tds1,Year2,DOM2,DOM+2,PDOM2,PDOM+2,RDOM2,RDOM+2,rec_yds2,rec_tds2,rush_yds2,rush_tds2,pass_yds2,pass_tds2,team_pr_yds2,team_pr_tds2,team_ru_yds2,team_ru_tds2,Year3,DOM3,DOM+3,PDOM3,PDOM+3,RDOM3,RDOM+3,rec_yds3,rec_tds3,rush_yds3,rush_tds3,pass_yds3,pass_tds3,team_pr_yds3,team_pr_tds3,team_ru_yds3,team_ru_tds3,Year4,DOM4,DOM+4,PDOM4,PDOM+4,RDOM4,RDOM+4,rec_yds4,rec_tds4,rush_yds4,rush_tds4,pass_yds4,pass_tds4,team_pr_yds4,team_pr_tds4,team_ru_yds4,team_ru_tds4,Year5,DOM5,DOM+5,PDOM5,PDOM+5,RDOM5,RDOM+5,rec_yds5,rec_tds5,rush_yds5,rush_tds5,pass_yds5,pass_tds5,team_pr_yds5,team_pr_tds5,team_ru_yds5,team_ru_tds5
Peter Warrick,WR,CIN,,2000,1,4,4,https://www.pro-football-reference.com/years/2000/draft.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamal Lewis,RB,Arizona State,Pac-10,2000,1,5,5,https://www.pro-football-reference.com/years/2000/draft.htm,2003.0,0.05504102096627165,0.03302461257976299,0.0,0.0,0.0,0.0,99.0,2.0,0.0,0.0,0.0,0.0,3291.0,25.0,1408.0,11.0,2004.0,0.04051995798319327,0.024311974789915963,0.0,0.0,0.0,0.0,91.0,2.0,0.0,0.0,0.0,0.0,3808.0,35.0,1417.0,6.0,2005.0,0.1155551509883837,0.06933309059303022,0.0,0.0,0.0,0.0,446.0,5.0,0.0,0.0,0.0,0.0,4481.0,38.0,1748.0,18.0,2006.0,0.07286712813309187,0.04372027687985512,0.0,0.0,0.0,0.0,151.0,2.0,0.0,0.0,0.0,0.0,2569.0,23.0,2206.0,17.0,,,,,,,,,,,,,,,,,
Thomas Jones,RB,Indiana,Big Ten,2000,1,7,7,https://www.pro-football-reference.com/years/2000/draft.htm,2000.0,0.0,0.0,0.015,0.015,0.0034083162917518746,0.0034083162917518746,0.0,0.0,20.0,0.0,57.0,0.0,1900.0,11.0,2934.0,34.0,2001.0,0.0,0.0,0.09468201754385966,0.09468201754385966,-0.0010121457489878543,-0.0010121457489878543,0.0,0.0,-6.0,0.0,163.0,1.0,1824.0,10.0,2964.0,33.0,2002.0,0.0,0.0,0.3955298013245033,0.3955298013245033,-0.006795422031473534,-0.006795422031473534,0.0,0.0,-19.0,0.0,879.0,9.0,3020.0,18.0,1398.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plaxico Burress,WR,PIT,,2000,1,8,8,https://www.pro-football-reference.com/years/2000/draft.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Travis Taylor,WR,New Mexico State,Sun Belt,2000,1,10,10,https://www.pro-football-reference.com/years/2000/draft.htm,2015.0,0.19102479422822882,0.1451788436134539,0.0,0.0,-0.00045829514207149406,-0.0003483043079743355,691.0,4.0,-2.0,0.0,0.0,0.0,3028.0,26.0,2182.0,16.0,2016.0,0.11197376968047264,0.0851000649571592,0.028001175415261842,0.021280893315599,0.04289698162729658,0.032601706036745406,391.0,2.0,5.0,1.0,31.0,1.0,2939.0,22.0,2032.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ron Dayne,RB,Alabama,SEC,2000,1,11,11,https://www.pro-football-reference.com/years/2000/draft.htm,2017.0,0.018041780966448616,0.018041780966448616,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2708.0,28.0,3509.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bubba Franks,TE,GNB,,2000,1,14,14,https://www.pro-football-reference.com/years/2000/draft.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad Pennington,QB,Ohio,MAC,2000,1,18,18,https://www.pro-football-reference.com/years/2000/draft.htm,2000.0,0.017208413001912046,0.012045889101338431,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,1046.0,10.0,3553.0,32.0,2002.0,0.02430886558627264,0.017016205910390846,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,1049.0,6.0,2878.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shaun Alexander,RB,Nebraska,Big 12,2000,1,19,19,https://www.pro-football-reference.com/years/2000/draft.htm,2000.0,0.006984387838948234,0.006635168447000822,0.0,0.0,0.23907108566140323,0.22711753137833304,17.0,0.0,1154.0,8.0,0.0,0.0,1217.0,11.0,3842.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sylvester Morris,WR,Miami (FL),ACC,2000,1,21,21,https://www.pro-football-reference.com/years/2000/draft.htm,2010.0,0.0,0.0,0.3663446054750402,0.3480273752012882,0.04528712168279045,0.043022765598650925,0.0,0.0,90.0,1.0,1240.0,7.0,3105.0,21.0,2372.0,19.0,2011.0,0.0,0.0,0.05080789946140036,0.04826750448833034,0.027205695397915074,0.02584541062801932,0.0,0.0,-2.0,1.0,283.0,0.0,2785.0,21.0,1748.0,18.0,2012.0,0.0036671368124118475,0.003483779971791255,0.9283129944195744,0.8818973446985956,0.0464654728358028,0.04414219919401266,26.0,0.0,70.0,1.0,3345.0,21.0,3545.0,23.0,1737.0,19.0,2013.0,-0.002317497103128621,-0.00220162224797219,0.8585863267670915,0.8156570104287368,-0.02111324376199616,-0.020057581573896352,-16.0,0.0,-88.0,0.0,3028.0,21.0,3452.0,25.0,2084.0,25.0,,,,,,,,,,,,,,,,,
