player,year,pos,height_in,weight_lb,forty_s,is_estimate,estimate_method,confidence,source
Bill Burke,2000,QB,76.0,206.0,5.03,False,,0.95,PFR:2000
Chad Pennington,2000,QB,75.0,229.0,4.81,False,,0.95,PFR:2000
Chris Chaloupka,2000,QB,74.0,216.0,4.96,False,,0.95,PFR:2000
Chris Redman,2000,QB,75.0,222.0,5.37,False,,0.95,PFR:2000
Doug Johnson,2000,QB,74.0,226.0,4.95,False,,0.95,PFR:2000
Giovanni Carmazzi,2000,QB,75.0,224.0,4.74,False,,0.95,PFR:2000
Jarious Jackson,2000,QB,72.0,226.0,4.68,False,,0.95,PFR:2000
Joe Hamilton,2000,QB,70.0,192.0,4.81,False,,0.95,PFR:2000
Kevin Feterik,2000,QB,71.0,207.0,4.92,False,,0.95,PFR:2000
Leon Murray,2000,QB,74.0,207.0,4.75,False,,0.95,PFR:2000
Marc Bulger,2000,QB,74.0,208.0,4.97,False,,0.95,PFR:2000
Spergon Wynn,2000,QB,75.0,229.0,4.91,False,,0.95,PFR:2000
Tee Martin,2000,QB,74.0,227.0,4.58,False,,0.95,PFR:2000
Tim Lester,2000,QB,72.0,202.0,5.02,False,,0.95,PFR:2000
Tim Rattay,2000,QB,72.0,215.0,4.91,False,,0.95,PFR:2000
Todd Husak,2000,QB,75.0,216.0,5.2,False,,0.95,PFR:2000
Tom Brady,2000,QB,76.0,211.0,5.28,False,,0.95,PFR:2000
Travis Brown,2000,QB,75.0,218.0,5.01,False,,0.95,PFR:2000
Anthony White,2000,RB,72.0,195.0,4.68,False,,0.95,PFR:2000
Boo Williams,2000,RB,71.0,222.0,4.52,False,,0.95,PFR:2000
Chad Morton,2000,RB,68.0,182.0,4.5,False,,0.95,PFR:2000
Chrys Chukwuma,2000,RB,73.0,232.0,4.56,False,,0.95,PFR:2000
Curtis Keaton,2000,RB,70.0,214.0,4.41,False,,0.95,PFR:2000
Dante' Hall,2000,RB,68.0,191.0,4.44,False,,0.95,PFR:2000
Darren Davis,2000,RB,68.0,189.0,4.81,False,,0.95,PFR:2000
Demario Brown,2000,RB,72.0,217.0,4.72,False,,0.95,PFR:2000
Derrick Foster,2000,RB,71.0,201.0,4.43,False,,0.95,PFR:2000
Destry Wright,2000,RB,71.0,216.0,4.84,False,,0.95,PFR:2000
Doug Chapman,2000,RB,70.0,215.0,4.56,False,,0.95,PFR:2000
Frank Moreau,2000,RB,73.0,231.0,4.57,False,,0.95,PFR:2000
J.R. Redmond,2000,RB,71.0,216.0,4.48,False,,0.95,PFR:2000
Jamal Lewis,2000,RB,72.0,240.0,4.58,False,,0.95,PFR:2000
Keith Brown,2000,RB,71.0,216.0,4.66,False,,0.95,PFR:2000
Keith Smith,2000,RB,70.0,207.0,4.5,False,,0.95,PFR:2000
Ketric Sanford,2000,RB,67.0,199.0,4.6,False,,0.95,PFR:2000
Kevin McDougal,2000,RB,71.0,206.0,4.63,False,,0.95,PFR:2000
Marlion Jackson,2000,RB,73.0,242.0,4.6,False,,0.95,PFR:2000
Michael Wiley,2000,RB,71.0,193.0,4.5,False,,0.95,PFR:2000
Morgan Kane,2000,RB,73.0,221.0,4.62,False,,0.95,PFR:2000
Phillip Rogers,2000,RB,73.0,232.0,4.68,False,,0.95,PFR:2000
Rashon Spikes,2000,RB,70.0,204.0,4.78,False,,0.95,PFR:2000
Reuben Droughns,2000,RB,71.0,215.0,4.66,False,,0.95,PFR:2000
Ron Dayne,2000,RB,71.0,259.0,4.65,False,,0.95,PFR:2000
Rondell Mealey,2000,RB,72.0,212.0,4.69,False,,0.95,PFR:2000
Ronney Jenkins,2000,RB,70.0,184.0,4.5,False,,0.95,PFR:2000
Shaun Alexander,2000,RB,72.0,218.0,4.58,False,,0.95,PFR:2000
Shyrone Stith,2000,RB,67.0,204.0,4.6,False,,0.95,PFR:2000
