player_name,birth_date,birthdate_source_url
A.J. Brown,1997-06-30,https://www.pro-football-reference.com/players/B/BrowAJ00.htm
A.J. Derby,1991-09-20,https://www.pro-football-reference.com/players/D/DerbA.00.htm
A.J. Feeley,1977-05-16,https://www.pro-football-reference.com/players/F/FeelA.00.htm
A.J. Green,1988-07-31,https://www.pro-football-reference.com/players/G/GreeA.00.htm
A.J. Jenkins,1989-09-30,https://www.pro-football-reference.com/players/J/JenkA.00.htm
A.J. McCarron,1990-09-13,https://www.pro-football-reference.com/players/M/McCaA.00.htm
A.T. Perry,1999-10-26,https://www.pro-football-reference.com/players/P/PerrAT00.htm
AJ Barner,2002-05-03,https://www.pro-football-reference.com/players/B/BarnAJ00.htm
AJ Dillon,1998-05-02,https://www.pro-football-reference.com/players/D/DillAJ00.htm
Aaron Brown,1985-10-10,https://www.pro-football-reference.com/players/B/BrowAa00.htm
Aaron Burbridge,1993-12-23,https://www.pro-football-reference.com/players/B/BurbAa00.htm
Aaron Dobson,1991-07-23,https://www.pro-football-reference.com/players/D/DobsAa00.htm
Aaron Hernandez,1989-11-06,https://www.pro-football-reference.com/players/H/HernAa00.htm
Aaron Jones,1994-12-02,https://www.pro-football-reference.com/players/J/JoneAa00.htm
Aaron Lockett,1978-09-06,
Aaron Mellette,1989-12-28,
Aaron Murray,1990-11-10,
Aaron Ripkowski,1992-12-20,https://www.pro-football-reference.com/players/R/RipkAa00.htm
Aaron Rodgers,1983-12-02,https://www.pro-football-reference.com/players/R/RodgAa00.htm
Aaron Shea,1976-12-05,https://www.pro-football-reference.com/players/S/SheaAa00.htm
Aaron Walker,1980-03-14,https://www.pro-football-reference.com/players/W/WalkAa00.htm
Ace Sanders,1991-11-11,https://www.pro-football-reference.com/players/S/SandAc00.htm
Adam Jennings,1982-11-17,https://www.pro-football-reference.com/players/J/JennAd00.htm
Adam Shaheen,1994-10-24,https://www.pro-football-reference.com/players/S/ShahAd00.htm
Adam Trautman,1997-02-05,https://www.pro-football-reference.com/players/T/TrauAd00.htm
Adimchinobe Echemandu,1980-11-21,https://www.pro-football-reference.com/players/E/EcheAd00.htm
Adonai Mitchell,2002-10-08,https://www.pro-football-reference.com/players/M/MitcAd00.htm
Adrian Arrington,1985-11-07,https://www.pro-football-reference.com/players/A/ArriAd00.htm
Adrian Madise,1980-03-23,https://www.pro-football-reference.com/players/M/MadiAd00.htm
Adrian McPherson,,
Adrian Peterson,1979-07-01,https://www.pro-football-reference.com/players/P/PeteAd00.htm
Adrien Robinson,1988-09-23,https://www.pro-football-reference.com/players/R/RobiAd00.htm
Ahmaad Galloway,,
Ahmad Bradshaw,1986-03-19,https://www.pro-football-reference.com/players/B/BradAh00.htm
Aidan O'Connell,,
Ainias Smith,2001-05-31,https://www.pro-football-reference.com/players/S/SmitAi00.htm
Airese Currie,1982-11-16,https://www.pro-football-reference.com/players/C/CurrAi00.htm
Alan Bonner,,
Albert Okwuegbunam,1998-04-25,https://www.pro-football-reference.com/players/O/OkwuAl00.htm
Aldrick Robinson,1988-09-24,https://www.pro-football-reference.com/players/R/RobiAl00.htm
Alec Pierce,2000-05-02,https://www.pro-football-reference.com/players/P/PierAl00.htm
Alex Armah,1994-05-17,https://www.pro-football-reference.com/players/A/ArmaAl00.htm
Alex Bannister,1979-04-23,https://www.pro-football-reference.com/players/B/BannAl00.htm
Alex Brink,,
Alex Collins,1994-08-26,https://www.pro-football-reference.com/players/C/CollAl00.htm
