player_name,pos,draft_year,team,draft_round,pick_in_round,pick_overall,pfr_draft_url
Peter Warrick,WR,2000,CIN,1,4,4,https://www.pro-football-reference.com/years/2000/draft.htm
Jamal Lewis,RB,2000,BAL,1,5,5,https://www.pro-football-reference.com/years/2000/draft.htm
Thomas Jones,RB,2000,ARI,1,7,7,https://www.pro-football-reference.com/years/2000/draft.htm
Plaxico Burress,WR,2000,PIT,1,8,8,https://www.pro-football-reference.com/years/2000/draft.htm
Travis Taylor,WR,2000,BAL,1,10,10,https://www.pro-football-reference.com/years/2000/draft.htm
Ron Dayne,RB,2000,NYG,1,11,11,https://www.pro-football-reference.com/years/2000/draft.htm
Bubba Franks,TE,2000,GNB,1,14,14,https://www.pro-football-reference.com/years/2000/draft.htm
Chad Pennington,QB,2000,NYJ,1,18,18,https://www.pro-football-reference.com/years/2000/draft.htm
Shaun Alexander,RB,2000,SEA,1,19,19,https://www.pro-football-reference.com/years/2000/draft.htm
Sylvester Morris,WR,2000,KAN,1,21,21,https://www.pro-football-reference.com/years/2000/draft.htm
Anthony Becht,TE,2000,NYJ,1,27,27,https://www.pro-football-reference.com/years/2000/draft.htm
R. Jay Soward,WR,2000,JAX,1,29,29,https://www.pro-football-reference.com/years/2000/draft.htm
Trung Canidate,RB,2000,STL,1,31,31,https://www.pro-football-reference.com/years/2000/draft.htm
Dennis Northcutt,WR,2000,CLE,2,1,32,https://www.pro-football-reference.com/years/2000/draft.htm
Todd Pinkston,WR,2000,PHI,2,5,36,https://www.pro-football-reference.com/years/2000/draft.htm
Jerry Porter,WR,2000,OAK,2,16,47,https://www.pro-football-reference.com/years/2000/draft.htm
Travis Prentice,RB,2000,CLE,3,1,63,https://www.pro-football-reference.com/years/2000/draft.htm
Giovanni Carmazzi,QB,2000,SFO,3,3,65,https://www.pro-football-reference.com/years/2000/draft.htm
Ron Dugans,WR,2000,CIN,3,4,66,https://www.pro-football-reference.com/years/2000/draft.htm
Erron Kinney,TE,2000,TEN,3,6,68,https://www.pro-football-reference.com/years/2000/draft.htm
Dez White,WR,2000,CHI,3,7,69,https://www.pro-football-reference.com/years/2000/draft.htm
Chris Cole,WR,2000,DEN,3,8,70,https://www.pro-football-reference.com/years/2000/draft.htm
Ron Dixon,WR,2000,NYG,3,11,73,https://www.pro-football-reference.com/years/2000/draft.htm
Chris Redman,QB,2000,BAL,3,13,75,https://www.pro-football-reference.com/years/2000/draft.htm
J.R. Redmond,RB,2000,NWE,3,14,76,https://www.pro-football-reference.com/years/2000/draft.htm
Laveranues Coles,WR,2000,NYJ,3,16,78,https://www.pro-football-reference.com/years/2000/draft.htm
JaJuan Dawson,WR,2000,CLE,3,17,79,https://www.pro-football-reference.com/years/2000/draft.htm
Darrell Jackson,WR,2000,SEA,3,18,80,https://www.pro-football-reference.com/years/2000/draft.htm
Reuben Droughns,RB,2000,DET,3,19,81,https://www.pro-football-reference.com/years/2000/draft.htm
Dustin Lyman,TE,2000,CHI,3,25,87,https://www.pro-football-reference.com/years/2000/draft.htm
Doug Chapman,RB,2000,MIN,3,26,88,https://www.pro-football-reference.com/years/2000/draft.htm
Terrelle Smith,RB,2000,NOR,4,2,96,https://www.pro-football-reference.com/years/2000/draft.htm
Curtis Keaton,RB,2000,CIN,4,3,97,https://www.pro-football-reference.com/years/2000/draft.htm
Gari Scott,WR,2000,PHI,4,5,99,https://www.pro-football-reference.com/years/2000/draft.htm
Danny Farmer,WR,2000,PIT,4,9,103,https://www.pro-football-reference.com/years/2000/draft.htm
Aaron Shea,TE,2000,CLE,4,16,110,https://www.pro-football-reference.com/years/2000/draft.htm
Trevor Gaylor,WR,2000,SDG,4,17,111,https://www.pro-football-reference.com/years/2000/draft.htm
Anthony Lucas,WR,2000,GNB,4,20,114,https://www.pro-football-reference.com/years/2000/draft.htm
Frank Moreau,RB,2000,KAN,4,21,115,https://www.pro-football-reference.com/years/2000/draft.htm
Deon Dyer,RB,2000,MIA,4,23,117,https://www.pro-football-reference.com/years/2000/draft.htm
Avion Black,WR,2000,BUF,4,27,121,https://www.pro-football-reference.com/years/2000/draft.htm
Paul Smith,RB,2000,SFO,5,3,132,https://www.pro-football-reference.com/years/2000/draft.htm
Dave Stachelski,TE,2000,NWE,5,12,141,https://www.pro-football-reference.com/years/2000/draft.htm
Windrell Hayes,WR,2000,NYJ,5,14,143,https://www.pro-football-reference.com/years/2000/draft.htm
Michael Wiley,RB,2000,DAL,5,15,144,https://www.pro-football-reference.com/years/2000/draft.htm
Joey Jamison,WR,2000,GNB,5,22,151,https://www.pro-football-reference.com/years/2000/draft.htm
Dante Hall,WR,2000,KAN,5,24,153,https://www.pro-football-reference.com/years/2000/draft.htm
Muneer Moore,WR,2000,DEN,5,25,154,https://www.pro-football-reference.com/years/2000/draft.htm
Sammy Morris,RB,2000,BUF,5,27,156,https://www.pro-football-reference.com/years/2000/draft.htm
James Whalen,TE,2000,TAM,5,28,157,https://www.pro-football-reference.com/years/2000/draft.htm
