player_name,birth_date,birthdate_source_url,wiki_birth_date,wiki_source_url
Aaron Lockett,,,1978-09-06,https://en.wikipedia.org/wiki/Aaron_Lockett_(gridiron_football)
Aaron Mellette,,,1989-12-28,https://en.wikipedia.org/wiki/Aaron_Mellette
Aaron Murray,,,1990-11-10,https://en.wikipedia.org/wiki/Aaron_Murray
Adrian McPherson,,,1983-05-08,https://en.wikipedia.org/wiki/Adrian_McPherson
Ahmaad Galloway,,,1980-03-10,https://en.wikipedia.org/wiki/Ahmaad_Galloway
Aidan O'Connell,,,1998-09-01,https://en.wikipedia.org/wiki/Aidan_O'Connell
Alan Bonner,,,1990-11-05,https://en.wikipedia.org/wiki/Alan_Bonner
Alex Brink,,,1985-06-02,https://en.wikipedia.org/wiki/Alex_Brink
Alex McGough,,,1995-11-19,https://en.wikipedia.org/wiki/Alex_McGough
Aliz̩ Mack,,,,
Allen Patrick,,,1927-03-17,https://en.wikipedia.org/wiki/Patrick_Allen_(actor)
Andre Debose,,,1990-09-12,https://en.wikipedia.org/wiki/Andre_Debose
Andre Johnson HOF,,,1970-04-29,https://en.wikipedia.org/wiki/Andre_Agassi
Andre King,,,1973-11-26,https://en.wikipedia.org/wiki/Andre_King
Andre Woodson,,,1984-04-25,https://en.wikipedia.org/wiki/Andre'_Woodson
Andy Hall,,,1949-01-17,https://en.wikipedia.org/wiki/Andy_Kaufman
Andy Stokes,,,1981-06-02,https://en.wikipedia.org/wiki/Andy_Stokes
Anthony Lucas,,,2004-10-08,https://en.wikipedia.org/wiki/Anthony_Lucas_(defensive_end)
Antwaan Randle El,,,1979-08-17,https://en.wikipedia.org/wiki/Antwaan_Randle_El
Antwoine Womack,,,1978-03-20,https://en.wikipedia.org/wiki/Antwoine_Womack
Arman Shields,,,,https://en.wikipedia.org/wiki/Coastal_Athletic_Association_Football_Conference
Arther Love,,,1977-09-18,https://en.wikipedia.org/wiki/Arther_Love
Arthur Lynch,,,1990-06-17,https://en.wikipedia.org/wiki/Arthur_Lynch_(American_football)
Austin Proehl,,,1995-10-11,https://en.wikipedia.org/wiki/Austin_Proehl
Austin Seferian-Jenkins,,,1992-09-29,https://en.wikipedia.org/wiki/Austin_Seferian-Jenkins
B.J. Coleman,,,1988-09-16,https://en.wikipedia.org/wiki/B._J._Coleman
B.J. Symons,,,1980-11-19,https://en.wikipedia.org/wiki/B._J._Symons
Beau Sandland,,,1993-02-23,https://en.wikipedia.org/wiki/Beau_Sandland
Bennie Brazell,,,1982-06-02,https://en.wikipedia.org/wiki/Bennie_Brazell
Bob Slowikowski,,,,https://en.wikipedia.org/wiki/2002_Dallas_Cowboys_season
Bobby Newcombe,,,1979-08-08,https://en.wikipedia.org/wiki/Bobby_Newcombe
Brad Kaaya,,,1995-09-03,https://en.wikipedia.org/wiki/Brad_Kaaya
Brad Sorensen,,,1988-03-13,https://en.wikipedia.org/wiki/Brad_Sorensen
Brad St. Louis,,,1976-08-19,https://en.wikipedia.org/wiki/Brad_St._Louis
Braden Wilson,,,1989-10-09,https://en.wikipedia.org/wiki/Braden_Wilson
Bradlee Van Pelt,,,1980-07-03,https://en.wikipedia.org/wiki/Bradlee_Van_Pelt
Brandon Doman,,,1976-12-29,https://en.wikipedia.org/wiki/Brandon_Doman
Brandon Doughty,,,1991-10-06,https://en.wikipedia.org/wiki/Brandon_Doughty
Brandon Drumm,,,1979-07-12,https://en.wikipedia.org/wiki/Aveion_Cason
Brian St. Pierre,,,1979-11-28,https://en.wikipedia.org/wiki/Brian_St._Pierre
Brooks Foster,,,1912-05-11,https://en.wikipedia.org/wiki/Foster_Brooks
Bryce Love,,,1997-07-08,https://en.wikipedia.org/wiki/Bryce_Love
Bucky Hodges,,,1995-08-08,https://en.wikipedia.org/wiki/Bucky_Hodges
